year,regtyp,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,At least once per week,0.38365,4197,8587,0.37336,0.39393
1985,Urban regions,At least once per month,0.26265,2598,8587,0.25334,0.27196
1985,Urban regions,Seldom,0.15568,1476,8587,0.14801,0.16335
1985,Urban regions,Never,0.03342,316,8587,0.02962,0.03722
1985,Rural regions,At least once per week,0.34081,1024,2349,0.32164,0.35999
1985,Rural regions,At least once per month,0.24585,709,2349,0.22843,0.26326
1985,Rural regions,Seldom,0.19796,524,2349,0.18184,0.21408
1985,Rural regions,Never,0.03676,92,2349,0.02914,0.04437
1986,Urban regions,At least once per week,0.35335,3849,8297,0.34306,0.36363
1986,Urban regions,At least once per month,0.28857,2723,8297,0.27882,0.29832
1986,Urban regions,Seldom,0.16149,1416,8297,0.15357,0.16941
1986,Urban regions,Never,0.03539,309,8297,0.03142,0.03937
1986,Rural regions,At least once per week,0.30576,885,2250,0.28672,0.32480
1986,Rural regions,At least once per month,0.26250,730,2250,0.24432,0.28069
1986,Rural regions,Seldom,0.21302,544,2250,0.19610,0.22994
1986,Rural regions,Never,0.04002,91,2250,0.03192,0.04812
1988,Urban regions,At least once per week,0.37121,3879,7850,0.36052,0.38189
1988,Urban regions,At least once per month,0.27760,2459,7850,0.26769,0.28750
1988,Urban regions,Seldom,0.15383,1251,7850,0.14585,0.16181
1988,Urban regions,Never,0.03389,261,7850,0.02989,0.03789
1988,Rural regions,At least once per week,0.31425,885,2066,0.29423,0.33427
1988,Rural regions,At least once per month,0.26998,667,2066,0.25083,0.28913
1988,Rural regions,Seldom,0.18629,429,2066,0.16950,0.20308
1988,Rural regions,Never,0.03926,85,2066,0.03089,0.04764
1990,Urban regions,At least once per week,0.02633,456,1450,0.01809,0.03458
1990,Urban regions,At least once per month,0.02898,544,1450,0.02034,0.03762
1990,Urban regions,Seldom,0.02256,397,1450,0.01491,0.03021
1990,Urban regions,Never,0.00347,53,1450,0.00044,0.00650
1990,Rural regions,At least once per week,0.08749,767,2852,0.07712,0.09786
1990,Rural regions,At least once per month,0.11455,1046,2852,0.10286,0.12624
1990,Rural regions,Seldom,0.10450,905,2852,0.09327,0.11573
1990,Rural regions,Never,0.01763,134,2852,0.01280,0.02246
1992,Urban regions,At least once per week,0.34705,3912,8584,0.33698,0.35712
1992,Urban regions,At least once per month,0.29291,2946,8584,0.28328,0.30254
1992,Urban regions,Seldom,0.14767,1447,8584,0.14016,0.15517
1992,Urban regions,Never,0.03166,279,8584,0.02796,0.03537
1992,Rural regions,At least once per week,0.25519,1355,4516,0.24247,0.26790
1992,Rural regions,At least once per month,0.29823,1694,4516,0.28488,0.31157
1992,Rural regions,Seldom,0.21899,1298,4516,0.20693,0.23106
1992,Rural regions,Never,0.03713,169,4516,0.03161,0.04264
1994,Urban regions,At least once per week,0.33084,3632,8416,0.32079,0.34090
1994,Urban regions,At least once per month,0.28523,2858,8416,0.27558,0.29488
1994,Urban regions,Seldom,0.17921,1694,8416,0.17101,0.18740
1994,Urban regions,Never,0.02575,232,8416,0.02236,0.02913
1994,Rural regions,At least once per week,0.24735,1287,4387,0.23458,0.26012
1994,Rural regions,At least once per month,0.29585,1654,4387,0.28235,0.30936
1994,Rural regions,Seldom,0.22609,1276,4387,0.21371,0.23847
1994,Rural regions,Never,0.03747,170,4387,0.03185,0.04309
1996,Urban regions,At least once per week,0.36370,4020,8491,0.35347,0.37393
1996,Urban regions,At least once per month,0.29470,2932,8491,0.28500,0.30440
1996,Urban regions,Seldom,0.14367,1360,8491,0.13621,0.15113
1996,Urban regions,Never,0.01946,179,8491,0.01652,0.02240
1996,Rural regions,At least once per week,0.29644,1621,4515,0.28312,0.30976
1996,Rural regions,At least once per month,0.28770,1678,4515,0.27449,0.30090
1996,Rural regions,Seldom,0.20737,1123,4515,0.19554,0.21920
1996,Rural regions,Never,0.02164,93,4515,0.01739,0.02588
1997,Urban regions,At least once per week,0.38142,4086,8322,0.37098,0.39185
1997,Urban regions,At least once per month,0.27151,2738,8322,0.26195,0.28106
1997,Urban regions,Seldom,0.14714,1307,8322,0.13953,0.15475
1997,Urban regions,Never,0.02086,191,8322,0.01779,0.02393
1997,Rural regions,At least once per week,0.30448,1663,4441,0.29094,0.31802
1997,Rural regions,At least once per month,0.28876,1677,4441,0.27543,0.30209
1997,Rural regions,Seldom,0.19539,1005,4441,0.18373,0.20706
1997,Rural regions,Never,0.02223,96,4441,0.01789,0.02656
1999,Urban regions,At least once per week,0.35195,3950,8841,0.34200,0.36191
1999,Urban regions,At least once per month,0.28873,3066,8841,0.27928,0.29818
1999,Urban regions,Seldom,0.16345,1624,8841,0.15574,0.17116
1999,Urban regions,Never,0.02391,201,8841,0.02072,0.02709
1999,Rural regions,At least once per week,0.28872,1670,4776,0.27586,0.30157
1999,Rural regions,At least once per month,0.30026,1832,4776,0.28726,0.31326
1999,Rural regions,Seldom,0.20843,1186,4776,0.19691,0.21995
1999,Rural regions,Never,0.01726,88,4776,0.01357,0.02096
2001,Urban regions,At least once per week,0.37213,6596,14227,0.36419,0.38007
2001,Urban regions,At least once per month,0.27801,4862,14227,0.27065,0.28537
2001,Urban regions,Seldom,0.14291,2315,14227,0.13716,0.14866
2001,Urban regions,Never,0.02911,454,14227,0.02634,0.03187
2001,Rural regions,At least once per week,0.32764,2965,7582,0.31708,0.33821
2001,Rural regions,At least once per month,0.29163,2776,7582,0.28140,0.30186
2001,Rural regions,Seldom,0.17866,1614,7582,0.17004,0.18729
2001,Rural regions,Never,0.02676,227,7582,0.02313,0.03039
2005,Urban regions,At least once per week,0.38507,6439,13703,0.37693,0.39322
2005,Urban regions,At least once per month,0.27726,4666,13703,0.26977,0.28476
2005,Urban regions,Seldom,0.15198,2296,13703,0.14597,0.15799
