year,migback,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,At least once per week,0.37421,3516,7917,0.36355,0.38487
1985,No migration background,At least once per month,0.26474,2515,7917,0.25502,0.27446
1985,No migration background,Seldom,0.17259,1591,7917,0.16426,0.18091
1985,No migration background,Never,0.03559,295,7917,0.03151,0.03967
1985,Direct migration background,At least once per week,0.45409,1611,2882,0.43591,0.47227
1985,Direct migration background,At least once per month,0.26945,768,2882,0.25325,0.28565
1985,Direct migration background,Seldom,0.14975,394,2882,0.13672,0.16278
1985,Direct migration background,Never,0.03144,109,2882,0.02507,0.03781
1985,Indirect migration background,At least once per week,0.08957,94,94,0.03153,0.14761
1986,No migration background,At least once per week,0.34151,3080,7578,0.33083,0.35218
1986,No migration background,At least once per month,0.28816,2612,7578,0.27796,0.29835
1986,No migration background,Seldom,0.18310,1590,7578,0.17439,0.19181
1986,No migration background,Never,0.03780,296,7578,0.03351,0.04210
1986,Direct migration background,At least once per week,0.43353,1555,2817,0.41522,0.45183
1986,Direct migration background,At least once per month,0.30811,814,2817,0.29106,0.32517
1986,Direct migration background,Seldom,0.13822,348,2817,0.12547,0.15097
1986,Direct migration background,Never,0.03608,100,2817,0.02919,0.04297
1986,Indirect migration background,At least once per week,0.07711,99,99,0.02430,0.12993
1988,No migration background,At least once per week,0.35791,3037,7043,0.34671,0.36910
1988,No migration background,At least once per month,0.28547,2399,7043,0.27492,0.29601
1988,No migration background,Seldom,0.16696,1346,7043,0.15825,0.17567
1988,No migration background,Never,0.03657,261,7043,0.03219,0.04096
1988,Direct migration background,At least once per week,0.44829,1573,2654,0.42937,0.46722
1988,Direct migration background,At least once per month,0.27816,685,2654,0.26111,0.29521
1988,Direct migration background,Seldom,0.16647,315,2654,0.15230,0.18065
1988,Direct migration background,Never,0.03534,81,2654,0.02831,0.04236
1988,Indirect migration background,At least once per week,0.11522,154,196,0.07040,0.16003
1988,Indirect migration background,At least once per month,0.03148,42,196,0.00697,0.05599
1990,No migration background,At least once per week,0.05131,1218,4248,0.04468,0.05795
1990,No migration background,At least once per month,0.06223,1569,4248,0.05497,0.06950
1990,No migration background,Seldom,0.05381,1280,4248,0.04703,0.06060
1990,No migration background,Never,0.00884,181,4248,0.00603,0.01166
1990,Direct migration background,At least once per week,0.01504,31,130,-0.00596,0.03604
1990,Direct migration background,At least once per month,0.02583,53,130,-0.00154,0.05321
1990,Direct migration background,Seldom,0.02181,46,130,-0.00339,0.04702
1992,No migration background,At least once per week,0.30678,3563,10289,0.29787,0.31570
1992,No migration background,At least once per month,0.30511,3926,10289,0.29621,0.31401
1992,No migration background,Seldom,0.17968,2444,10289,0.17226,0.18710
1992,No migration background,Never,0.03424,356,10289,0.03072,0.03775
1992,Direct migration background,At least once per week,0.47982,1451,2528,0.46034,0.49930
1992,Direct migration background,At least once per month,0.30640,689,2528,0.28842,0.32437
1992,Direct migration background,Seldom,0.14966,299,2528,0.13575,0.16357
1992,Direct migration background,Never,0.03509,89,2528,0.02791,0.04226
1992,Indirect migration background,At least once per week,0.17381,290,396,0.13644,0.21118
1992,Indirect migration background,At least once per month,0.04703,74,396,0.02615,0.06790
1992,Indirect migration background,Seldom,0.02349,32,396,0.00856,0.03843
1994,No migration background,At least once per week,0.29246,3314,9973,0.28353,0.30139
1994,No migration background,At least once per month,0.29961,3754,9973,0.29062,0.30860
1994,No migration background,Seldom,0.20278,2582,9973,0.19489,0.21067
1994,No migration background,Never,0.02998,323,9973,0.02664,0.03333
1994,Direct migration background,At least once per week,0.44632,1257,2344,0.42619,0.46645
1994,Direct migration background,At least once per month,0.30608,665,2344,0.28742,0.32474
1994,Direct migration background,Seldom,0.19467,347,2344,0.17864,0.21070
1994,Direct migration background,Never,0.03724,75,2344,0.02958,0.04491
1994,Indirect migration background,At least once per week,0.22642,348,482,0.18902,0.26382
1994,Indirect migration background,At least once per month,0.05693,93,482,0.03622,0.07764
1994,Indirect migration background,Seldom,0.03608,41,482,0.01941,0.05275
1996,No migration background,At least once per week,0.32781,3782,9875,0.31855,0.33707
1996,No migration background,At least once per month,0.30721,3760,9875,0.29811,0.31631
1996,No migration background,Seldom,0.17567,2144,9875,0.16816,0.18317
1996,No migration background,Never,0.01929,189,9875,0.01658,0.02201
1996,Direct migration background,At least once per week,0.48559,1481,2590,0.46634,0.50484
1996,Direct migration background,At least once per month,0.28765,744,2590,0.27022,0.30509
1996,Direct migration background,Seldom,0.13520,291,2590,0.12203,0.14837
1996,Direct migration background,Never,0.03229,74,2590,0.02548,0.03910
1996,Indirect migration background,At least once per week,0.23713,378,532,0.20096,0.27331
1996,Indirect migration background,At least once per month,0.05635,106,532,0.03674,0.07596
1996,Indirect migration background,Seldom,0.03166,48,532,0.01677,0.04656
1997,No migration background,At least once per week,0.34790,3957,9742,0.33844,0.35736
1997,No migration background,At least once per month,0.28766,3610,9742,0.27867,0.29665
1997,No migration background,Seldom,0.17161,1972,9742,0.16412,0.17909
1997,No migration background,Never,0.02094,203,9742,0.01809,0.02378
1997,Direct migration background,At least once per week,0.46680,1389,2456,0.44706,0.48653
1997,Direct migration background,At least once per month,0.29141,700,2456,0.27343,0.30938
1997,Direct migration background,Seldom,0.15119,291,2456,0.13702,0.16536
1997,Direct migration background,Never,0.03124,76,2456,0.02436,0.03812
1997,Indirect migration background,At least once per week,0.25161,404,558,0.21558,0.28765
1997,Indirect migration background,At least once per month,0.07017,105,558,0.04895,0.09138
1997,Indirect migration background,Seldom,0.03873,49,558,0.02271,0.05475
1999,No migration background,At least once per week,0.32521,4145,10822,0.31639,0.33404
1999,No migration background,At least once per month,0.30035,4020,10822,0.29171,0.30899
1999,No migration background,Seldom,0.19008,2425,10822,0.18268,0.19747
1999,No migration background,Never,0.02214,232,10822,0.01936,0.02491
1999,Direct migration background,At least once per week,0.41397,1069,2194,0.39335,0.43458
1999,Direct migration background,At least once per month,0.33937,738,2194,0.31955,0.35919
1999,Direct migration background,Seldom,0.16266,336,2194,0.14722,0.17811
1999,Direct migration background,Never,0.02927,51,2194,0.02222,0.03633
1999,Indirect migration background,At least once per week,0.26861,406,595,0.23296,0.30425
1999,Indirect migration background,At least once per month,0.08988,140,595,0.06688,0.11288
1999,Indirect migration background,Seldom,0.03283,49,595,0.01850,0.04716
2001,No migration background,At least once per week,0.35372,7532,18147,0.34676,0.36068
