year,age_gr,migback,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,No migration background,At least once per week,0.68440,1492,2169,0.66484,0.70397
1985,17-29 y.,No migration background,At least once per month,0.19854,451,2169,0.18175,0.21533
1985,17-29 y.,No migration background,Seldom,0.10117,226,2169,0.08847,0.11386
1985,17-29 y.,Direct migration background,At least once per week,0.64335,533,798,0.61010,0.67661
1985,17-29 y.,Direct migration background,At least once per month,0.21851,174,798,0.18982,0.24720
1985,17-29 y.,Direct migration background,Seldom,0.10660,91,798,0.08518,0.12803
1985,17-29 y.,Indirect migration background,At least once per week,0.71292,80,80,0.61316,0.81268
1985,30-45 y.,No migration background,At least once per week,0.39491,896,2267,0.37479,0.41504
1985,30-45 y.,No migration background,At least once per month,0.37570,861,2267,0.35576,0.39564
1985,30-45 y.,No migration background,Seldom,0.20366,462,2267,0.18708,0.22024
1985,30-45 y.,No migration background,Never,0.02092,48,2267,0.01503,0.02682
1985,30-45 y.,Direct migration background,At least once per week,0.50993,647,1176,0.48135,0.53852
1985,30-45 y.,Direct migration background,At least once per month,0.31102,332,1176,0.28456,0.33749
1985,30-45 y.,Direct migration background,Seldom,0.13466,142,1176,0.11514,0.15418
1985,30-45 y.,Direct migration background,Never,0.03858,55,1176,0.02757,0.04959
1985,46-65 y.,No migration background,At least once per week,0.31465,751,2411,0.29611,0.33319
1985,46-65 y.,No migration background,At least once per month,0.37556,918,2411,0.35623,0.39490
1985,46-65 y.,No migration background,Seldom,0.25440,631,2411,0.23701,0.27178
1985,46-65 y.,No migration background,Never,0.04778,111,2411,0.03926,0.05629
1985,46-65 y.,Direct migration background,At least once per week,0.41178,419,855,0.37877,0.44479
1985,46-65 y.,Direct migration background,At least once per month,0.33175,252,855,0.30017,0.36333
1985,46-65 y.,Direct migration background,Seldom,0.20599,146,855,0.17887,0.23312
1985,46-65 y.,Direct migration background,Never,0.04599,38,855,0.03194,0.06004
1985,66 and older,No migration background,At least once per week,0.36847,377,1049,0.33926,0.39767
1985,66 and older,No migration background,At least once per month,0.26456,285,1049,0.23786,0.29127
1985,66 and older,No migration background,Seldom,0.24888,272,1049,0.22270,0.27505
1985,66 and older,No migration background,Never,0.10215,115,1049,0.08381,0.12048
1986,17-29 y.,No migration background,At least once per week,0.67031,1414,2131,0.65035,0.69028
1986,17-29 y.,No migration background,At least once per month,0.21751,470,2131,0.19999,0.23503
1986,17-29 y.,No migration background,Seldom,0.09560,214,2131,0.08311,0.10809
1986,17-29 y.,No migration background,Never,0.01524,33,2131,0.01004,0.02044
1986,17-29 y.,Direct migration background,At least once per week,0.66132,538,772,0.62791,0.69472
1986,17-29 y.,Direct migration background,At least once per month,0.24025,172,772,0.21009,0.27041
1986,17-29 y.,Direct migration background,Seldom,0.07774,62,772,0.05884,0.09664
1986,17-29 y.,Indirect migration background,At least once per week,0.67340,90,90,0.57596,0.77083
1986,30-45 y.,No migration background,At least once per week,0.37012,786,2146,0.34969,0.39055
1986,30-45 y.,No migration background,At least once per month,0.40593,887,2146,0.38515,0.42671
1986,30-45 y.,No migration background,Seldom,0.19819,423,2146,0.18132,0.21506
1986,30-45 y.,No migration background,Never,0.02330,50,2146,0.01692,0.02969
1986,30-45 y.,Direct migration background,At least once per week,0.49579,576,1071,0.46583,0.52575
1986,30-45 y.,Direct migration background,At least once per month,0.31866,348,1071,0.29074,0.34658
1986,30-45 y.,Direct migration background,Seldom,0.16090,147,1071,0.13889,0.18292
1986,46-65 y.,No migration background,At least once per week,0.25841,595,2328,0.24063,0.27620
1986,46-65 y.,No migration background,At least once per month,0.39415,942,2328,0.37429,0.41400
1986,46-65 y.,No migration background,Seldom,0.29414,689,2328,0.27562,0.31265
1986,46-65 y.,No migration background,Never,0.04645,102,2328,0.03790,0.05500
1986,46-65 y.,Direct migration background,At least once per week,0.35703,422,869,0.32516,0.38891
1986,46-65 y.,Direct migration background,At least once per month,0.39920,276,869,0.36662,0.43178
1986,46-65 y.,Direct migration background,Seldom,0.20171,133,869,0.17501,0.22841
1986,46-65 y.,Direct migration background,Never,0.03675,38,869,0.02423,0.04927
1986,66 and older,No migration background,At least once per week,0.31334,285,973,0.28418,0.34250
1986,66 and older,No migration background,At least once per month,0.31401,313,973,0.28483,0.34319
1986,66 and older,No migration background,Seldom,0.26170,264,973,0.23407,0.28933
1986,66 and older,No migration background,Never,0.10749,111,973,0.08802,0.12696
