year,sex,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,male,At least once per week,0.36927,2625,5371,0.35636,0.38217
1985,male,At least once per month,0.25177,1585,5371,0.24016,0.26338
1985,male,Seldom,0.17139,994,5371,0.16131,0.18147
1985,male,Never,0.02792,167,5371,0.02351,0.03233
1985,female,At least once per week,0.37629,2596,5565,0.36356,0.38902
1985,female,At least once per month,0.26454,1722,5565,0.25295,0.27613
1985,female,Seldom,0.16156,1006,5565,0.15189,0.17123
1985,female,Never,0.04003,241,5565,0.03487,0.04518
1986,male,At least once per week,0.34020,2405,5210,0.32733,0.35306
1986,male,At least once per month,0.27880,1670,5210,0.26663,0.29098
1986,male,Seldom,0.16856,933,5210,0.15840,0.17873
1986,male,Never,0.03751,202,5210,0.03235,0.04267
1986,female,At least once per week,0.34282,2329,5337,0.33009,0.35556
1986,female,At least once per month,0.28515,1783,5337,0.27304,0.29726
1986,female,Seldom,0.17944,1027,5337,0.16915,0.18974
1986,female,Never,0.03565,198,5337,0.03068,0.04063
1988,male,At least once per week,0.35479,2414,4902,0.34140,0.36819
1988,male,At least once per month,0.27400,1513,4902,0.26151,0.28649
1988,male,Seldom,0.16184,827,4902,0.15153,0.17215
1988,male,Never,0.02924,148,4902,0.02453,0.03396
1988,female,At least once per week,0.35984,2350,5014,0.34655,0.37312
1988,female,At least once per month,0.27738,1613,5014,0.26499,0.28977
1988,female,Seldom,0.16156,853,5014,0.15137,0.17175
1988,female,Never,0.04072,198,5014,0.03525,0.04619
1990,male,At least once per week,0.04633,606,2090,0.03732,0.05535
1990,male,At least once per month,0.05643,768,2090,0.04654,0.06633
1990,male,Seldom,0.04717,634,2090,0.03808,0.05627
1990,male,Never,0.00695,82,2090,0.00339,0.01052
1990,female,At least once per week,0.04660,644,2298,0.03798,0.05523
1990,female,At least once per month,0.05749,854,2298,0.04797,0.06700
1990,female,Seldom,0.05115,692,2298,0.04214,0.06015
1990,female,Never,0.00912,108,2298,0.00523,0.01300
1992,male,At least once per week,0.31311,2606,6417,0.30176,0.32446
1992,male,At least once per month,0.28507,2225,6417,0.27402,0.29612
1992,male,Seldom,0.17806,1387,6417,0.16870,0.18742
1992,male,Never,0.02976,199,6417,0.02560,0.03392
1992,female,At least once per week,0.32129,2698,6801,0.31019,0.33239
1992,female,At least once per month,0.30363,2464,6801,0.29270,0.31456
1992,female,Seldom,0.16332,1388,6801,0.15454,0.17211
1992,female,Never,0.03653,251,6801,0.03207,0.04099
1994,male,At least once per week,0.30111,2415,6183,0.28968,0.31255
1994,male,At least once per month,0.28340,2137,6183,0.27216,0.29463
1994,male,Seldom,0.19714,1457,6183,0.18722,0.20705
1994,male,Never,0.02545,174,6183,0.02153,0.02938
1994,female,At least once per week,0.30787,2504,6620,0.29675,0.31899
1994,female,At least once per month,0.29349,2375,6620,0.28252,0.30446
1994,female,Seldom,0.19093,1513,6620,0.18146,0.20040
1994,female,Never,0.03322,228,6620,0.02890,0.03753
1996,male,At least once per week,0.33082,2704,6277,0.31918,0.34246
1996,male,At least once per month,0.28700,2222,6277,0.27580,0.29819
1996,male,Seldom,0.17296,1229,6277,0.16360,0.18232
1996,male,Never,0.01717,122,6277,0.01396,0.02038
1996,female,At least once per week,0.35383,2937,6729,0.34240,0.36525
1996,female,At least once per month,0.29776,2388,6729,0.28683,0.30869
1996,female,Seldom,0.15479,1254,6729,0.14615,0.16343
1996,female,Never,0.02298,150,6729,0.01940,0.02656
1997,male,At least once per week,0.35018,2802,6181,0.33829,0.36207
1997,male,At least once per month,0.26932,2111,6181,0.25826,0.28038
1997,male,Seldom,0.16730,1134,6181,0.15800,0.17661
1997,male,Never,0.01970,134,6181,0.01624,0.02317
1997,female,At least once per week,0.36414,2948,6583,0.35252,0.37577
1997,female,At least once per month,0.28414,2304,6583,0.27324,0.29503
1997,female,Seldom,0.15749,1178,6583,0.14869,0.16629
1997,female,Never,0.02279,153,6583,0.01919,0.02640
1999,male,At least once per week,0.32605,2720,6586,0.31473,0.33737
1999,male,At least once per month,0.29008,2358,6586,0.27912,0.30104
1999,male,Seldom,0.18123,1375,6586,0.17193,0.19054
1999,male,Never,0.01967,133,6586,0.01631,0.02302
1999,female,At least once per week,0.33784,2900,7031,0.32678,0.34889
1999,female,At least once per month,0.29454,2540,7031,0.28388,0.30519
1999,female,Seldom,0.17411,1435,7031,0.16524,0.18297
1999,female,Never,0.02388,156,7031,0.02031,0.02745
2001,male,At least once per week,0.35189,4536,10475,0.34275,0.36104
2001,male,At least once per month,0.27850,3681,10475,0.26992,0.28709
2001,male,Seldom,0.15805,1934,10475,0.15107,0.16504
2001,male,Never,0.02725,324,10475,0.02413,0.03037
2001,female,At least once per week,0.36381,5025,11334,0.35495,0.37267
2001,female,At least once per month,0.28603,3957,11334,0.27771,0.29435
2001,female,Seldom,0.15067,1995,11334,0.14409,0.15726
2001,female,Never,0.02942,357,11334,0.02631,0.03253
2005,male,At least once per week,0.35639,4195,9858,0.34693,0.36584
2005,male,At least once per month,0.27865,3448,9858,0.26980,0.28750
2005,male,Seldom,0.17039,1975,9858,0.16297,0.17781
2005,male,Never,0.02332,240,9858,0.02034,0.02629
2005,female,At least once per week,0.36823,4775,10749,0.35911,0.37735
2005,female,At least once per month,0.29192,3806,10749,0.28332,0.30051
2005,female,Seldom,0.15913,1915,10749,0.15221,0.16604
2005,female,Never,0.02459,253,10749,0.02166,0.02752
2007,male,At least once per week,0.34341,4036,9723,0.33397,0.35285
2007,male,At least once per month,0.29477,3601,9723,0.28571,0.30384
2007,male,Seldom,0.15566,1801,9723,0.14845,0.16287
2007,male,Never,0.02728,285,9723,0.02404,0.03052
2007,female,At least once per week,0.36782,4733,10684,0.35867,0.37696
2007,female,At least once per month,0.29969,3905,10684,0.29101,0.30838
2007,female,Seldom,0.14635,1780,10684,0.13965,0.15305
2007,female,Never,0.02368,266,10684,0.02080,0.02656
2009,male,At least once per week,0.34458,3407,8549,0.33450,0.35465
2009,male,At least once per month,0.29865,3252,8549,0.28895,0.30835
2009,male,Seldom,0.16375,1700,8549,0.15591,0.17160
2009,male,Never,0.02115,190,8549,0.01810,0.02420
2009,female,At least once per week,0.35228,3854,9374,0.34261,0.36195
2009,female,At least once per month,0.31438,3611,9374,0.30498,0.32378
2009,female,Seldom,0.15706,1708,9374,0.14969,0.16442
2009,female,Never,0.02141,201,9374,0.01848,0.02434
2011,male,At least once per week,0.34970,5320,12808,0.34145,0.35796
2011,male,At least once per month,0.27949,4652,12808,0.27172,0.28726
2011,male,Seldom,0.17090,2434,12808,0.16438,0.17742
2011,male,Never,0.02508,402,12808,0.02237,0.02779
2011,female,At least once per week,0.35988,7036,15468,0.35232,0.36745
2011,female,At least once per month,0.29744,5405,15468,0.29024,0.30465
2011,female,Seldom,0.15491,2583,15468,0.14921,0.16062
2011,female,Never,0.02903,444,15468,0.02638,0.03168
2015,male,At least once per week,0.35123,5143,12281,0.34279,0.35968
2015,male,At least once per month,0.29462,4462,12281,0.28656,0.30269
2015,male,Seldom,0.16373,2281,12281,0.15718,0.17027
2015,male,Never,0.02571,395,12281,0.02291,0.02851
2015,female,At least once per week,0.37015,6509,14441,0.36228,0.37803
2015,female,At least once per month,0.30418,5157,14441,0.29667,0.31168
2015,female,Seldom,0.14395,2342,14441,0.13823,0.14968
2015,female,Never,0.02694,433,14441,0.02430,0.02958
2017,male,At least once per week,0.36951,5300,12242,0.36096,0.37806
2017,male,At least once per month,0.28516,4399,12242,0.27716,0.29316
2017,male,Seldom,0.14727,2234,12242,0.14099,0.15354
2017,male,Never,0.02133,309,12242,0.01877,0.02389
2017,female,At least once per week,0.38952,6596,14265,0.38152,0.39752
2017,female,At least once per month,0.29003,5033,14265,0.28258,0.29747
2017,female,Seldom,0.13750,2287,14265,0.13185,0.14315
2017,female,Never,0.02420,349,14265,0.02168,0.02672
