year,pgisced97,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Pre-primary Level,At least once per week,0.76797,144,144,0.69879,0.83716
1985,Primary Level,At least once per week,0.46130,419,827,0.42730,0.49529
1985,Primary Level,At least once per month,0.20950,214,827,0.18175,0.23726
1985,Primary Level,Seldom,0.24454,144,827,0.21522,0.27385
1985,Primary Level,Never,0.07123,50,827,0.05369,0.08877
1985,Lower Secondary Level,At least once per week,0.42261,1416,3033,0.40503,0.44020
1985,Lower Secondary Level,At least once per month,0.29060,868,3033,0.27443,0.30676
1985,Lower Secondary Level,Seldom,0.21672,597,3033,0.20206,0.23139
1985,Lower Secondary Level,Never,0.06082,152,3033,0.05231,0.06932
1985,Upper Secondary Level,At least once per week,0.43488,2377,5145,0.42134,0.44843
1985,Upper Secondary Level,At least once per month,0.32413,1650,5145,0.31134,0.33692
1985,Upper Secondary Level,Seldom,0.19855,953,5145,0.18765,0.20946
1985,Upper Secondary Level,Never,0.03552,165,5145,0.03046,0.04058
1985,Post-secondary Non-tertiary Level,At least once per week,0.62083,169,263,0.56208,0.67958
1985,Post-secondary Non-tertiary Level,At least once per month,0.21460,61,263,0.16488,0.26431
1985,Post-secondary Non-tertiary Level,Seldom,0.11893,33,263,0.07973,0.15812
1985,First Stage of Tertiary Education,At least once per week,0.41860,264,600,0.37909,0.45811
1985,First Stage of Tertiary Education,At least once per month,0.34120,211,600,0.30323,0.37917
1985,First Stage of Tertiary Education,Seldom,0.20599,125,600,0.17360,0.23838
1985,Second Stage of Tertiary Education,At least once per week,0.47208,370,736,0.43599,0.50817
1985,Second Stage of Tertiary Education,At least once per month,0.34759,257,736,0.31316,0.38202
1985,Second Stage of Tertiary Education,Seldom,0.15440,109,736,0.12828,0.18052
1986,Pre-primary Level,At least once per week,0.72361,135,169,0.65598,0.79124
1986,Pre-primary Level,At least once per month,0.18499,34,169,0.12627,0.24371
1986,Primary Level,At least once per week,0.46024,411,774,0.42511,0.49538
1986,Primary Level,At least once per month,0.24904,206,774,0.21855,0.27952
1986,Primary Level,Seldom,0.18817,114,774,0.16062,0.21572
1986,Primary Level,Never,0.09635,43,774,0.07555,0.11715
1986,Lower Secondary Level,At least once per week,0.38438,1280,2896,0.36666,0.40210
1986,Lower Secondary Level,At least once per month,0.30470,876,2896,0.28794,0.32147
1986,Lower Secondary Level,Seldom,0.24446,598,2896,0.22880,0.26011
1986,Lower Secondary Level,Never,0.06147,142,2896,0.05272,0.07022
1986,Upper Secondary Level,At least once per week,0.40052,2135,4978,0.38690,0.41413
1986,Upper Secondary Level,At least once per month,0.35208,1727,4978,0.33881,0.36535
1986,Upper Secondary Level,Seldom,0.20439,944,4978,0.19318,0.21559
1986,Upper Secondary Level,Never,0.04013,172,4978,0.03467,0.04558
1986,Post-secondary Non-tertiary Level,At least once per week,0.56910,151,267,0.50959,0.62861
1986,Post-secondary Non-tertiary Level,At least once per month,0.28979,79,267,0.23527,0.34431
1986,Post-secondary Non-tertiary Level,Seldom,0.12594,37,267,0.08607,0.16581
1986,First Stage of Tertiary Education,At least once per week,0.35007,210,561,0.31057,0.38958
1986,First Stage of Tertiary Education,At least once per month,0.39741,234,561,0.35688,0.43794
1986,First Stage of Tertiary Education,Seldom,0.20940,117,561,0.17570,0.24310
1986,Second Stage of Tertiary Education,At least once per week,0.44073,341,736,0.40483,0.47662
1986,Second Stage of Tertiary Education,At least once per month,0.38072,279,736,0.34562,0.41583
1986,Second Stage of Tertiary Education,Seldom,0.16519,116,736,0.13834,0.19203
1988,Pre-primary Level,At least once per week,0.71319,121,121,0.63227,0.79411
1988,Primary Level,At least once per week,0.50143,404,689,0.46406,0.53879
1988,Primary Level,At least once per month,0.23662,162,689,0.20486,0.26838
1988,Primary Level,Seldom,0.18223,86,689,0.15338,0.21108
1988,Primary Level,Never,0.07727,37,689,0.05732,0.09723
1988,Lower Secondary Level,At least once per week,0.39840,1309,2704,0.37994,0.41686
1988,Lower Secondary Level,At least once per month,0.30625,775,2704,0.28888,0.32363
1988,Lower Secondary Level,Seldom,0.21860,475,2704,0.20302,0.23418
1988,Lower Secondary Level,Never,0.07195,145,2704,0.06221,0.08169
