year,age_gr,bula_h,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Schleswig-Holstein,At least once per week,0.64746,55,55,0.52003,0.77489
1985,17-29 y.,Hamburg,At least once per week,0.81090,47,47,0.69774,0.92407
1985,17-29 y.,Lower Saxony,At least once per week,0.71022,205,265,0.65550,0.76495
1985,17-29 y.,Lower Saxony,At least once per month,0.18836,60,265,0.14119,0.23552
1985,17-29 y.,North Rhine-Westphalia,At least once per week,0.71915,595,854,0.68899,0.74931
1985,17-29 y.,North Rhine-Westphalia,At least once per month,0.18771,178,854,0.16150,0.21391
1985,17-29 y.,North Rhine-Westphalia,Seldom,0.08598,81,854,0.06717,0.10480
1985,17-29 y.,Hesse,At least once per week,0.69696,217,322,0.64669,0.74724
1985,17-29 y.,Hesse,At least once per month,0.21009,69,322,0.16553,0.25466
1985,17-29 y.,Hesse,Seldom,0.07581,36,322,0.04685,0.10477
1985,17-29 y.,"Rhineland-Palatinate, Saarland",At least once per week,0.57931,146,206,0.51173,0.64689
1985,17-29 y.,"Rhineland-Palatinate, Saarland",At least once per month,0.27826,60,206,0.21692,0.33961
1985,17-29 y.,Baden-Wuerttemberg,At least once per week,0.65016,421,603,0.61206,0.68825
1985,17-29 y.,Baden-Wuerttemberg,At least once per month,0.20748,119,603,0.17509,0.23987
1985,17-29 y.,Baden-Wuerttemberg,Seldom,0.12277,63,603,0.09655,0.14898
1985,17-29 y.,Bavaria,At least once per week,0.66440,351,512,0.62346,0.70534
1985,17-29 y.,Bavaria,At least once per month,0.18237,97,512,0.14889,0.21585
1985,17-29 y.,Bavaria,Seldom,0.13732,64,512,0.10748,0.16716
1985,17-29 y.,Berlin,At least once per week,0.66580,54,54,0.53880,0.79280
1985,30-45 y.,Schleswig-Holstein,At least once per week,0.31938,40,97,0.22611,0.41265
1985,30-45 y.,Schleswig-Holstein,At least once per month,0.42467,57,97,0.32579,0.52355
1985,30-45 y.,Hamburg,At least once per week,0.51374,52,86,0.40749,0.62000
1985,30-45 y.,Hamburg,At least once per month,0.37855,34,86,0.27543,0.48166
1985,30-45 y.,Lower Saxony,At least once per week,0.32135,128,333,0.27112,0.37159
1985,30-45 y.,Lower Saxony,At least once per month,0.39285,134,333,0.34031,0.44538
1985,30-45 y.,Lower Saxony,Seldom,0.24230,71,333,0.19621,0.28839
1985,30-45 y.,North Rhine-Westphalia,At least once per week,0.44406,448,972,0.41280,0.47531
1985,30-45 y.,North Rhine-Westphalia,At least once per month,0.37174,366,972,0.34134,0.40214
1985,30-45 y.,North Rhine-Westphalia,Seldom,0.16782,158,972,0.14431,0.19132
1985,30-45 y.,Hesse,At least once per week,0.43006,168,319,0.37565,0.48448
1985,30-45 y.,Hesse,At least once per month,0.36187,98,319,0.30905,0.41468
1985,30-45 y.,Hesse,Seldom,0.16953,53,319,0.12829,0.21077
1985,30-45 y.,"Rhineland-Palatinate, Saarland",At least once per week,0.34437,66,160,0.27051,0.41823
1985,30-45 y.,"Rhineland-Palatinate, Saarland",At least once per month,0.37433,61,160,0.29911,0.44955
1985,30-45 y.,"Rhineland-Palatinate, Saarland",Seldom,0.23049,33,160,0.16503,0.29595
1985,30-45 y.,Baden-Wuerttemberg,At least once per week,0.39886,308,620,0.36029,0.43744
1985,30-45 y.,Baden-Wuerttemberg,At least once per month,0.36008,203,620,0.32227,0.39790
1985,30-45 y.,Baden-Wuerttemberg,Seldom,0.20573,109,620,0.17389,0.23758
1985,30-45 y.,Bavaria,At least once per week,0.44549,287,586,0.40521,0.48576
1985,30-45 y.,Bavaria,At least once per month,0.32366,186,586,0.28575,0.36158
1985,30-45 y.,Bavaria,Seldom,0.20586,113,586,0.17309,0.23862
1985,30-45 y.,Berlin,At least once per week,0.44799,50,98,0.34902,0.54695
1985,30-45 y.,Berlin,At least once per month,0.41784,48,98,0.31969,0.51599
1985,46-65 y.,Schleswig-Holstein,At least once per month,0.34094,34,68,0.22744,0.45445
1985,46-65 y.,Schleswig-Holstein,Seldom,0.35162,34,68,0.23729,0.46595
1985,46-65 y.,Lower Saxony,At least once per week,0.23807,83,312,0.19073,0.28540
1985,46-65 y.,Lower Saxony,At least once per month,0.42229,138,312,0.36739,0.47718
1985,46-65 y.,Lower Saxony,Seldom,0.29112,91,312,0.24063,0.34161
1985,46-65 y.,North Rhine-Westphalia,At least once per week,0.37556,334,825,0.34249,0.40862
1985,46-65 y.,North Rhine-Westphalia,At least once per month,0.37861,313,825,0.34549,0.41172
1985,46-65 y.,North Rhine-Westphalia,Seldom,0.20697,178,825,0.17931,0.23463
1985,46-65 y.,Hesse,At least once per week,0.33529,136,336,0.28473,0.38584
1985,46-65 y.,Hesse,At least once per month,0.37005,125,336,0.31834,0.42175
1985,46-65 y.,Hesse,Seldom,0.21240,75,336,0.16860,0.25620
1985,46-65 y.,"Rhineland-Palatinate, Saarland",At least once per week,0.30820,84,246,0.25038,0.36602
1985,46-65 y.,"Rhineland-Palatinate, Saarland",At least once per month,0.38842,104,246,0.32739,0.44945
1985,46-65 y.,"Rhineland-Palatinate, Saarland",Seldom,0.22000,58,246,0.16813,0.27187
1985,46-65 y.,Baden-Wuerttemberg,At least once per week,0.30360,236,574,0.26595,0.34125
1985,46-65 y.,Baden-Wuerttemberg,At least once per month,0.34597,191,574,0.30702,0.38491
1985,46-65 y.,Baden-Wuerttemberg,Seldom,0.29301,147,574,0.25574,0.33027
1985,46-65 y.,Bavaria,At least once per week,0.36256,210,534,0.32175,0.40338
