year,rentown,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Owner,,,,,,,,,,,,
1984,Tenant,,,,,,,,,,,,
1985,Owner,,,,,,,,,,,,
1985,Tenant,,,,,,,,,,,,
1986,Owner,,,,,,,,,,,,
1986,Tenant,3184,67.26556306309847,65.9342334108028,68.59689271539413,44.0,61.0,81.0,0.0,136.5,61.0,61.0,64.025
1987,Owner,,,,,,,,,,,,
1987,Tenant,3134,63.81210032383321,62.493176456570886,65.13102419109552,40.0,55.0,76.0,0.0,130.0,55.0,54.0,59.0
1988,Owner,,,,,,,,,,,,
1988,Tenant,3001,61.69880243786432,60.329964948224685,63.06763992750396,40.0,51.0,76.0,0.0,130.0,51.0,49.0,51.0
1989,Owner,,,,,,,,,,,,
1989,Tenant,2918,60.02791822957228,58.58308674947365,61.47274970967091,38.0,51.0,76.0,0.0,133.0,51.0,51.0,51.0
1990,Owner,,,,,,,,,,,,
1990,Tenant,4362,50.11923390079711,49.02688852298975,51.211579278604475,25.0,46.0,66.0,0.0,127.5,46.0,44.0,49.0
1991,Owner,,,,,,,,,,,,
1991,Tenant,4251,54.46524444475259,53.45738678969503,55.473102099810156,30.0,51.0,76.0,0.0,145.0,51.0,51.0,51.0
1992,Owner,,,,,,,,,,,,
1992,Tenant,4100,65.80420408641724,64.76832395547731,66.84008421735717,40.0,61.0,81.0,5.0,142.5,61.0,61.0,66.0
1993,Owner,,,,,,,,,,,,
1993,Tenant,4055,67.16359784539578,66.09465846280051,68.23253722799106,43.0,61.0,83.0,0.0,143.0,61.0,61.0,63.025
1994,Owner,,,,,,,,,,,,
1994,Tenant,3979,65.98881126241776,64.94150684169668,67.03611568313883,42.0,61.0,79.0,0.0,134.5,61.0,61.0,65.0
1995,Owner,,,,,,,,,,,,
1995,Tenant,4128,66.03015210034324,65.00358171328978,67.05672248739671,41.0,61.0,81.0,0.0,141.0,61.0,61.0,66.0
1996,Owner,,,,,,,,,,,,
1996,Tenant,4033,57.96970924211528,57.0514958679189,58.887922616311656,39.0,51.0,75.0,0.0,129.0,51.0,51.0,51.0
1997,Owner,,,,,,,,,,,,
1997,Tenant,3900,57.44661662937558,56.500442301120906,58.39279095763026,38.0,51.0,72.0,4.0,123.0,51.0,51.0,51.0
1998,Owner,,,,,,,,,,,,
1998,Tenant,4296,55.144085988542955,54.27017516122417,56.01799681586174,35.0,51.0,69.0,0.0,120.0,51.0,51.0,51.0
1999,Owner,,,,,,,,,,,,
1999,Tenant,4076,54.641574336187,53.774347772572604,55.50880089980139,35.0,51.0,66.0,2.0,112.5,51.0,51.0,51.0
2000,Owner,,,,,,,,,,,,
2000,Tenant,6769,56.233447904648806,55.482372233273786,56.984523576023825,35.0,51.0,70.0,1.0,122.5,51.0,51.0,51.0
2001,Owner,,,,,,,,,,,,
2001,Tenant,6084,60.247856464819286,59.4223574393635,61.07335549027507,40.0,51.0,76.0,1.0,130.0,51.0,51.0,51.0
2002,Owner,,,,,,,,,,,,
2002,Tenant,6006,60.517913013274644,59.66264527120576,61.373180755343526,40.0,50.0,75.0,1.0,127.5,50.0,50.0,50.0
2003,Owner,,,,,,,,,,,,
2003,Tenant,5790,64.59954566742773,63.6419829879445,65.55710834691097,40.0,55.0,80.0,6.0,140.0,55.0,54.0,58.0
2004,Owner,,,,,,,,,,,,
2004,Tenant,5620,67.38500198666074,66.37171698942635,68.39828698389513,43.0,60.0,80.0,5.0,135.5,60.0,60.0,60.0
2005,Owner,,,,,,,,,,,,
2005,Tenant,5451,70.3647148480461,69.31117865169918,71.41825104439303,45.0,60.0,88.0,2.0,152.5,60.0,60.0,60.0
2006,Owner,,,,,,,,,,,,
2006,Tenant,5885,77.06753609565109,76.00058234541548,78.1344898458867,50.0,70.0,100.0,1.0,175.0,70.0,70.0,73.0
2007,Owner,,,,,,,,,,,,
2007,Tenant,5455,82.67282885345207,81.42014788399648,83.92550982290767,50.0,73.0,100.0,6.0,175.0,73.0,71.0,76.0
2008,Owner,,,,,,,,,,,,
2008,Tenant,5098,85.27525365552076,83.87612530346382,86.67438200757769,50.0,75.0,100.0,5.0,175.0,75.0,72.975,78.0
2009,Owner,,,,,,,,,,,,
2009,Tenant,4784,87.0664625131484,85.66569584375674,88.46722918254005,50.0,78.0,100.0,5.0,175.0,78.0,76.0,81.0
2010,Owner,,,,,,,,,,,,
2010,Tenant,7078,85.7608990960815,84.64323593658821,86.87856225557479,50.0,76.0,100.0,0.0,175.0,76.0,72.0,77.0
2011,Owner,,,,,,,,,,,,
2011,Tenant,8432,88.26025011347,87.2128785813757,89.30762164556428,55.0,80.0,105.0,0.0,180.0,80.0,80.0,80.0
2012,Owner,,,,,,,,,,,,
2012,Tenant,8267,89.12916261249427,88.07547380595538,90.18285141903316,54.0,80.0,109.0,2.0,191.5,80.0,80.0,80.0
2013,Owner,,,,,,,,,,,,
2013,Tenant,9731,88.8972023712083,87.90918815969444,89.88521658272215,55.0,80.0,105.0,0.0,180.0,80.0,80.0,80.0
2014,Owner,,,,,,,,,,,,
2014,Tenant,8385,88.55596067764994,87.48228959912785,89.62963175617202,54.0,80.0,106.0,3.0,184.0,80.0,80.0,80.0
2015,Owner,170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Tenant,8875,79.22230827334609,78.20622096241675,80.23839558427542,50.0,71.0,100.0,0.0,175.0,71.0,69.0,72.0
2016,Owner,,,,,,,,,,,,
2016,Tenant,7422,84.48859582908794,83.40877826326592,85.56841339490997,50.0,75.0,100.0,2.0,175.0,75.0,73.0,80.0
2017,Owner,,,,,,,,,,,,
2017,Tenant,7929,84.03301627960134,83.05331580479401,85.01271675440867,50.0,76.0,100.0,1.0,175.0,76.0,72.0,77.0
2018,Owner,,,,,,,,,,,,
2018,Tenant,8009,84.96658374134229,83.95667107792448,85.9764964047601,52.0,80.0,100.0,1.0,172.0,80.0,80.0,85.0
