year,hhtyp,rentown,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Single-person household,Owner,,,,,,,,,,,,
1984,Single-person household,Tenant,,,,,,,,,,,,
1984,Couple without children,Owner,,,,,,,,,,,,
1984,Couple without children,Tenant,,,,,,,,,,,,
1984,Single parent,Owner,,,,,,,,,,,,
1984,Single parent,Tenant,,,,,,,,,,,,
1984,Couple with children,Owner,,,,,,,,,,,,
1984,Couple with children,Tenant,,,,,,,,,,,,
1984,Multi-generational household,Owner,,,,,,,,,,,,
1984,Multi-generational household,Tenant,,,,,,,,,,,,
1984,Other Combinations,Owner,,,,,,,,,,,,
1984,Other Combinations,Tenant,,,,,,,,,,,,
1985,Single-person household,Owner,,,,,,,,,,,,
1985,Single-person household,Tenant,,,,,,,,,,,,
1985,Couple without children,Owner,,,,,,,,,,,,
1985,Couple without children,Tenant,,,,,,,,,,,,
1985,Single parent,Owner,,,,,,,,,,,,
1985,Single parent,Tenant,,,,,,,,,,,,
1985,Couple with children,Owner,,,,,,,,,,,,
1985,Couple with children,Tenant,,,,,,,,,,,,
1985,Multi-generational household,Owner,,,,,,,,,,,,
1985,Multi-generational household,Tenant,,,,,,,,,,,,
1985,Other Combinations,Owner,,,,,,,,,,,,
1985,Other Combinations,Tenant,,,,,,,,,,,,
1986,Single-person household,Owner,,,,,,,,,,,,
1986,Single-person household,Tenant,849,55.22860,53.04122,57.41597,35.00000,51.00000,66.00000,0.00000,112.50000,51.00000,51.00000,51.00000
1986,Couple without children,Owner,,,,,,,,,,,,
1986,Couple without children,Tenant,745,69.91769,67.36489,72.47049,51.00000,61.00000,81.00000,6.00000,126.00000,61.00000,61.00000,66.00000
1986,Single parent,Owner,,,,,,,,,,,,
1986,Single parent,Tenant,193,72.14048,66.80142,77.47954,51.00000,63.31658,86.00000,0.00000,138.50000,63.00000,61.00000,72.00000
1986,Couple with children,Owner,,,,,,,,,,,,
1986,Couple with children,Tenant,1274,84.50911,82.16412,86.85410,56.00000,76.00000,102.00000,0.00000,171.00000,76.00000,76.00000,76.00000
1986,Multi-generational household,Owner,,,,,,,,,,,,
1986,Multi-generational household,Tenant,53,78.86810,62.25561,95.48059,41.36830,69.28046,102.00000,0.00000,192.94755,74.00000,51.00000,76.00000
1986,Other Combinations,Owner,,,,,,,,,,,,
1986,Other Combinations,Tenant,70,75.59073,68.17643,83.00503,51.00000,76.00000,102.00000,0.00000,153.00000,76.00000,56.00000,81.27500
1987,Single-person household,Owner,,,,,,,,,,,,
1987,Single-person household,Tenant,848,52.69708,50.35430,55.03985,33.00000,51.00000,61.00000,0.00000,103.00000,51.00000,46.00000,51.00000
1987,Couple without children,Owner,,,,,,,,,,,,
1987,Couple without children,Tenant,717,67.26433,64.64345,69.88521,49.00000,61.00000,76.00000,8.50000,116.50000,61.00000,56.00000,61.00000
1987,Single parent,Owner,,,,,,,,,,,,
1987,Single parent,Tenant,189,73.90444,68.14453,79.66435,51.00000,66.00000,88.71017,10.00000,145.27542,66.00000,61.00000,76.00000
1987,Couple with children,Owner,,,,,,,,,,,,
1987,Couple with children,Tenant,1251,77.69925,75.55365,79.84485,51.00000,76.00000,97.00000,0.00000,166.00000,76.00000,71.00000,76.00000
1987,Multi-generational household,Owner,,,,,,,,,,,,
1987,Multi-generational household,Tenant,59,78.92370,71.07526,86.77214,51.00000,76.00000,102.00000,28.00000,153.00000,76.00000,65.87500,97.00000
1987,Other Combinations,Owner,,,,,,,,,,,,
1987,Other Combinations,Tenant,70,67.85215,61.06146,74.64284,51.00000,61.00000,81.54471,15.00000,127.36178,61.00000,56.00000,71.00000
1988,Single-person household,Owner,,,,,,,,,,,,
1988,Single-person household,Tenant,800,52.07664,49.57398,54.57930,33.00000,50.00000,61.00000,0.00000,103.00000,50.00000,46.00000,51.00000
1988,Couple without children,Owner,,,,,,,,,,,,
1988,Couple without children,Tenant,716,63.50445,61.09814,65.91075,46.00000,56.00000,76.00000,1.00000,121.00000,56.00000,51.00000,61.00000
1988,Single parent,Owner,,,,,,,,,,,,
1988,Single parent,Tenant,181,65.86289,61.52536,70.20042,51.00000,61.00000,76.00000,13.50000,113.50000,61.00000,51.00000,63.00000
1988,Couple with children,Owner,,,,,,,,,,,,
1988,Couple with children,Tenant,1185,75.67550,73.41280,77.93820,51.00000,69.00000,92.00000,0.00000,153.50000,69.00000,65.97500,76.00000
1988,Multi-generational household,Owner,,,,,,,,,,,,
1988,Multi-generational household,Tenant,57,77.22223,66.47629,87.96817,44.90888,75.20465,102.00000,0.00000,178.00000,76.00000,51.00000,102.00000
1988,Other Combinations,Owner,,,,,,,,,,,,
1988,Other Combinations,Tenant,62,70.02761,50.26211,89.79311,38.60434,60.73533,76.00000,20.00000,132.09348,61.00000,51.00000,71.00000
1989,Single-person household,Owner,,,,,,,,,,,,
1989,Single-person household,Tenant,808,51.36691,48.59588,54.13794,31.00000,47.21880,61.00000,0.00000,106.00000,47.00000,46.00000,51.00000
1989,Couple without children,Owner,,,,,,,,,,,,
1989,Couple without children,Tenant,714,63.00537,60.11376,65.89697,40.00000,51.00000,76.00000,0.00000,130.00000,51.00000,51.00000,56.00000
1989,Single parent,Owner,,,,,,,,,,,,
1989,Single parent,Tenant,161,66.70471,61.99494,71.41448,43.00000,61.00000,82.46349,0.00000,141.65874,61.00000,56.00000,71.00000
1989,Couple with children,Owner,,,,,,,,,,,,
1989,Couple with children,Tenant,1126,72.39801,70.15596,74.64006,51.00000,63.00000,92.00000,0.00000,153.50000,63.00000,61.00000,71.00000
1989,Multi-generational household,Owner,,,,,,,,,,,,
1989,Multi-generational household,Tenant,56,71.71886,61.02136,82.41636,52.72044,66.00000,85.25497,15.00000,134.05677,66.00000,61.00000,78.00000
1989,Other Combinations,Owner,,,,,,,,,,,,
1989,Other Combinations,Tenant,53,52.46661,45.85222,59.08101,30.00000,51.00000,68.80836,15.00000,127.02089,51.00000,40.00000,61.00000
1990,Single-person household,Owner,,,,,,,,,,,,
1990,Single-person household,Tenant,1049,42.88976,41.08753,44.69199,25.00000,40.00000,53.00000,0.00000,95.00000,40.00000,38.00000,40.00000
1990,Couple without children,Owner,,,,,,,,,,,,
1990,Couple without children,Tenant,1050,51.75262,49.52578,53.97947,25.00000,51.00000,71.00000,0.00000,140.00000,51.00000,46.00000,51.00000
1990,Single parent,Owner,,,,,,,,,,,,
1990,Single parent,Tenant,275,54.21089,50.12180,58.29998,25.01242,51.00000,76.00000,0.00000,152.48137,51.00000,46.97500,51.00000
1990,Couple with children,Owner,,,,,,,,,,,,
1990,Couple with children,Tenant,1829,59.04229,56.99213,61.09244,25.00000,51.00000,76.00000,0.00000,152.50000,51.00000,51.00000,51.00000
1990,Multi-generational household,Owner,,,,,,,,,,,,
