year,migback,ple0009,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,No migration background,"Yes, strongly limited",0.09417,2192,22772,0.09037,0.09796
2012,No migration background,"Yes, somewhat limited",0.22914,5795,22772,0.22368,0.23459
2012,No migration background,"No, not limited at all",0.50817,14785,22772,0.50168,0.51467
2012,Direct migration background,"Yes, strongly limited",0.09034,258,3063,0.08018,0.10049
2012,Direct migration background,"Yes, somewhat limited",0.22656,680,3063,0.21173,0.24139
2012,Direct migration background,"No, not limited at all",0.61266,2125,3063,0.59540,0.62991
2012,Indirect migration background,"Yes, strongly limited",0.01676,55,1189,0.00946,0.02406
2012,Indirect migration background,"Yes, somewhat limited",0.08061,198,1189,0.06513,0.09609
2012,Indirect migration background,"No, not limited at all",0.34904,936,1189,0.32193,0.37614
2013,No migration background,"Yes, strongly limited",0.09492,2031,21821,0.09103,0.09881
2013,No migration background,"Yes, somewhat limited",0.21448,5252,21821,0.20904,0.21993
2013,No migration background,"No, not limited at all",0.53514,14538,21821,0.52852,0.54175
2013,Direct migration background,"Yes, strongly limited",0.08450,472,6459,0.07772,0.09129
2013,Direct migration background,"Yes, somewhat limited",0.20841,1180,6459,0.19851,0.21832
2013,Direct migration background,"No, not limited at all",0.66142,4807,6459,0.64988,0.67296
2013,Indirect migration background,"Yes, strongly limited",0.01827,64,2054,0.01247,0.02406
2013,Indirect migration background,"Yes, somewhat limited",0.05998,279,2054,0.04971,0.07025
2013,Indirect migration background,"No, not limited at all",0.39727,1711,2054,0.37610,0.41843
2015,No migration background,"Yes, strongly limited",0.09644,1824,18792,0.09222,0.10066
2015,No migration background,"Yes, somewhat limited",0.22271,4813,18792,0.21676,0.22866
2015,No migration background,"No, not limited at all",0.52115,12155,18792,0.51401,0.52830
2015,Direct migration background,"Yes, strongly limited",0.09156,412,5953,0.08423,0.09888
2015,Direct migration background,"Yes, somewhat limited",0.20393,1057,5953,0.19370,0.21417
2015,Direct migration background,"No, not limited at all",0.64839,4484,5953,0.63626,0.66052
2015,Indirect migration background,"Yes, strongly limited",0.02377,62,1601,0.01631,0.03123
2015,Indirect migration background,"Yes, somewhat limited",0.06252,225,1601,0.05065,0.07438
2015,Indirect migration background,"No, not limited at all",0.40051,1314,1601,0.37650,0.42452
2019,No migration background,"Yes, strongly limited",0.09532,1861,20069,0.09126,0.09938
2019,No migration background,"Yes, somewhat limited",0.23445,5298,20069,0.22858,0.24031
2019,No migration background,"No, not limited at all",0.52334,12910,20069,0.51643,0.53025
2019,Direct migration background,"Yes, strongly limited",0.08426,505,7294,0.07788,0.09063
2019,Direct migration background,"Yes, somewhat limited",0.23875,1374,7294,0.22897,0.24854
2019,Direct migration background,"No, not limited at all",0.61884,5415,7294,0.60769,0.62998
2019,Indirect migration background,"Yes, strongly limited",0.02303,81,1564,0.01559,0.03046
2019,Indirect migration background,"Yes, somewhat limited",0.08427,261,1564,0.07050,0.09804
2019,Indirect migration background,"No, not limited at all",0.40161,1222,1564,0.37731,0.42591
2021,No migration background,"Yes, strongly limited",0.08466,1106,13201,0.07991,0.08941
2021,No migration background,"Yes, somewhat limited",0.21865,3316,13201,0.21160,0.22570
2021,No migration background,"No, not limited at all",0.55231,8779,13201,0.54383,0.56079
2021,Direct migration background,"Yes, strongly limited",0.07981,308,5383,0.07257,0.08705
2021,Direct migration background,"Yes, somewhat limited",0.22134,936,5383,0.21025,0.23244
2021,Direct migration background,"No, not limited at all",0.62967,4139,5383,0.61677,0.64258
2021,Indirect migration background,"Yes, strongly limited",0.02735,42,937,0.01690,0.03780
2021,Indirect migration background,"Yes, somewhat limited",0.08895,161,937,0.07071,0.10719
2021,Indirect migration background,"No, not limited at all",0.35848,734,937,0.32776,0.38921
