year,age_gr,migback,ple0009,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,17-29 y.,No migration background,"Yes, strongly limited",0.01489,50,3019,0.01057,0.01921
2012,17-29 y.,No migration background,"Yes, somewhat limited",0.10337,355,3019,0.09251,0.11423
2012,17-29 y.,No migration background,"No, not limited at all",0.78221,2614,3019,0.76748,0.79694
2012,17-29 y.,Direct migration background,"Yes, somewhat limited",0.07260,41,378,0.04641,0.09879
2012,17-29 y.,Direct migration background,"No, not limited at all",0.86433,337,378,0.82976,0.89890
2012,17-29 y.,Indirect migration background,"Yes, somewhat limited",0.10011,52,478,0.07317,0.12705
2012,17-29 y.,Indirect migration background,"No, not limited at all",0.74994,426,478,0.71108,0.78880
2012,30-45 y.,No migration background,"Yes, strongly limited",0.03805,269,6980,0.03356,0.04253
2012,30-45 y.,No migration background,"Yes, somewhat limited",0.18826,1275,6980,0.17909,0.19744
2012,30-45 y.,No migration background,"No, not limited at all",0.74473,5436,6980,0.73450,0.75496
2012,30-45 y.,Direct migration background,"Yes, strongly limited",0.02755,46,1376,0.01889,0.03620
2012,30-45 y.,Direct migration background,"Yes, somewhat limited",0.13251,205,1376,0.11459,0.15043
2012,30-45 y.,Direct migration background,"No, not limited at all",0.80406,1125,1376,0.78308,0.82504
2012,30-45 y.,Indirect migration background,"Yes, somewhat limited",0.20916,100,534,0.17463,0.24368
2012,30-45 y.,Indirect migration background,"No, not limited at all",0.71478,434,534,0.67645,0.75311
2012,46-65 y.,No migration background,"Yes, strongly limited",0.10963,854,8082,0.10282,0.11644
2012,46-65 y.,No migration background,"Yes, somewhat limited",0.28808,2293,8082,0.27821,0.29796
2012,46-65 y.,No migration background,"No, not limited at all",0.56823,4935,8082,0.55743,0.57903
2012,46-65 y.,Direct migration background,"Yes, strongly limited",0.10643,101,899,0.08626,0.12660
2012,46-65 y.,Direct migration background,"Yes, somewhat limited",0.30558,293,899,0.27545,0.33571
2012,46-65 y.,Direct migration background,"No, not limited at all",0.53776,505,899,0.50515,0.57037
2012,46-65 y.,Indirect migration background,"Yes, somewhat limited",0.35718,45,118,0.27036,0.44401
2012,46-65 y.,Indirect migration background,"No, not limited at all",0.49986,73,118,0.40926,0.59046
2012,66 and older,No migration background,"Yes, strongly limited",0.22553,1019,4691,0.21357,0.23749
2012,66 and older,No migration background,"Yes, somewhat limited",0.39567,1872,4691,0.38167,0.40966
2012,66 and older,No migration background,"No, not limited at all",0.35575,1800,4691,0.34205,0.36945
2012,66 and older,Direct migration background,"Yes, strongly limited",0.24568,106,405,0.20371,0.28766
2012,66 and older,Direct migration background,"Yes, somewhat limited",0.39137,141,405,0.34378,0.43896
2012,66 and older,Direct migration background,"No, not limited at all",0.33049,158,405,0.28462,0.37636
2013,17-29 y.,No migration background,"Yes, strongly limited",0.01859,55,2900,0.01367,0.02350
2013,17-29 y.,No migration background,"Yes, somewhat limited",0.08904,326,2900,0.07867,0.09941
2013,17-29 y.,No migration background,"No, not limited at all",0.80435,2519,2900,0.78991,0.81880
2013,17-29 y.,Direct migration background,"Yes, somewhat limited",0.07129,75,1076,0.05591,0.08668
2013,17-29 y.,Direct migration background,"No, not limited at all",0.91301,1001,1076,0.89616,0.92986
2013,17-29 y.,Indirect migration background,"Yes, somewhat limited",0.07108,95,992,0.05508,0.08708
2013,17-29 y.,Indirect migration background,"No, not limited at all",0.83194,897,992,0.80866,0.85522
2013,30-45 y.,No migration background,"Yes, strongly limited",0.04222,244,6417,0.03730,0.04714
2013,30-45 y.,No migration background,"Yes, somewhat limited",0.15575,1101,6417,0.14688,0.16463
2013,30-45 y.,No migration background,"No, not limited at all",0.79287,5072,6417,0.78295,0.80278
2013,30-45 y.,Direct migration background,"Yes, strongly limited",0.04290,127,3031,0.03568,0.05012
2013,30-45 y.,Direct migration background,"Yes, somewhat limited",0.12604,420,3031,0.11422,0.13785
2013,30-45 y.,Direct migration background,"No, not limited at all",0.83024,2484,3031,0.81687,0.84361
2013,30-45 y.,Indirect migration background,"Yes, somewhat limited",0.14205,134,841,0.11844,0.16566
2013,30-45 y.,Indirect migration background,"No, not limited at all",0.80418,707,841,0.77734,0.83101
2013,46-65 y.,No migration background,"Yes, strongly limited",0.11550,856,8000,0.10850,0.12251
2013,46-65 y.,No migration background,"Yes, somewhat limited",0.26914,2100,8000,0.25942,0.27886
