"plh0106","year","age_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"1 Sehr wichtig","1990","17-34","(noch) kein Abschluss","52","0.354965145473829","0.277612731686363","0.432317559261295"
"1 Sehr wichtig","1990","17-34","Hauptschule","246","0.238329778954553","0.212118530133648","0.264541027775458"
"1 Sehr wichtig","1990","17-34","Realschule","224","0.287315621918815","0.255660681362646","0.318970562474983"
"1 Sehr wichtig","1990","17-34","(Fach-)Abitur","157","0.428956803283288","0.380271923872785","0.47764168269379"
"1 Sehr wichtig","1990","17-34","AkademikerIn","58","0.319233069899415","0.251130264729459","0.38733587506937"
"1 Sehr wichtig","1990","35-65","(noch) kein Abschluss","2","","",""
"1 Sehr wichtig","1990","35-65","Hauptschule","293","0.132499425470575","0.118688764109282","0.146310086831867"
"1 Sehr wichtig","1990","35-65","Realschule","83","0.142924981538541","0.114465727289229","0.171384235787853"
"1 Sehr wichtig","1990","35-65","(Fach-)Abitur","27","","",""
"1 Sehr wichtig","1990","35-65","AkademikerIn","92","0.217876858548574","0.178016371278197","0.257737345818951"
"1 Sehr wichtig","1990","66 +","(noch) kein Abschluss","","","",""
"1 Sehr wichtig","1990","66 +","Hauptschule","26","","",""
"1 Sehr wichtig","1990","66 +","Realschule","15","","",""
"1 Sehr wichtig","1990","66 +","(Fach-)Abitur","2","","",""
"1 Sehr wichtig","1990","66 +","AkademikerIn","14","","",""
"2 Wichtig","1990","17-34","(noch) kein Abschluss","75","0.519858685175339","0.439094909402357","0.600622460948322"
"2 Wichtig","1990","17-34","Hauptschule","605","0.604396163131139","0.574314200546389","0.634478125715888"
"2 Wichtig","1990","17-34","Realschule","433","0.543948068978731","0.509106385440712","0.57878975251675"
"2 Wichtig","1990","17-34","(Fach-)Abitur","198","0.483455628007362","0.434298673924154","0.532612582090569"
"2 Wichtig","1990","17-34","AkademikerIn","100","0.585064489455533","0.513085787570574","0.657043191340492"
"2 Wichtig","1990","35-65","(noch) kein Abschluss","7","","",""
"2 Wichtig","1990","35-65","Hauptschule","1224","0.521640822556143","0.501292180419546","0.541989464692739"
"2 Wichtig","1990","35-65","Realschule","336","0.567477042092575","0.527192469971941","0.607761614213208"
"2 Wichtig","1990","35-65","(Fach-)Abitur","64","0.504865009229212","0.415409536864611","0.594320481593813"
"2 Wichtig","1990","35-65","AkademikerIn","221","0.544821866961004","0.49673600081873","0.592907733103277"
"2 Wichtig","1990","66 +","(noch) kein Abschluss","4","","",""
"2 Wichtig","1990","66 +","Hauptschule","304","0.41718213244988","0.381436854274668","0.452927410625092"
"2 Wichtig","1990","66 +","Realschule","62","0.403736168717792","0.326244360945305","0.481227976490279"
"2 Wichtig","1990","66 +","(Fach-)Abitur","20","","",""
"2 Wichtig","1990","66 +","AkademikerIn","26","","",""
"3 Weniger wichtig","1990","17-34","(noch) kein Abschluss","18","","",""
"3 Weniger wichtig","1990","17-34","Hauptschule","156","0.149570317453728","0.127629288901561","0.171511346005895"
"3 Weniger wichtig","1990","17-34","Realschule","123","0.163655324801978","0.137774925007033","0.189535724596923"
"3 Weniger wichtig","1990","17-34","(Fach-)Abitur","41","0.0846828281349408","0.057296341592067","0.112069314677815"
"3 Weniger wichtig","1990","17-34","AkademikerIn","20","","",""
"3 Weniger wichtig","1990","35-65","(noch) kein Abschluss","7","","",""
"3 Weniger wichtig","1990","35-65","Hauptschule","691","0.298544789322047","0.279903441323807","0.317186137320286"
"3 Weniger wichtig","1990","35-65","Realschule","140","0.248062527530076","0.212944390333318","0.283180664726834"
"3 Weniger wichtig","1990","35-65","(Fach-)Abitur","23","","",""
"3 Weniger wichtig","1990","35-65","AkademikerIn","90","0.212780714357223","0.173261029125162","0.252300399589283"
"3 Weniger wichtig","1990","66 +","(noch) kein Abschluss","1","","",""
"3 Weniger wichtig","1990","66 +","Hauptschule","285","0.396468279145304","0.361007875413287","0.431928682877321"
"3 Weniger wichtig","1990","66 +","Realschule","59","0.393756577803693","0.316590724805513","0.470922430801873"
"3 Weniger wichtig","1990","66 +","(Fach-)Abitur","21","","",""
"3 Weniger wichtig","1990","66 +","AkademikerIn","12","","",""
"4 Ganz unwichtig","1990","17-34","(noch) kein Abschluss","2","","",""
"4 Ganz unwichtig","1990","17-34","Hauptschule","8","","",""
"4 Ganz unwichtig","1990","17-34","Realschule","5","","",""
"4 Ganz unwichtig","1990","17-34","(Fach-)Abitur","1","","",""
"4 Ganz unwichtig","1990","17-34","AkademikerIn","2","","",""
"4 Ganz unwichtig","1990","35-65","(noch) kein Abschluss","1","","",""
"4 Ganz unwichtig","1990","35-65","Hauptschule","107","0.047314962651236","0.0386663486121564","0.0559635766903156"
"4 Ganz unwichtig","1990","35-65","Realschule","22","","",""
"4 Ganz unwichtig","1990","35-65","(Fach-)Abitur","6","","",""
"4 Ganz unwichtig","1990","35-65","AkademikerIn","9","","",""
"4 Ganz unwichtig","1990","66 +","(noch) kein Abschluss","1","","",""
"4 Ganz unwichtig","1990","66 +","Hauptschule","116","0.153443219485403","0.1273161139287","0.179570325042107"
"4 Ganz unwichtig","1990","66 +","Realschule","18","","",""
"4 Ganz unwichtig","1990","66 +","(Fach-)Abitur","","","",""
"4 Ganz unwichtig","1990","66 +","AkademikerIn","9","","",""
"1 Sehr wichtig","1991","17-34","(noch) kein Abschluss","","","",""
"1 Sehr wichtig","1991","17-34","Hauptschule","","","",""
"1 Sehr wichtig","1991","17-34","Realschule","","","",""
"1 Sehr wichtig","1991","17-34","(Fach-)Abitur","","","",""
"1 Sehr wichtig","1991","17-34","AkademikerIn","","","",""
"1 Sehr wichtig","1991","35-65","(noch) kein Abschluss","","","",""
"1 Sehr wichtig","1991","35-65","Hauptschule","","","",""
"1 Sehr wichtig","1991","35-65","Realschule","","","",""
"1 Sehr wichtig","1991","35-65","(Fach-)Abitur","","","",""
"1 Sehr wichtig","1991","35-65","AkademikerIn","","","",""
"1 Sehr wichtig","1991","66 +","(noch) kein Abschluss","","","",""
"1 Sehr wichtig","1991","66 +","Hauptschule","","","",""
"1 Sehr wichtig","1991","66 +","Realschule","","","",""
"1 Sehr wichtig","1991","66 +","(Fach-)Abitur","","","",""
"1 Sehr wichtig","1991","66 +","AkademikerIn","","","",""
"2 Wichtig","1991","17-34","(noch) kein Abschluss","","","",""
"2 Wichtig","1991","17-34","Hauptschule","","","",""
"2 Wichtig","1991","17-34","Realschule","","","",""
"2 Wichtig","1991","17-34","(Fach-)Abitur","","","",""
"2 Wichtig","1991","17-34","AkademikerIn","","","",""
"2 Wichtig","1991","35-65","(noch) kein Abschluss","","","",""
"2 Wichtig","1991","35-65","Hauptschule","","","",""
"2 Wichtig","1991","35-65","Realschule","","","",""
"2 Wichtig","1991","35-65","(Fach-)Abitur","","","",""
"2 Wichtig","1991","35-65","AkademikerIn","","","",""
"2 Wichtig","1991","66 +","(noch) kein Abschluss","","","",""
"2 Wichtig","1991","66 +","Hauptschule","","","",""
"2 Wichtig","1991","66 +","Realschule","","","",""
"2 Wichtig","1991","66 +","(Fach-)Abitur","","","",""
"2 Wichtig","1991","66 +","AkademikerIn","","","",""
"3 Weniger wichtig","1991","17-34","(noch) kein Abschluss","","","",""
"3 Weniger wichtig","1991","17-34","Hauptschule","","","",""
"3 Weniger wichtig","1991","17-34","Realschule","","","",""
"3 Weniger wichtig","1991","17-34","(Fach-)Abitur","","","",""
"3 Weniger wichtig","1991","17-34","AkademikerIn","","","",""
"3 Weniger wichtig","1991","35-65","(noch) kein Abschluss","","","",""
"3 Weniger wichtig","1991","35-65","Hauptschule","","","",""
"3 Weniger wichtig","1991","35-65","Realschule","","","",""
"3 Weniger wichtig","1991","35-65","(Fach-)Abitur","","","",""
"3 Weniger wichtig","1991","35-65","AkademikerIn","","","",""
"3 Weniger wichtig","1991","66 +","(noch) kein Abschluss","","","",""
"3 Weniger wichtig","1991","66 +","Hauptschule","","","",""
"3 Weniger wichtig","1991","66 +","Realschule","","","",""
"3 Weniger wichtig","1991","66 +","(Fach-)Abitur","","","",""
"3 Weniger wichtig","1991","66 +","AkademikerIn","","","",""
"4 Ganz unwichtig","1991","17-34","(noch) kein Abschluss","","","",""
"4 Ganz unwichtig","1991","17-34","Hauptschule","","","",""
"4 Ganz unwichtig","1991","17-34","Realschule","","","",""
"4 Ganz unwichtig","1991","17-34","(Fach-)Abitur","","","",""
"4 Ganz unwichtig","1991","17-34","AkademikerIn","","","",""
"4 Ganz unwichtig","1991","35-65","(noch) kein Abschluss","","","",""
"4 Ganz unwichtig","1991","35-65","Hauptschule","","","",""
"4 Ganz unwichtig","1991","35-65","Realschule","","","",""
"4 Ganz unwichtig","1991","35-65","(Fach-)Abitur","","","",""
"4 Ganz unwichtig","1991","35-65","AkademikerIn","","","",""
"4 Ganz unwichtig","1991","66 +","(noch) kein Abschluss","","","",""
"4 Ganz unwichtig","1991","66 +","Hauptschule","","","",""
"4 Ganz unwichtig","1991","66 +","Realschule","","","",""
"4 Ganz unwichtig","1991","66 +","(Fach-)Abitur","","","",""
"4 Ganz unwichtig","1991","66 +","AkademikerIn","","","",""
"1 Sehr wichtig","1992","17-34","(noch) kein Abschluss","61","0.287546203589397","0.224341827375292","0.350750579803503"
"1 Sehr wichtig","1992","17-34","Hauptschule","249","0.229457619243606","0.204084645618309","0.254830592868904"
"1 Sehr wichtig","1992","17-34","Realschule","491","0.292003293037456","0.270070999597347","0.313935586477565"
"1 Sehr wichtig","1992","17-34","(Fach-)Abitur","203","0.397057907564078","0.35364659604558","0.440469219082576"
"1 Sehr wichtig","1992","17-34","AkademikerIn","150","0.347542162704189","0.302269753982688","0.392814571425691"
"1 Sehr wichtig","1992","35-65","(noch) kein Abschluss","2","","",""
"1 Sehr wichtig","1992","35-65","Hauptschule","426","0.133955259286896","0.122075925723479","0.145834592850314"
"1 Sehr wichtig","1992","35-65","Realschule","218","0.178881258553453","0.156535542673629","0.201226974433276"
"1 Sehr wichtig","1992","35-65","(Fach-)Abitur","41","0.290051509235678","0.220811502117529","0.359291516353826"
"1 Sehr wichtig","1992","35-65","AkademikerIn","259","0.23106462873435","0.205855513450189","0.25627374401851"
"1 Sehr wichtig","1992","66 +","(noch) kein Abschluss","","","",""
"1 Sehr wichtig","1992","66 +","Hauptschule","50","0.0436419668573117","0.0310921723492443","0.0561917613653792"
"1 Sehr wichtig","1992","66 +","Realschule","13","","",""
"1 Sehr wichtig","1992","66 +","(Fach-)Abitur","3","","",""
"1 Sehr wichtig","1992","66 +","AkademikerIn","15","","",""
"2 Wichtig","1992","17-34","(noch) kein Abschluss","106","0.565944816628017","0.49673391695436","0.635155716301674"
