year,bula_h,quintil_oecd,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Schleswig-Holstein,1st Quintile,No,0.95008,234,234,0.92212,0.97805
2014,Schleswig-Holstein,2nd Quintile,No,0.99288,178,178,0.98050,1.00527
2014,Schleswig-Holstein,3rd Quintile,No,0.98718,165,165,0.96996,1.00440
2014,Schleswig-Holstein,4th Quintile,No,0.99401,181,181,0.98273,1.00528
2014,Schleswig-Holstein,5th Quintile,No,0.97575,155,155,0.95145,1.00004
2014,Hamburg,4th Quintile,No,0.99377,97,97,0.97802,1.00951
2014,Lower Saxony,1st Quintile,No,0.99106,590,590,0.98346,0.99866
2014,Lower Saxony,2nd Quintile,No,0.97696,490,490,0.96366,0.99026
2014,Lower Saxony,3rd Quintile,No,0.99934,467,467,0.99701,1.00167
2014,Lower Saxony,4th Quintile,No,0.99777,539,539,0.99379,1.00176
2014,Lower Saxony,5th Quintile,No,0.99058,483,483,0.98195,0.99920
2014,Bremen,1st Quintile,No,0.98015,74,74,0.94815,1.01215
2014,North Rhine-Westphalia,1st Quintile,No,0.99005,1279,1279,0.98461,0.99549
2014,North Rhine-Westphalia,2nd Quintile,No,0.98044,1047,1047,0.97205,0.98883
2014,North Rhine-Westphalia,3rd Quintile,No,0.99187,1024,1024,0.98637,0.99737
2014,North Rhine-Westphalia,4th Quintile,No,0.99133,1035,1035,0.98568,0.99698
2014,North Rhine-Westphalia,5th Quintile,No,0.98893,1182,1182,0.98297,0.99490
2014,Hesse,1st Quintile,No,0.98639,366,366,0.97450,0.99828
2014,Hesse,2nd Quintile,No,0.99449,326,326,0.98644,1.00254
2014,Hesse,3rd Quintile,No,0.97938,332,332,0.96407,0.99469
2014,Hesse,4th Quintile,No,0.97866,340,340,0.96328,0.99405
2014,Hesse,5th Quintile,No,0.97667,492,492,0.96332,0.99002
2014,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.99366,346,346,0.98529,1.00204
2014,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.98582,336,336,0.97316,0.99848
2014,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.98645,319,319,0.97374,0.99916
2014,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.99812,299,299,0.99321,1.00304
2014,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.96243,269,269,0.93966,0.98519
2014,Baden-Wuerttemberg,1st Quintile,No,0.99539,465,465,0.98923,1.00155
2014,Baden-Wuerttemberg,2nd Quintile,No,0.99077,587,587,0.98303,0.99851
2014,Baden-Wuerttemberg,3rd Quintile,No,0.98484,653,653,0.97546,0.99422
2014,Baden-Wuerttemberg,4th Quintile,No,0.99538,653,653,0.99018,1.00059
2014,Baden-Wuerttemberg,5th Quintile,No,0.98919,831,831,0.98215,0.99622
2014,Bavaria,1st Quintile,No,0.99158,747,747,0.98503,0.99814
2014,Bavaria,2nd Quintile,No,0.97755,849,849,0.96758,0.98752
2014,Bavaria,3rd Quintile,No,0.98060,804,804,0.97106,0.99014
2014,Bavaria,4th Quintile,No,0.98260,921,921,0.97415,0.99105
2014,Bavaria,5th Quintile,No,0.99035,1016,1016,0.98434,0.99636
2014,Berlin,1st Quintile,No,0.98056,219,219,0.96223,0.99889
