year,quintil_oecd,sampreg,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,1st Quintile,West,Yes,0.01162,73,4391,0.00845,0.01479
2014,1st Quintile,West,No,0.98838,4318,4391,0.98521,0.99155
2014,1st Quintile,East,No,0.99429,1414,1414,0.99036,0.99822
2014,2nd Quintile,West,Yes,0.01645,67,4122,0.01256,0.02033
2014,2nd Quintile,West,No,0.98355,4055,4122,0.97967,0.98744
2014,2nd Quintile,East,No,0.99613,1380,1380,0.99286,0.99941
2014,3rd Quintile,West,Yes,0.01204,43,3990,0.00865,0.01542
2014,3rd Quintile,West,No,0.98796,3947,3990,0.98458,0.99135
2014,3rd Quintile,East,No,0.99331,1163,1163,0.98862,0.99800
2014,4th Quintile,West,Yes,0.00900,44,4234,0.00616,0.01185
2014,4th Quintile,West,No,0.99100,4190,4234,0.98815,0.99384
2014,4th Quintile,East,No,0.98765,922,922,0.98052,0.99479
2014,5th Quintile,West,Yes,0.01352,52,4753,0.01024,0.01681
2014,5th Quintile,West,No,0.98648,4701,4753,0.98319,0.98976
2014,5th Quintile,East,No,0.99545,643,643,0.99024,1.00066
2015,1st Quintile,West,Yes,0.02054,66,3826,0.01605,0.02504
2015,1st Quintile,West,No,0.97946,3760,3826,0.97496,0.98395
2015,1st Quintile,East,No,0.98439,1275,1275,0.97759,0.99120
2015,2nd Quintile,West,Yes,0.01029,41,3786,0.00708,0.01351
2015,2nd Quintile,West,No,0.98971,3745,3786,0.98649,0.99292
2015,2nd Quintile,East,No,0.99531,1469,1469,0.99181,0.99880
2015,3rd Quintile,West,Yes,0.01637,35,3806,0.01234,0.02041
2015,3rd Quintile,West,No,0.98363,3771,3806,0.97959,0.98766
2015,3rd Quintile,East,No,0.99268,1040,1040,0.98749,0.99786
2015,4th Quintile,West,Yes,0.01026,39,3946,0.00711,0.01340
2015,4th Quintile,West,No,0.98974,3907,3946,0.98660,0.99289
2015,4th Quintile,East,No,0.99053,813,813,0.98387,0.99719
2015,5th Quintile,West,Yes,0.01062,45,4508,0.00762,0.01361
2015,5th Quintile,West,No,0.98938,4463,4508,0.98639,0.99238
2015,5th Quintile,East,No,0.99795,602,602,0.99433,1.00157
2016,1st Quintile,West,Yes,0.01043,70,3790,0.00720,0.01367
2016,1st Quintile,West,No,0.98957,3720,3790,0.98633,0.99280
2016,1st Quintile,East,No,0.98672,1248,1248,0.98037,0.99308
2016,2nd Quintile,West,Yes,0.00863,37,3745,0.00567,0.01159
2016,2nd Quintile,West,No,0.99137,3708,3745,0.98841,0.99433
2016,2nd Quintile,East,No,0.99527,1337,1337,0.99159,0.99895
2016,3rd Quintile,West,Yes,0.01562,39,3558,0.01155,0.01970
2016,3rd Quintile,West,No,0.98438,3519,3558,0.98030,0.98845
2016,3rd Quintile,East,No,0.99245,1055,1055,0.98723,0.99768
2016,4th Quintile,West,Yes,0.01124,47,3844,0.00791,0.01457
2016,4th Quintile,West,No,0.98876,3797,3844,0.98543,0.99209
2016,4th Quintile,East,No,0.98855,787,787,0.98111,0.99599
2016,5th Quintile,West,Yes,0.01165,40,4310,0.00844,0.01485
2016,5th Quintile,West,No,0.98835,4270,4310,0.98515,0.99156
2016,5th Quintile,East,No,0.99367,556,556,0.98707,1.00027
2017,1st Quintile,West,Yes,0.01319,90,4778,0.00996,0.01643
2017,1st Quintile,West,No,0.98681,4688,4778,0.98357,0.99004
2017,1st Quintile,East,No,0.99043,1415,1415,0.98535,0.99550
2017,2nd Quintile,West,No,0.99563,3570,3570,0.99346,0.99779
2017,2nd Quintile,East,No,0.99661,1295,1295,0.99344,0.99978
2017,3rd Quintile,West,Yes,0.00834,39,3436,0.00530,0.01138
2017,3rd Quintile,West,No,0.99166,3397,3436,0.98862,0.99470
2017,3rd Quintile,East,No,0.98810,996,996,0.98137,0.99484
2017,4th Quintile,West,Yes,0.00895,38,3651,0.00589,0.01200
2017,4th Quintile,West,No,0.99105,3613,3651,0.98800,0.99411
2017,4th Quintile,East,No,0.99187,701,701,0.98521,0.99852
2017,5th Quintile,West,Yes,0.01296,44,3985,0.00945,0.01648
2017,5th Quintile,West,No,0.98704,3941,3985,0.98352,0.99055
2017,5th Quintile,East,No,0.99382,565,565,0.98735,1.00029
2018,1st Quintile,West,Yes,0.01055,74,5522,0.00785,0.01324
2018,1st Quintile,West,No,0.98945,5448,5522,0.98676,0.99215
2018,1st Quintile,East,Yes,0.01366,33,1652,0.00806,0.01926
2018,1st Quintile,East,No,0.98634,1619,1652,0.98074,0.99194
2018,2nd Quintile,West,Yes,0.01065,42,3866,0.00741,0.01388
2018,2nd Quintile,West,No,0.98935,3824,3866,0.98612,0.99259
2018,2nd Quintile,East,No,0.99255,1440,1440,0.98811,0.99699
2018,3rd Quintile,West,Yes,0.01023,40,3748,0.00700,0.01345
2018,3rd Quintile,West,No,0.98977,3708,3748,0.98655,0.99300
2018,3rd Quintile,East,No,0.99623,1070,1070,0.99256,0.99991
2018,4th Quintile,West,Yes,0.00763,36,3917,0.00490,0.01035
2018,4th Quintile,West,No,0.99237,3881,3917,0.98965,0.99510
2018,4th Quintile,East,No,0.99964,817,817,0.99835,1.00094
2018,5th Quintile,West,Yes,0.00996,40,4470,0.00704,0.01287
2018,5th Quintile,West,No,0.99004,4430,4470,0.98713,0.99296
2018,5th Quintile,East,No,0.99604,597,597,0.99099,1.00108
2019,1st Quintile,West,Yes,0.00906,63,5498,0.00655,0.01156
2019,1st Quintile,West,No,0.99094,5435,5498,0.98844,0.99345
2019,1st Quintile,East,Yes,0.01503,31,1582,0.00903,0.02103
2019,1st Quintile,East,No,0.98497,1551,1582,0.97897,0.99097
2019,2nd Quintile,West,Yes,0.00870,32,3616,0.00567,0.01172
2019,2nd Quintile,West,No,0.99130,3584,3616,0.98828,0.99433
