year,quintil_oecd,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,1st Quintile,Yes,0.01024,93,5825,0.00765,0.01283
2014,1st Quintile,No,0.98976,5732,5825,0.98717,0.99235
2014,2nd Quintile,Yes,0.01362,83,5518,0.01057,0.01668
2014,2nd Quintile,No,0.98638,5435,5518,0.98332,0.98943
2014,3rd Quintile,Yes,0.01099,54,5164,0.00815,0.01383
2014,3rd Quintile,No,0.98901,5110,5164,0.98617,0.99185
2014,4th Quintile,Yes,0.00952,51,5163,0.00687,0.01217
2014,4th Quintile,No,0.99048,5112,5163,0.98783,0.99313
2014,5th Quintile,Yes,0.01268,59,5403,0.00970,0.01566
2014,5th Quintile,No,0.98732,5344,5403,0.98434,0.99030
2015,1st Quintile,Yes,0.01937,93,5128,0.01559,0.02314
2015,1st Quintile,No,0.98063,5035,5128,0.97686,0.98441
2015,2nd Quintile,Yes,0.00890,55,5269,0.00637,0.01144
2015,2nd Quintile,No,0.99110,5214,5269,0.98856,0.99363
2015,3rd Quintile,Yes,0.01465,43,4854,0.01127,0.01803
2015,3rd Quintile,No,0.98535,4811,4854,0.98197,0.98873
2015,4th Quintile,Yes,0.01014,48,4768,0.00730,0.01299
2015,4th Quintile,No,0.98986,4720,4768,0.98701,0.99270
2015,5th Quintile,Yes,0.00988,49,5114,0.00717,0.01259
2015,5th Quintile,No,0.99012,5065,5114,0.98741,0.99283
2016,1st Quintile,Yes,0.01111,89,5057,0.00822,0.01400
2016,1st Quintile,No,0.98889,4968,5057,0.98600,0.99178
2016,2nd Quintile,Yes,0.00774,46,5091,0.00533,0.01015
2016,2nd Quintile,No,0.99226,5045,5091,0.98985,0.99467
2016,3rd Quintile,Yes,0.01399,49,4623,0.01060,0.01737
2016,3rd Quintile,No,0.98601,4574,4623,0.98263,0.98940
2016,4th Quintile,Yes,0.01127,53,4637,0.00823,0.01431
2016,4th Quintile,No,0.98873,4584,4637,0.98569,0.99177
2016,5th Quintile,Yes,0.01122,45,4871,0.00826,0.01418
2016,5th Quintile,No,0.98878,4826,4871,0.98582,0.99174
2017,1st Quintile,Yes,0.01233,117,6220,0.00959,0.01508
2017,1st Quintile,No,0.98767,6103,6220,0.98492,0.99041
2017,2nd Quintile,Yes,0.00415,35,4900,0.00235,0.00595
2017,2nd Quintile,No,0.99585,4865,4900,0.99405,0.99765
2017,3rd Quintile,Yes,0.00904,45,4438,0.00625,0.01182
2017,3rd Quintile,No,0.99096,4393,4438,0.98818,0.99375
2017,4th Quintile,Yes,0.00885,45,4359,0.00607,0.01163
2017,4th Quintile,No,0.99115,4314,4359,0.98837,0.99393
2017,5th Quintile,Yes,0.01237,49,4555,0.00916,0.01558
2017,5th Quintile,No,0.98763,4506,4555,0.98442,0.99084
2018,1st Quintile,Yes,0.01131,107,7174,0.00886,0.01376
2018,1st Quintile,No,0.98869,7067,7174,0.98624,0.99114
2018,2nd Quintile,Yes,0.00993,54,5318,0.00727,0.01260
2018,2nd Quintile,No,0.99007,5264,5318,0.98740,0.99273
2018,3rd Quintile,Yes,0.00905,45,4823,0.00638,0.01172
2018,3rd Quintile,No,0.99095,4778,4823,0.98828,0.99362
2018,4th Quintile,Yes,0.00660,39,4737,0.00429,0.00890
2018,4th Quintile,No,0.99340,4698,4737,0.99110,0.99571
2018,5th Quintile,Yes,0.00948,45,5072,0.00681,0.01215
2018,5th Quintile,No,0.99052,5027,5072,0.98785,0.99319
2019,1st Quintile,Yes,0.01040,94,7080,0.00804,0.01277
2019,1st Quintile,No,0.98960,6986,7080,0.98723,0.99196
2019,2nd Quintile,Yes,0.00770,41,4926,0.00526,0.01014
2019,2nd Quintile,No,0.99230,4885,4926,0.98986,0.99474
2019,3rd Quintile,Yes,0.01127,49,4444,0.00817,0.01437
2019,3rd Quintile,No,0.98873,4395,4444,0.98563,0.99183
2019,4th Quintile,Yes,0.00885,45,4280,0.00604,0.01165
2019,4th Quintile,No,0.99115,4235,4280,0.98835,0.99396
2019,5th Quintile,Yes,0.00901,38,4821,0.00634,0.01168
2019,5th Quintile,No,0.99099,4783,4821,0.98832,0.99366
2020,1st Quintile,Yes,0.01219,70,6585,0.00954,0.01484
2020,1st Quintile,No,0.98781,6515,6585,0.98516,0.99046
2020,2nd Quintile,Yes,0.00642,43,4838,0.00417,0.00867
2020,2nd Quintile,No,0.99358,4795,4838,0.99133,0.99583
2020,3rd Quintile,Yes,0.00917,38,4270,0.00631,0.01203
2020,3rd Quintile,No,0.99083,4232,4270,0.98797,0.99369
2020,4th Quintile,Yes,0.00944,39,4527,0.00662,0.01226
2020,4th Quintile,No,0.99056,4488,4527,0.98774,0.99338
2020,5th Quintile,Yes,0.00778,47,5960,0.00555,0.01001
2020,5th Quintile,No,0.99222,5913,5960,0.98999,0.99445
2021,1st Quintile,Yes,0.00568,59,4789,0.00355,0.00780
2021,1st Quintile,No,0.99432,4730,4789,0.99220,0.99645
2021,2nd Quintile,Yes,0.00986,39,3546,0.00660,0.01311
2021,2nd Quintile,No,0.99014,3507,3546,0.98689,0.99340
2021,3rd Quintile,Yes,0.00890,35,3142,0.00562,0.01219
2021,3rd Quintile,No,0.99110,3107,3142,0.98781,0.99438
2021,4th Quintile,No,0.99404,3164,3164,0.99136,0.99672
2021,5th Quintile,Yes,0.00822,46,4286,0.00552,0.01093
2021,5th Quintile,No,0.99178,4240,4286,0.98907,0.99448
2022,1st Quintile,Yes,0.01104,51,4251,0.00790,0.01418
2022,1st Quintile,No,0.98896,4200,4251,0.98582,0.99210
2022,2nd Quintile,Yes,0.00617,34,3210,0.00346,0.00888
2022,2nd Quintile,No,0.99383,3176,3210,0.99112,0.99654
2022,3rd Quintile,Yes,0.00998,39,2952,0.00640,0.01357
2022,3rd Quintile,No,0.99002,2913,2952,0.98643,0.99360
2022,4th Quintile,Yes,0.01258,47,3103,0.00866,0.01650
2022,4th Quintile,No,0.98742,3056,3103,0.98350,0.99134
2022,5th Quintile,Yes,0.00832,42,3999,0.00550,0.01113
2022,5th Quintile,No,0.99168,3957,3999,0.98887,0.99450
