year,quintil_oecd,sex,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,1st Quintile,male,No,0.76087,2368,2368,0.74368,0.77805
2014,1st Quintile,female,Yes,0.00970,71,3435,0.00642,0.01298
2014,1st Quintile,female,No,0.80855,3364,3435,0.79539,0.82171
2014,2nd Quintile,male,No,0.79775,2435,2435,0.78179,0.81371
2014,2nd Quintile,female,Yes,0.01270,58,3058,0.00873,0.01667
2014,2nd Quintile,female,No,0.81887,3000,3058,0.80522,0.83252
2014,3rd Quintile,male,No,0.81960,2365,2365,0.80410,0.83510
2014,3rd Quintile,female,Yes,0.01063,33,2778,0.00682,0.01445
2014,3rd Quintile,female,No,0.84341,2745,2778,0.82990,0.85693
2014,4th Quintile,male,No,0.85774,2462,2462,0.84394,0.87154
2014,4th Quintile,female,Yes,0.00971,38,2688,0.00600,0.01341
2014,4th Quintile,female,No,0.84858,2650,2688,0.83502,0.86213
2014,5th Quintile,male,No,0.89502,2693,2693,0.88344,0.90660
2014,5th Quintile,female,Yes,0.01249,33,2684,0.00829,0.01669
2014,5th Quintile,female,No,0.87486,2651,2684,0.86234,0.88738
2015,1st Quintile,male,Yes,0.01632,34,2133,0.01094,0.02170
2015,1st Quintile,male,No,0.76554,2099,2133,0.74756,0.78353
2015,1st Quintile,female,Yes,0.01474,59,2995,0.01042,0.01905
2015,1st Quintile,female,No,0.79994,2936,2995,0.78561,0.81427
2015,2nd Quintile,male,No,0.80972,2266,2266,0.79355,0.82588
2015,2nd Quintile,female,Yes,0.00815,35,2983,0.00492,0.01137
2015,2nd Quintile,female,No,0.84031,2948,2983,0.82716,0.85346
2015,3rd Quintile,male,No,0.82089,2235,2235,0.80499,0.83679
2015,3rd Quintile,female,No,0.83520,2576,2576,0.82087,0.84953
2015,4th Quintile,male,No,0.85826,2272,2272,0.84392,0.87261
2015,4th Quintile,female,Yes,0.01303,35,2483,0.00857,0.01749
2015,4th Quintile,female,No,0.85326,2448,2483,0.83934,0.86718
2015,5th Quintile,male,No,0.89078,2530,2530,0.87862,0.90294
2015,5th Quintile,female,No,0.88288,2535,2535,0.87036,0.89540
2016,1st Quintile,male,No,0.76992,2095,2095,0.75189,0.78794
2016,1st Quintile,female,Yes,0.01164,61,2934,0.00776,0.01552
2016,1st Quintile,female,No,0.78560,2873,2934,0.77075,0.80045
2016,2nd Quintile,male,No,0.79952,2213,2213,0.78284,0.81621
2016,2nd Quintile,female,No,0.84265,2832,2832,0.82924,0.85607
2016,3rd Quintile,male,No,0.81190,2089,2089,0.79514,0.82866
2016,3rd Quintile,female,No,0.83753,2485,2485,0.82302,0.85203
2016,4th Quintile,male,No,0.85060,2210,2210,0.83574,0.86547
2016,4th Quintile,female,Yes,0.01080,34,2408,0.00667,0.01493
2016,4th Quintile,female,No,0.85797,2374,2408,0.84402,0.87192
2016,5th Quintile,male,No,0.89366,2412,2412,0.88136,0.90597
2016,5th Quintile,female,Yes,0.01375,35,2449,0.00914,0.01836
2016,5th Quintile,female,No,0.87807,2414,2449,0.86511,0.89104
2017,1st Quintile,male,Yes,0.00931,52,2870,0.00580,0.01283
2017,1st Quintile,male,No,0.76308,2818,2870,0.74752,0.77864
2017,1st Quintile,female,Yes,0.01003,65,3350,0.00666,0.01341
2017,1st Quintile,female,No,0.78817,3285,3350,0.77434,0.80201
2017,2nd Quintile,male,No,0.80949,2168,2168,0.79296,0.82603
2017,2nd Quintile,female,No,0.83227,2697,2697,0.81817,0.84638
2017,3rd Quintile,male,No,0.80971,2007,2007,0.79253,0.82689
2017,3rd Quintile,female,No,0.84398,2386,2386,0.82942,0.85854
2017,4th Quintile,male,No,0.86905,2064,2064,0.85449,0.88361
2017,4th Quintile,female,Yes,0.01120,32,2282,0.00688,0.01552
2017,4th Quintile,female,No,0.87326,2250,2282,0.85961,0.88691
2017,5th Quintile,male,No,0.87918,2257,2257,0.86573,0.89263
2017,5th Quintile,female,No,0.88728,2249,2249,0.87421,0.90035
2018,1st Quintile,male,Yes,0.00835,49,3432,0.00531,0.01140
2018,1st Quintile,male,No,0.76653,3383,3432,0.75237,0.78068
2018,1st Quintile,female,Yes,0.00951,58,3742,0.00640,0.01262
2018,1st Quintile,female,No,0.79878,3684,3742,0.78593,0.81163
2018,2nd Quintile,male,No,0.80481,2352,2352,0.78878,0.82083
2018,2nd Quintile,female,Yes,0.01018,35,2947,0.00656,0.01381
2018,2nd Quintile,female,No,0.82287,2912,2947,0.80909,0.83666
2018,3rd Quintile,male,No,0.81129,2196,2196,0.79492,0.82766
2018,3rd Quintile,female,No,0.85440,2582,2582,0.84079,0.86801
2018,4th Quintile,male,No,0.86433,2271,2271,0.85024,0.87842
2018,4th Quintile,female,Yes,0.00950,31,2458,0.00566,0.01334
2018,4th Quintile,female,No,0.86150,2427,2458,0.84785,0.87516
2018,5th Quintile,male,No,0.89176,2531,2531,0.87965,0.90387
2018,5th Quintile,female,No,0.88300,2496,2496,0.87039,0.89561
2019,1st Quintile,male,Yes,0.00703,44,3440,0.00424,0.00982
2019,1st Quintile,male,No,0.76222,3396,3440,0.74799,0.77645
2019,1st Quintile,female,Yes,0.00920,50,3640,0.00609,0.01230
2019,1st Quintile,female,No,0.79173,3590,3640,0.77853,0.80492
2019,2nd Quintile,male,No,0.79460,2184,2184,0.77765,0.81155
2019,2nd Quintile,female,No,0.83129,2701,2701,0.81716,0.84541
2019,3rd Quintile,male,No,0.81112,2014,2014,0.79402,0.82821
2019,3rd Quintile,female,Yes,0.01282,31,2412,0.00833,0.01732
2019,3rd Quintile,female,No,0.84523,2381,2412,0.83079,0.85966
2019,4th Quintile,male,No,0.85396,2007,2007,0.83850,0.86941
2019,4th Quintile,female,No,0.84305,2228,2228,0.82794,0.85816
2019,5th Quintile,male,No,0.89744,2406,2406,0.88531,0.90957
2019,5th Quintile,female,No,0.88511,2377,2377,0.87229,0.89793
2020,1st Quintile,male,Yes,0.01203,40,3201,0.00825,0.01581
2020,1st Quintile,male,No,0.76232,3161,3201,0.74757,0.77706
2020,1st Quintile,female,No,0.80797,3349,3349,0.79463,0.82131
2020,2nd Quintile,male,No,0.78759,2169,2169,0.77037,0.80481
2020,2nd Quintile,female,No,0.82314,2624,2624,0.80854,0.83774
2020,3rd Quintile,male,No,0.83151,1974,1974,0.81499,0.84803
2020,3rd Quintile,female,No,0.83634,2258,2258,0.82107,0.85160
2020,4th Quintile,male,No,0.83819,2164,2164,0.82267,0.85371
2020,4th Quintile,female,No,0.85129,2324,2324,0.83682,0.86576
