year,age_gr,sex,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,male,No,0.91203,2021,2021,0.89968,0.92439
2014,17-29 y.,female,Yes,0.02256,52,2245,0.01641,0.02870
2014,17-29 y.,female,No,0.91179,2193,2245,0.90005,0.92352
2014,30-45 y.,male,Yes,0.01928,54,3600,0.01479,0.02378
2014,30-45 y.,male,No,0.98072,3546,3600,0.97622,0.98521
2014,30-45 y.,female,Yes,0.02377,110,4920,0.01951,0.02803
2014,30-45 y.,female,No,0.97623,4810,4920,0.97197,0.98049
2014,46-65 y.,male,No,0.99495,4334,4334,0.99284,0.99706
2014,46-65 y.,female,Yes,0.00916,67,4955,0.00651,0.01181
2014,46-65 y.,female,No,0.99084,4888,4955,0.98819,0.99349
2014,66 and older,male,No,0.99969,2424,2424,0.99898,1.00039
2014,66 and older,female,No,0.99783,2524,2524,0.99601,0.99965
2015,17-29 y.,male,Yes,0.01880,39,2113,0.01301,0.02460
2015,17-29 y.,male,No,0.92032,2074,2113,0.90877,0.93187
2015,17-29 y.,female,Yes,0.02284,47,2349,0.01680,0.02889
2015,17-29 y.,female,No,0.90430,2302,2349,0.89240,0.91620
2015,30-45 y.,male,Yes,0.02212,49,3517,0.01726,0.02698
2015,30-45 y.,male,No,0.97777,3468,3517,0.97289,0.98264
2015,30-45 y.,female,Yes,0.02990,97,4769,0.02507,0.03474
2015,30-45 y.,female,No,0.97010,4672,4769,0.96526,0.97493
2015,46-65 y.,male,No,0.99499,4268,4268,0.99288,0.99711
2015,46-65 y.,female,Yes,0.00645,35,4850,0.00419,0.00870
2015,46-65 y.,female,No,0.99355,4815,4850,0.99130,0.99581
2015,66 and older,male,No,0.99781,2392,2392,0.99594,0.99969
2015,66 and older,female,No,0.99871,2507,2507,0.99730,1.00011
2016,17-29 y.,male,Yes,0.02417,47,2425,0.01806,0.03029
2016,17-29 y.,male,No,0.90746,2378,2425,0.89592,0.91900
2016,17-29 y.,female,Yes,0.02081,43,2439,0.01514,0.02648
2016,17-29 y.,female,No,0.90537,2396,2439,0.89376,0.91699
2016,30-45 y.,male,Yes,0.01514,58,3870,0.01130,0.01899
