year,bula_h,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Schleswig-Holstein,No,0.98056,913,913,0.97159,0.98952
2014,Hamburg,No,0.99854,444,444,0.99498,1.00210
2014,Lower Saxony,Yes,0.00881,36,2607,0.00522,0.01239
2014,Lower Saxony,No,0.99119,2571,2607,0.98761,0.99478
2014,Bremen,No,0.99621,209,209,0.98785,1.00456
2014,North Rhine-Westphalia,Yes,0.01128,71,5639,0.00853,0.01404
2014,North Rhine-Westphalia,No,0.98872,5568,5639,0.98596,0.99147
2014,Hesse,No,0.98231,1857,1857,0.97631,0.98831
2014,"Rhineland-Palatinate, Saarland",No,0.98582,1569,1569,0.97997,0.99167
2014,Baden-Wuerttemberg,Yes,0.00924,32,3221,0.00593,0.01254
2014,Baden-Wuerttemberg,No,0.99076,3189,3221,0.98746,0.99407
2014,Bavaria,Yes,0.01524,63,4403,0.01162,0.01886
2014,Bavaria,No,0.98476,4340,4403,0.98114,0.98838
2014,Berlin,No,0.98467,975,975,0.97695,0.99239
2014,Brandenburg,No,0.99690,1011,1011,0.99348,1.00033
2014,Mecklenburg-Western Pomerania,No,0.99771,553,553,0.99373,1.00170
2014,Saxony,No,0.98790,1597,1597,0.98254,0.99327
2014,Saxony-Anhalt,No,0.99387,956,956,0.98892,0.99882
2014,Thuringa,No,0.99814,988,988,0.99544,1.00083
2015,Schleswig-Holstein,No,0.99266,894,894,0.98707,0.99826
2015,Hamburg,No,0.99862,460,460,0.99521,1.00202
2015,Lower Saxony,No,0.98629,2586,2586,0.98180,0.99077
2015,Bremen,No,0.93683,181,181,0.90129,0.97237
2015,North Rhine-Westphalia,Yes,0.01753,79,5577,0.01409,0.02098
2015,North Rhine-Westphalia,No,0.98247,5498,5577,0.97902,0.98591
2015,Hesse,No,0.99035,1865,1865,0.98591,0.99479
2015,"Rhineland-Palatinate, Saarland",No,0.98601,1596,1596,0.98025,0.99177
2015,Baden-Wuerttemberg,No,0.99245,3188,3188,0.98944,0.99545
2015,Bavaria,Yes,0.01103,42,4382,0.00794,0.01413
2015,Bavaria,No,0.98897,4340,4382,0.98587,0.99206
2015,Berlin,No,0.98259,974,974,0.97437,0.99081
2015,Brandenburg,No,0.99468,997,997,0.99016,0.99920
2015,Mecklenburg-Western Pomerania,No,0.97725,546,546,0.96473,0.98977
2015,Saxony,No,0.99463,1520,1520,0.99095,0.99830
2015,Saxony-Anhalt,No,0.99755,890,890,0.99430,1.00080
2015,Thuringa,No,0.98962,963,963,0.98322,0.99603
2016,Schleswig-Holstein,No,0.99169,974,974,0.98598,0.99739
2016,Hamburg,No,0.99526,458,458,0.98896,1.00156
2016,Lower Saxony,Yes,0.01006,41,2715,0.00630,0.01381
2016,Lower Saxony,No,0.98994,2674,2715,0.98619,0.99370
2016,Bremen,No,0.92876,223,223,0.89492,0.96259
2016,North Rhine-Westphalia,Yes,0.00978,67,5722,0.00723,0.01233
2016,North Rhine-Westphalia,No,0.99022,5655,5722,0.98767,0.99277
2016,Hesse,No,0.98910,1826,1826,0.98433,0.99386
2016,"Rhineland-Palatinate, Saarland",No,0.98690,1730,1730,0.98154,0.99226
2016,Baden-Wuerttemberg,Yes,0.01338,47,3191,0.00939,0.01736
