"year","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","114.33","0","16176","101.73","126.93"
"1985","107.6","0","14598","93.36","121.84"
"1986","109.37","0","13894","96.41","122.33"
"1987","113.91","0","13642","100.08","127.74"
"1988","115.32","0","13013","101.41","129.23"
"1989","123.23","0","12594","107.99","138.47"
"1990","142.58","0","12433","125.03","160.13"
"1991","169.13","0","12427","148.67","189.59"
"1992","105.56","0","17842","93.85","117.27"
"1993","135.16","0","17528","121.75","148.57"
"1994","154.52","0","17138","138.36","170.68"
"1995","180.64","0","17712","164.51","196.77"
"1996","169.32","0","17339","151.8","186.84"
"1997","182.6","0","17007","167.22","197.98"
"1998","148.56","0","18756","134.04","163.08"
"1999","184.61","0","17988","168.01","201.21"
"2000","185.95","0","31807","171.49","200.41"
"2001","178.23","0","28728","165.22","191.24"
"2002","186.05","0","30116","173.32","198.78"
"2003","190.38","0","28792","175.69","205.07"
"2004","190.98","0","27931","177.04","204.92"
"2005","225.23","0","26706","210.34","240.12"
"2006","211.57","0","28668","195.1","228.04"
"2007","233.39","0","26618","214.17","252.61"
"2008","229.63","0","24877","210.15","249.11"
"2009","202.04","0","23221","183.78","220.3"
"2010","322.4","0","37468","297.16","347.64"
"2011","294.48","0","44001","272.15","316.81"
"2012","278.07","0","42406","257.38","298.76"
"2013","297.74","0","47665","275.36","320.12"
"2014","267.86","0","41507","249.55","286.17"
"2015","308.32","0","41052","288.99","327.65"
"2016","295.75","0","36790","274.27","317.23"
"2017","330.59","0","44647","308.33","352.85"
"2018","355.43","0","46486","332.71","378.15"
"2019","364.73","0","47513","345.05","384.41"
"2020","357.4","0","46550","340.05","374.75"
