"year","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","Ostdeutschland","","","","",""
"1984","Westdeutschland","114.33","0","16176","101.73","126.93"
"1985","Ostdeutschland","","","","",""
"1985","Westdeutschland","107.6","0","14598","93.36","121.84"
"1986","Ostdeutschland","","","","",""
"1986","Westdeutschland","109.37","0","13894","96.41","122.33"
"1987","Ostdeutschland","","","","",""
"1987","Westdeutschland","113.91","0","13642","100.08","127.74"
"1988","Ostdeutschland","","","","",""
"1988","Westdeutschland","115.32","0","13013","101.41","129.23"
"1989","Ostdeutschland","","","","",""
"1989","Westdeutschland","123.23","0","12594","107.99","138.47"
"1990","Ostdeutschland","","","","",""
"1990","Westdeutschland","142.58","0","12433","125.03","160.13"
"1991","Ostdeutschland","","","","",""
"1991","Westdeutschland","169.13","0","12427","148.67","189.59"
"1992","Ostdeutschland","22.35","0","5401","16.66","28.04"
"1992","Westdeutschland","125.93","0","12441","109.34","142.52"
"1993","Ostdeutschland","51.49","0","5167","38.32","64.66"
"1993","Westdeutschland","155.75","0","12361","137.57","173.93"
"1994","Ostdeutschland","33.66","0","5032","25.63","41.69"
"1994","Westdeutschland","183.64","0","12106","161.04","206.24"
"1995","Ostdeutschland","83.35","0","4861","63.38","103.32"
"1995","Westdeutschland","203.09","0","12851","182.2","223.98"
"1996","Ostdeutschland","92.64","0","4797","72.35","112.93"
"1996","Westdeutschland","186.8","0","12542","163.86","209.74"
"1997","Ostdeutschland","95.6","0","4683","78.63","112.57"
"1997","Westdeutschland","202.34","0","12324","182.13","222.55"
"1998","Ostdeutschland","77.74","0","4934","62.31","93.17"
"1998","Westdeutschland","164.58","0","13822","145.68","183.48"
"1999","Ostdeutschland","142.48","0","4771","120.61","164.35"
"1999","Westdeutschland","193.89","0","13217","172.72","215.06"
"2000","Ostdeutschland","146.6","0","7357","124.12","169.08"
"2000","Westdeutschland","194.73","0","24450","177.19","212.27"
"2001","Ostdeutschland","153.65","0","6738","133.51","173.79"
"2001","Westdeutschland","183.62","0","21990","167.78","199.46"
"2002","Ostdeutschland","156.71","0","6704","138","175.42"
"2002","Westdeutschland","192.46","0","23412","176.99","207.93"
"2003","Ostdeutschland","154.62","0","6547","127.7","181.54"
"2003","Westdeutschland","198.2","0","22245","180.91","215.49"
"2004","Ostdeutschland","161.46","0","6378","137.51","185.41"
"2004","Westdeutschland","197.4","0","21553","180.78","214.02"
"2005","Ostdeutschland","175.51","0","6151","151.96","199.06"
"2005","Westdeutschland","236.12","0","20555","218.1","254.14"
"2006","Ostdeutschland","111.52","0","6540","77.25","145.79"
"2006","Westdeutschland","233.23","0","22128","214.46","252"
"2007","Ostdeutschland","146.28","0","6124","123.78","168.78"
"2007","Westdeutschland","252.28","0","20494","228.24","276.32"
"2008","Ostdeutschland","195.87","0","5821","168.73","223.01"
"2008","Westdeutschland","236.9","0","19056","212.87","260.93"
"2009","Ostdeutschland","169.24","0","5582","144.7","193.78"
"2009","Westdeutschland","209.3","0","17639","186.56","232.04"
"2010","Ostdeutschland","267.26","0","7930","228.07","306.45"
"2010","Westdeutschland","333.98","0","29538","303.75","364.21"
"2011","Ostdeutschland","220.84","0","9146","187.36","254.32"
"2011","Westdeutschland","309.77","0","34855","282.99","336.55"
"2012","Ostdeutschland","237.2","0","8870","206.85","267.55"
"2012","Westdeutschland","286.42","0","33536","261.53","311.31"
"2013","Ostdeutschland","241.21","0","8836","207.78","274.64"
"2013","Westdeutschland","309.25","0","38829","282.86","335.64"
"2014","Ostdeutschland","219.88","0","8022","178.55","261.21"
"2014","Westdeutschland","277.62","0","33485","257.2","298.04"
"2015","Ostdeutschland","258.38","0","7723","223.94","292.82"
"2015","Westdeutschland","318.48","0","33329","296.05","340.91"
"2016","Ostdeutschland","329.29","0","7155","290.44","368.14"
"2016","Westdeutschland","289.02","0","29635","264.06","313.98"
"2017","Ostdeutschland","274.6","0","8649","228.13","321.07"
"2017","Westdeutschland","341.64","0","35998","316.39","366.89"
"2018","Ostdeutschland","362.37","0","8973","324.78","399.96"
"2018","Westdeutschland","354.05","0","37513","327.38","380.72"
"2019","Ostdeutschland","359.04","0","9360","323.48","394.6"
"2019","Westdeutschland","365.47","0","38057","342.53","388.41"
"2020","Ostdeutschland","327.82","0","8794","289.51","366.13"
"2020","Westdeutschland","363.25","0","37756","343.81","382.69"
