"year","hhtyp","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1985","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","0","0","524","0","0"
"1985","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","28.63","0","1926","12.54","44.72"
"1985","1-Pers.- Haushalt","Laendlicher Raum","124.9","0","184","-114.99","364.79"
"1985","1-Pers.- Haushalt","Staedtischer Raum","237.99","0","956","94.81","381.17"
"1985","Alleinerziehende","Laendlicher Raum","923.55","0","152","549.33","1297.77"
"1985","Alleinerziehende","Staedtischer Raum","417.74","0","596","285.16","550.32"
"1985","Paar mit Kind(ern)","Laendlicher Raum","35.7","0","1989","19.98","51.42"
"1985","Paar mit Kind(ern)","Staedtischer Raum","39.01","0","7350","29.47","48.55"
"1985","Sonstige","Laendlicher Raum","119.43","0","291","46.08","192.78"
"1985","Sonstige","Staedtischer Raum","457.46","0","630","346.48","568.44"
"1986","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","16.99","0","480","-2.16","36.14"
"1986","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","61.03","0","1930","35.85","86.21"
"1986","1-Pers.- Haushalt","Laendlicher Raum","71.15","0","171","2.24","140.06"
"1986","1-Pers.- Haushalt","Staedtischer Raum","154.91","0","908","74.82","235"
"1986","Alleinerziehende","Laendlicher Raum","970.01","0","151","619.44","1320.58"
"1986","Alleinerziehende","Staedtischer Raum","745.91","0","561","563.23","928.59"
"1986","Paar mit Kind(ern)","Laendlicher Raum","23.67","0","1898","7.36","39.98"
"1986","Paar mit Kind(ern)","Staedtischer Raum","36.61","0","6901","27.29","45.93"
"1986","Sonstige","Laendlicher Raum","2.03","0","298","1.15","2.91"
"1986","Sonstige","Staedtischer Raum","368.55","0","596","250.8","486.3"
"1987","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","0","0","494","0","0"
"1987","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","43.24","0","1890","20.65","65.83"
"1987","1-Pers.- Haushalt","Laendlicher Raum","80.58","0","170","-27.96","189.12"
"1987","1-Pers.- Haushalt","Staedtischer Raum","132.63","0","908","83.98","181.28"
"1987","Alleinerziehende","Laendlicher Raum","616.15","0","167","356.64","875.66"
"1987","Alleinerziehende","Staedtischer Raum","847.79","0","538","614.86","1080.72"
"1987","Paar mit Kind(ern)","Laendlicher Raum","43.08","0","1831","22.83","63.33"
"1987","Paar mit Kind(ern)","Staedtischer Raum","56.53","0","6701","43.5","69.56"
"1987","Sonstige","Laendlicher Raum","84.94","0","277","11.39","158.49"
"1987","Sonstige","Staedtischer Raum","312.14","0","666","226.94","397.34"
"1988","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","0","0","470","0","0"
"1988","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","72.24","0","1866","45.16","99.32"
"1988","1-Pers.- Haushalt","Laendlicher Raum","165.83","0","170","-32.43","364.09"
"1988","1-Pers.- Haushalt","Staedtischer Raum","166.6","0","867","99.17","234.03"
"1988","Alleinerziehende","Laendlicher Raum","914.2","0","162","510.19","1318.21"
"1988","Alleinerziehende","Staedtischer Raum","833.81","0","542","620.99","1046.63"
"1988","Paar mit Kind(ern)","Laendlicher Raum","37.01","0","1720","7.53","66.49"
"1988","Paar mit Kind(ern)","Staedtischer Raum","24.4","0","6390","18.46","30.34"
"1988","Sonstige","Laendlicher Raum","52.46","0","235","16.31","88.61"
"1988","Sonstige","Staedtischer Raum","287.51","0","591","197.53","377.49"
"1989","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","47.86","0","476","7.54","88.18"
"1989","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","76.39","0","1840","48.5","104.28"
"1989","1-Pers.- Haushalt","Laendlicher Raum","103.56","0","166","-20.46","227.58"
"1989","1-Pers.- Haushalt","Staedtischer Raum","130.53","0","874","77.29","183.77"
"1989","Alleinerziehende","Laendlicher Raum","466.61","0","140","196.35","736.87"
"1989","Alleinerziehende","Staedtischer Raum","707.48","0","520","500.34","914.62"
"1989","Paar mit Kind(ern)","Laendlicher Raum","56.48","0","1614","30.76","82.2"
"1989","Paar mit Kind(ern)","Staedtischer Raum","48.09","0","6129","38.13","58.05"
"1989","Sonstige","Laendlicher Raum","186.85","0","217","101.08","272.62"
"1989","Sonstige","Staedtischer Raum","601.13","0","618","426.27","775.99"
"1990","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","29.04","0","504","-2.06","60.14"
"1990","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","55","0","1864","27.06","82.94"
"1990","1-Pers.- Haushalt","Laendlicher Raum","181.31","0","182","-32.52","395.14"
"1990","1-Pers.- Haushalt","Staedtischer Raum","112.05","0","819","37.8","186.3"
"1990","Alleinerziehende","Laendlicher Raum","745.76","0","117","302.62","1188.9"
"1990","Alleinerziehende","Staedtischer Raum","1104.63","0","523","817.01","1392.25"
"1990","Paar mit Kind(ern)","Laendlicher Raum","95.49","0","1578","61.32","129.66"
"1990","Paar mit Kind(ern)","Staedtischer Raum","56.52","0","5948","43.67","69.37"
"1990","Sonstige","Laendlicher Raum","180.95","0","213","100.95","260.95"
"1990","Sonstige","Staedtischer Raum","397.35","0","685","315.47","479.23"
"1991","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","60.38","0","488","9.59","111.17"
"1991","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","51.29","0","1908","22.99","79.59"
"1991","1-Pers.- Haushalt","Laendlicher Raum","51.52","0","172","-42.82","145.86"
"1991","1-Pers.- Haushalt","Staedtischer Raum","121.63","0","831","59.06","184.2"
"1991","Alleinerziehende","Laendlicher Raum","646.71","0","145","345.42","948"
"1991","Alleinerziehende","Staedtischer Raum","1399.1","0","514","1027.03","1771.17"
"1991","Paar mit Kind(ern)","Laendlicher Raum","58.75","0","1606","37.98","79.52"
"1991","Paar mit Kind(ern)","Staedtischer Raum","100.47","0","5861","85.07","115.87"
"1991","Sonstige","Laendlicher Raum","674.24","0","242","454.02","894.46"
"1991","Sonstige","Staedtischer Raum","322.82","0","660","223.91","421.73"
"1992","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","52.07","0","1046","21.79","82.35"
"1992","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","32.86","0","2320","17.02","48.7"
"1992","1-Pers.- Haushalt","Laendlicher Raum","53.39","0","351","-11.31","118.09"
"1992","1-Pers.- Haushalt","Staedtischer Raum","135.07","0","942","61.2","208.94"
"1992","Alleinerziehende","Laendlicher Raum","309","0","294","211.01","406.99"
"1992","Alleinerziehende","Staedtischer Raum","838.5","0","659","607.35","1069.65"
"1992","Paar mit Kind(ern)","Laendlicher Raum","46.58","0","3967","35.49","57.67"
"1992","Paar mit Kind(ern)","Staedtischer Raum","55.63","0","6864","46.68","64.58"
"1992","Sonstige","Laendlicher Raum","115.15","0","483","60.24","170.06"
"1992","Sonstige","Staedtischer Raum","302.65","0","737","213.5","391.8"
"1993","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","71.36","0","1084","30.99","111.73"
"1993","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","67.95","0","2364","36.31","99.59"
"1993","1-Pers.- Haushalt","Laendlicher Raum","61.91","0","393","-15.92","139.74"
"1993","1-Pers.- Haushalt","Staedtischer Raum","149.04","0","969","97.95","200.13"
"1993","Alleinerziehende","Laendlicher Raum","658.41","0","305","495.23","821.59"
"1993","Alleinerziehende","Staedtischer Raum","1014.09","0","613","755.71","1272.47"
"1993","Paar mit Kind(ern)","Laendlicher Raum","25.03","0","3845","17.61","32.45"
"1993","Paar mit Kind(ern)","Staedtischer Raum","64.51","0","6720","53.23","75.79"
"1993","Sonstige","Laendlicher Raum","488.72","0","492","346.01","631.43"
"1993","Sonstige","Staedtischer Raum","294.77","0","743","216.26","373.28"
"1994","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","47.38","0","1138","25.68","69.08"
"1994","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","62.86","0","2400","34.23","91.49"
"1994","1-Pers.- Haushalt","Laendlicher Raum","96.99","0","396","21.33","172.65"
"1994","1-Pers.- Haushalt","Staedtischer Raum","168.96","0","966","108.28","229.64"
"1994","Alleinerziehende","Laendlicher Raum","1432.59","0","283","1043.35","1821.83"
"1994","Alleinerziehende","Staedtischer Raum","1102.24","0","599","835.54","1368.94"
"1994","Paar mit Kind(ern)","Laendlicher Raum","31.99","0","3709","25.15","38.83"
"1994","Paar mit Kind(ern)","Staedtischer Raum","72.05","0","6457","52.7","91.4"
"1994","Sonstige","Laendlicher Raum","348.69","0","471","223.35","474.03"
"1994","Sonstige","Staedtischer Raum","401.07","0","719","286.93","515.21"
"1995","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","56.05","0","1172","30.36","81.74"
"1995","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","71.9","0","2482","42.21","101.59"
"1995","1-Pers.- Haushalt","Laendlicher Raum","141.39","0","403","40.45","242.33"
"1995","1-Pers.- Haushalt","Staedtischer Raum","162.06","0","1001","98.13","225.99"
"1995","Alleinerziehende","Laendlicher Raum","1292.2","0","314","1007.45","1576.95"
