"year","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1985","Laendlicher Raum","96.37","0","3140","69.7","123.04"
"1985","Staedtischer Raum","111.37","0","11458","94.76","127.98"
"1986","Laendlicher Raum","81.79","0","2998","59.89","103.69"
"1986","Staedtischer Raum","118.5","0","10896","103.11","133.89"
"1987","Laendlicher Raum","80.23","0","2939","58.25","102.21"
"1987","Staedtischer Raum","124.95","0","10703","108.39","141.51"
"1988","Laendlicher Raum","105.6","0","2757","72.39","138.81"
"1988","Staedtischer Raum","118.44","0","10256","103.22","133.66"
"1989","Laendlicher Raum","96.16","0","2613","70.93","121.39"
"1989","Staedtischer Raum","131.62","0","9981","113.56","149.68"
"1990","Laendlicher Raum","134.27","0","2594","100.22","168.32"
"1990","Staedtischer Raum","145.11","0","9839","124.84","165.38"
"1991","Laendlicher Raum","138.32","0","2653","107.07","169.57"
"1991","Staedtischer Raum","178.96","0","9774","154.37","203.55"
"1992","Laendlicher Raum","68.37","0","6141","56.83","79.91"
"1992","Staedtischer Raum","123.13","0","11522","106.1","140.16"
"1993","Laendlicher Raum","110.7","0","6119","93.33","128.07"
"1993","Staedtischer Raum","146.66","0","11409","128.29","165.03"
"1994","Laendlicher Raum","140.98","0","5997","118.15","163.81"
"1994","Staedtischer Raum","160.9","0","11141","139.3","182.5"
"1995","Laendlicher Raum","184.28","0","6204","158.27","210.29"
"1995","Staedtischer Raum","178.9","0","11508","158.42","199.38"
"1996","Laendlicher Raum","165.09","0","6074","141.23","188.95"
"1996","Staedtischer Raum","171.28","0","11265","147.57","194.99"
"1997","Laendlicher Raum","174.7","0","5973","150.03","199.37"
"1997","Staedtischer Raum","183.89","0","11033","164.33","203.45"
"1998","Laendlicher Raum","134.88","0","6619","112.23","157.53"
"1998","Staedtischer Raum","155.01","0","12137","136.28","173.74"
"1999","Laendlicher Raum","146.1","0","6371","123.18","169.02"
"1999","Staedtischer Raum","202.63","0","11617","180.21","225.05"
"2000","Laendlicher Raum","164.01","0","11149","142.31","185.71"
"2000","Staedtischer Raum","196.33","0","20658","177.4","215.26"
"2001","Laendlicher Raum","133.78","0","9976","116.28","151.28"
"2001","Staedtischer Raum","199.04","0","18752","181.43","216.65"
"2002","Laendlicher Raum","142.09","0","10123","123.94","160.24"
"2002","Staedtischer Raum","206.91","0","19993","190.09","223.73"
"2003","Laendlicher Raum","147.67","0","9640","130.25","165.09"
"2003","Staedtischer Raum","210.42","0","19152","190.16","230.68"
"2004","Laendlicher Raum","129.06","0","9366","110.52","147.6"
"2004","Staedtischer Raum","219.97","0","18565","201.21","238.73"
"2005","Laendlicher Raum","133.43","0","8954","114.16","152.7"
"2005","Staedtischer Raum","268.58","0","17752","248.41","288.75"
"2006","Laendlicher Raum","127.28","0","9853","109.48","145.08"
"2006","Staedtischer Raum","251.93","0","18815","228.65","275.21"
"2007","Laendlicher Raum","148.91","0","9163","129.9","167.92"
"2007","Staedtischer Raum","273.9","0","17455","246.36","301.44"
"2008","Laendlicher Raum","188.2","0","8563","164.73","211.67"
"2008","Staedtischer Raum","249.48","0","16314","222.47","276.49"
"2009","Laendlicher Raum","141.6","0","8182","122.18","161.02"
"2009","Staedtischer Raum","231.4","0","15039","205.29","257.51"
"2010","Laendlicher Raum","240.6","0","13142","208.18","273.02"
"2010","Staedtischer Raum","361.02","0","24326","326.31","395.73"
"2011","Laendlicher Raum","245.18","0","15821","214.92","275.44"
"2011","Staedtischer Raum","318.29","0","28180","287.84","348.74"
"2012","Laendlicher Raum","248.32","0","15455","219.71","276.93"
"2012","Staedtischer Raum","292.49","0","26951","264.38","320.6"
"2013","Laendlicher Raum","285.34","0","16152","248.58","322.1"
"2013","Staedtischer Raum","303.74","0","31513","275.62","331.86"
"2014","Laendlicher Raum","250.58","0","14364","222.6","278.56"
"2014","Staedtischer Raum","276.02","0","27143","252.26","299.78"
"2015","Laendlicher Raum","314.86","0","14124","284.21","345.51"
"2015","Staedtischer Raum","305.21","0","26928","280.5","329.92"
"2016","Laendlicher Raum","288.37","0","12782","258.69","318.05"
"2016","Staedtischer Raum","299.21","0","24008","270.34","328.08"
"2017","Laendlicher Raum","302.83","0","15191","265.65","340.01"
"2017","Staedtischer Raum","343.17","0","29456","315.41","370.93"
"2018","Laendlicher Raum","295.56","0","15352","265.99","325.13"
"2018","Staedtischer Raum","382.39","0","31134","351.79","412.99"
"2019","Laendlicher Raum","341.99","0","15495","301.62","382.36"
"2019","Staedtischer Raum","367.63","0","31216","345.65","389.61"
"2020","Laendlicher Raum","297.81","0","15196","269.4","326.22"
"2020","Staedtischer Raum","385.05","0","31354","363.28","406.82"
