"year","regtyp","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1985","Laendlicher Raum","Ostdeutschland","","","","",""
"1985","Laendlicher Raum","Westdeutschland","96.37","0","3140","69.7","123.04"
"1985","Staedtischer Raum","Ostdeutschland","","","","",""
"1985","Staedtischer Raum","Westdeutschland","111.37","0","11458","94.76","127.98"
"1986","Laendlicher Raum","Ostdeutschland","","","","",""
"1986","Laendlicher Raum","Westdeutschland","81.79","0","2998","59.89","103.69"
"1986","Staedtischer Raum","Ostdeutschland","","","","",""
"1986","Staedtischer Raum","Westdeutschland","118.5","0","10896","103.11","133.89"
"1987","Laendlicher Raum","Ostdeutschland","","","","",""
"1987","Laendlicher Raum","Westdeutschland","80.23","0","2939","58.25","102.21"
"1987","Staedtischer Raum","Ostdeutschland","","","","",""
"1987","Staedtischer Raum","Westdeutschland","124.95","0","10703","108.39","141.51"
"1988","Laendlicher Raum","Ostdeutschland","","","","",""
"1988","Laendlicher Raum","Westdeutschland","105.6","0","2757","72.39","138.81"
"1988","Staedtischer Raum","Ostdeutschland","","","","",""
"1988","Staedtischer Raum","Westdeutschland","118.44","0","10256","103.22","133.66"
"1989","Laendlicher Raum","Ostdeutschland","","","","",""
"1989","Laendlicher Raum","Westdeutschland","96.16","0","2613","70.93","121.39"
"1989","Staedtischer Raum","Ostdeutschland","","","","",""
"1989","Staedtischer Raum","Westdeutschland","131.62","0","9981","113.56","149.68"
"1990","Laendlicher Raum","Ostdeutschland","","","","",""
"1990","Laendlicher Raum","Westdeutschland","134.27","0","2594","100.22","168.32"
"1990","Staedtischer Raum","Ostdeutschland","","","","",""
"1990","Staedtischer Raum","Westdeutschland","145.11","0","9839","124.84","165.38"
"1991","Laendlicher Raum","Ostdeutschland","","","","",""
"1991","Laendlicher Raum","Westdeutschland","138.32","0","2653","107.07","169.57"
"1991","Staedtischer Raum","Ostdeutschland","","","","",""
"1991","Staedtischer Raum","Westdeutschland","178.96","0","9774","154.37","203.55"
"1992","Laendlicher Raum","Ostdeutschland","16.17","0","3460","10.22","22.12"
"1992","Laendlicher Raum","Westdeutschland","101.05","0","2681","75.86","126.24"
"1992","Staedtischer Raum","Ostdeutschland","33.52","0","1782","20.82","46.22"
