,Unnamed: 0,year,bula_h,plj0089,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,Schleswig-Holstein,Yes,0.1259,54,17957,0.09652,0.15911
1,1,2009,Schleswig-Holstein,No,0.8741,455,17957,0.80948,0.94926
2,2,2009,Hamburg,Yes,0.18831,45,17957,0.1414,0.23854
3,3,2009,Hamburg,No,0.81169,222,17957,0.71776,0.90094
4,4,2009,Lower Saxony,Yes,0.11302,195,17957,0.09681,0.13102
5,5,2009,Lower Saxony,No,0.88698,1431,17957,0.85171,0.9331
6,6,2009,Bremen,No,1.0,101,17957,0.83599,1.16522
7,7,2009,North Rhine-Westphalia,Yes,0.12503,433,17957,0.11587,0.13662
8,8,2009,North Rhine-Westphalia,No,0.87497,3184,17957,0.85069,0.89867
9,9,2009,Hesse,Yes,0.17595,198,17957,0.15605,0.19978
10,10,2009,Hesse,No,0.82405,1014,17957,0.77779,0.87246
11,11,2009,"Rhineland-Palatinate, Saarland",Yes,0.13991,123,17957,0.11948,0.1653
12,12,2009,"Rhineland-Palatinate, Saarland",No,0.86009,898,17957,0.80819,0.9065
13,13,2009,Baden-Wuerttemberg,Yes,0.16136,328,17957,0.144,0.17858
14,14,2009,Baden-Wuerttemberg,No,0.83864,1776,17957,0.80814,0.88389
15,15,2009,Bavaria,Yes,0.17465,391,17957,0.15698,0.19289
16,16,2009,Bavaria,No,0.82535,2210,17957,0.78929,0.8594
17,17,2009,Berlin,Yes,0.21216,137,17957,0.18281,0.24613
18,18,2009,Berlin,No,0.78784,545,17957,0.73071,0.84051
19,19,2009,Brandenburg,Yes,0.10002,61,17957,0.07933,0.1264
20,20,2009,Brandenburg,No,0.89998,727,17957,0.8506,0.96096
21,21,2009,Mecklenburg-Western Pomerania,Yes,0.07988,35,17957,0.04923,0.1187
22,22,2009,Mecklenburg-Western Pomerania,No,0.92012,435,17957,0.84202,1.00318
23,23,2009,Saxony,Yes,0.08519,117,17957,0.07291,0.1005
24,24,2009,Saxony,No,0.91481,1250,17957,0.86752,0.97464
25,25,2009,Saxony-Anhalt,Yes,0.09825,58,17957,0.0715,0.13167
26,26,2009,Saxony-Anhalt,No,0.90175,711,17957,0.8346,0.97145
27,27,2009,Thuringa,Yes,0.08858,55,17957,0.0668,0.11867
28,28,2009,Thuringa,No,0.91142,768,17957,0.85053,0.97211
29,29,2014,Schleswig-Holstein,Yes,0.12294,132,26966,0.0973,0.14325
30,30,2014,Schleswig-Holstein,No,0.87706,791,26966,0.81054,0.95799
31,31,2014,Hamburg,Yes,0.12483,53,26966,0.09201,0.16745
32,32,2014,Hamburg,No,0.87517,390,26966,0.78382,0.97659
33,33,2014,Lower Saxony,Yes,0.11544,340,26966,0.10208,0.12743
34,34,2014,Lower Saxony,No,0.88456,2261,26966,0.84314,0.92655
35,35,2014,Bremen,Yes,0.14759,37,26966,0.10337,0.20601
36,36,2014,Bremen,No,0.85241,176,26966,0.69711,1.05906
37,37,2014,North Rhine-Westphalia,Yes,0.1246,676,26966,0.11452,0.13497
38,38,2014,North Rhine-Westphalia,No,0.8754,4942,26966,0.8456,0.90696
39,39,2014,Hesse,Yes,0.16728,288,26966,0.14535,0.18974
40,40,2014,Hesse,No,0.83272,1593,26966,0.78666,0.88838
41,41,2014,"Rhineland-Palatinate, Saarland",Yes,0.10854,169,26966,0.09236,0.12862
42,42,2014,"Rhineland-Palatinate, Saarland",No,0.89146,1411,26966,0.84282,0.93889
43,43,2014,Baden-Wuerttemberg,Yes,0.13761,474,26966,0.12401,0.15329
44,44,2014,Baden-Wuerttemberg,No,0.86239,2734,26966,0.83133,0.89815
45,45,2014,Bavaria,Yes,0.13673,601,26966,0.12331,0.15215
46,46,2014,Bavaria,No,0.86327,3771,26966,0.83792,0.89841
47,47,2014,Berlin,Yes,0.16951,177,26966,0.14353,0.19424
48,48,2014,Berlin,No,0.83049,807,26966,0.78007,0.88415
49,49,2014,Brandenburg,Yes,0.06876,71,26966,0.04693,0.09491
50,50,2014,Brandenburg,No,0.93124,949,26966,0.86146,0.99974
51,51,2014,Mecklenburg-Western Pomerania,Yes,0.06252,36,26966,0.04298,0.08762
52,52,2014,Mecklenburg-Western Pomerania,No,0.93748,522,26966,0.86596,1.03337
53,53,2014,Saxony,Yes,0.08642,111,26966,0.06842,0.11005
54,54,2014,Saxony,No,0.91358,1499,26966,0.86781,0.96509
55,55,2014,Saxony-Anhalt,Yes,0.10243,84,26966,0.07949,0.12675
56,56,2014,Saxony-Anhalt,No,0.89757,880,26966,0.83289,0.95751
57,57,2014,Thuringa,Yes,0.08956,81,26966,0.06852,0.11557
58,58,2014,Thuringa,No,0.91044,910,26966,0.8482,0.97783
59,59,2019,Schleswig-Holstein,Yes,0.14721,144,25635,0.11594,0.18519
60,60,2019,Schleswig-Holstein,No,0.85279,810,25635,0.78274,0.92088
61,61,2019,Hamburg,Yes,0.09085,57,25635,0.06157,0.12375
62,62,2019,Hamburg,No,0.90915,467,25635,0.80968,1.01385
63,63,2019,Lower Saxony,Yes,0.11142,285,25635,0.09465,0.12551
64,64,2019,Lower Saxony,No,0.88858,2197,25635,0.84182,0.9319
65,65,2019,Bremen,Yes,0.13153,38,25635,0.08949,0.18988
66,66,2019,Bremen,No,0.86847,181,25635,0.72253,1.02636
67,67,2019,North Rhine-Westphalia,Yes,0.13777,799,25635,0.12395,0.1535
68,68,2019,North Rhine-Westphalia,No,0.86223,4590,25635,0.82618,0.89155
69,69,2019,Hesse,Yes,0.15014,284,25635,0.13008,0.17606
70,70,2019,Hesse,No,0.84986,1423,25635,0.78873,0.90608
71,71,2019,"Rhineland-Palatinate, Saarland",Yes,0.11893,170,25635,0.09883,0.1397
72,72,2019,"Rhineland-Palatinate, Saarland",No,0.88107,1289,25635,0.82413,0.93733
73,73,2019,Baden-Wuerttemberg,Yes,0.1511,434,25635,0.13584,0.17026
74,74,2019,Baden-Wuerttemberg,No,0.8489,2357,25635,0.80986,0.88826
75,75,2019,Bavaria,Yes,0.12894,572,25635,0.11372,0.14593
76,76,2019,Bavaria,No,0.87106,3366,25635,0.82735,0.90121
77,77,2019,Berlin,Yes,0.21178,228,25635,0.18331,0.23944
78,78,2019,Berlin,No,0.78822,795,25635,0.72906,0.85817
79,79,2019,Brandenburg,Yes,0.06091,84,25635,0.04109,0.08333
80,80,2019,Brandenburg,No,0.93909,1021,25635,0.86727,1.02313
81,81,2019,Mecklenburg-Western Pomerania,Yes,0.08785,53,25635,0.05226,0.15527
82,82,2019,Mecklenburg-Western Pomerania,No,0.91215,556,25635,0.82524,1.00263
83,83,2019,Saxony,Yes,0.07062,151,25635,0.05402,0.0877
84,84,2019,Saxony,No,0.92938,1479,25635,0.87639,0.98504
85,85,2019,Saxony-Anhalt,Yes,0.09329,87,25635,0.07003,0.11581
86,86,2019,Saxony-Anhalt,No,0.90671,800,25635,0.82193,0.98077
87,87,2019,Thuringa,Yes,0.07908,87,25635,0.05874,0.10213
88,88,2019,Thuringa,No,0.92092,831,25635,0.83852,1.01478
