year,quintil_oecd,sampreg,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,West,Yes,0.18840,345,1931,0.17095,0.20584
2009,1st Quintile,West,No,0.81160,1586,1931,0.79416,0.82905
2009,1st Quintile,East,Yes,0.11276,75,926,0.09238,0.13315
2009,1st Quintile,East,No,0.88724,851,926,0.86685,0.90762
2009,2nd Quintile,West,Yes,0.13873,273,2086,0.12389,0.15356
2009,2nd Quintile,West,No,0.86127,1813,2086,0.84644,0.87611
2009,2nd Quintile,East,Yes,0.07776,76,1068,0.06169,0.09383
2009,2nd Quintile,East,No,0.92224,992,1068,0.90617,0.93831
2009,3rd Quintile,West,Yes,0.13558,286,2325,0.12166,0.14950
2009,3rd Quintile,West,No,0.86442,2039,2325,0.85050,0.87834
2009,3rd Quintile,East,Yes,0.09208,72,1074,0.07478,0.10938
2009,3rd Quintile,East,No,0.90792,1002,1074,0.89062,0.92522
2009,4th Quintile,West,Yes,0.13043,364,2961,0.11829,0.14256
2009,4th Quintile,West,No,0.86957,2597,2961,0.85744,0.88171
2009,4th Quintile,East,Yes,0.10841,76,803,0.08689,0.12993
2009,4th Quintile,East,No,0.89159,727,803,0.87007,0.91311
2009,5th Quintile,West,Yes,0.15570,597,4129,0.14464,0.16676
2009,5th Quintile,West,No,0.84430,3532,4129,0.83324,0.85536
2009,5th Quintile,East,Yes,0.12296,83,667,0.09802,0.14790
2009,5th Quintile,East,No,0.87704,584,667,0.85210,0.90198
2014,1st Quintile,West,Yes,0.17278,698,4363,0.16156,0.18400
2014,1st Quintile,West,No,0.82722,3665,4363,0.81600,0.83844
2014,1st Quintile,East,Yes,0.10344,134,1429,0.08765,0.11924
2014,1st Quintile,East,No,0.89656,1295,1429,0.88076,0.91235
2014,2nd Quintile,West,Yes,0.10437,498,4100,0.09501,0.11373
2014,2nd Quintile,West,No,0.89563,3602,4100,0.88627,0.90499
2014,2nd Quintile,East,Yes,0.05949,94,1392,0.04706,0.07192
2014,2nd Quintile,East,No,0.94051,1298,1392,0.92808,0.95294
2014,3rd Quintile,West,Yes,0.12889,524,3982,0.11848,0.13929
2014,3rd Quintile,West,No,0.87111,3458,3982,0.86071,0.88152
2014,3rd Quintile,East,Yes,0.05727,77,1165,0.04392,0.07062
2014,3rd Quintile,East,No,0.94273,1088,1165,0.92938,0.95608
2014,4th Quintile,West,Yes,0.12582,533,4221,0.11582,0.13583
2014,4th Quintile,West,No,0.87418,3688,4221,0.86417,0.88418
2014,4th Quintile,East,Yes,0.09049,74,926,0.07200,0.10897
2014,4th Quintile,East,No,0.90951,852,926,0.89103,0.92800
2014,5th Quintile,West,Yes,0.13467,632,4733,0.12494,0.14439
2014,5th Quintile,West,No,0.86533,4101,4733,0.85561,0.87506
2014,5th Quintile,East,Yes,0.16975,65,648,0.14082,0.19868
2014,5th Quintile,East,No,0.83025,583,648,0.80132,0.85918
2019,1st Quintile,West,Yes,0.16545,556,3224,0.15262,0.17828
2019,1st Quintile,West,No,0.83455,2668,3224,0.82172,0.84738
2019,1st Quintile,East,Yes,0.08956,126,1199,0.07339,0.10573
2019,1st Quintile,East,No,0.91044,1073,1199,0.89427,0.92661
2019,2nd Quintile,West,Yes,0.14362,489,3479,0.13196,0.15527
2019,2nd Quintile,West,No,0.85638,2990,3479,0.84473,0.86804
2019,2nd Quintile,East,Yes,0.05241,78,1278,0.04018,0.06463
2019,2nd Quintile,East,No,0.94759,1200,1278,0.93537,0.95982
2019,3rd Quintile,West,Yes,0.13212,439,3346,0.12065,0.14360
2019,3rd Quintile,West,No,0.86788,2907,3346,0.85640,0.87935
2019,3rd Quintile,East,Yes,0.08245,89,1066,0.06593,0.09896
2019,3rd Quintile,East,No,0.91755,977,1066,0.90104,0.93407
2019,4th Quintile,West,Yes,0.10953,435,3508,0.09920,0.11987
2019,4th Quintile,West,No,0.89047,3073,3508,0.88013,0.90080
2019,4th Quintile,East,Yes,0.09459,78,748,0.07360,0.11558
2019,4th Quintile,East,No,0.90541,670,748,0.88442,0.92640
2019,5th Quintile,West,Yes,0.13354,572,4198,0.12325,0.14383
2019,5th Quintile,West,No,0.86646,3626,4198,0.85617,0.87675
2019,5th Quintile,East,Yes,0.09351,55,611,0.07041,0.11662
2019,5th Quintile,East,No,0.90649,556,611,0.88338,0.92959
