year,age_gr,bula_h,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,17-29 y.,Schleswig-Holstein,Yes,0.39636,44,114,0.30617,0.48655
2002,17-29 y.,Schleswig-Holstein,No,0.60364,70,114,0.51345,0.69383
2002,17-29 y.,Hamburg,No,0.62786,33,33,0.46038,0.79534
2002,17-29 y.,Lower Saxony,Yes,0.39357,134,352,0.34246,0.44468
2002,17-29 y.,Lower Saxony,No,0.60643,218,352,0.55532,0.65754
2002,17-29 y.,North Rhine-Westphalia,Yes,0.37557,301,822,0.34244,0.40870
2002,17-29 y.,North Rhine-Westphalia,No,0.62380,521,822,0.59067,0.65694
2002,17-29 y.,Hesse,Yes,0.42176,101,274,0.36318,0.48034
2002,17-29 y.,Hesse,No,0.57824,173,274,0.51966,0.63682
2002,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.37731,80,223,0.31355,0.44107
2002,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.62269,143,223,0.55893,0.68645
2002,17-29 y.,Baden-Wuerttemberg,Yes,0.37955,197,539,0.33855,0.42056
2002,17-29 y.,Baden-Wuerttemberg,No,0.62045,342,539,0.57944,0.66145
2002,17-29 y.,Bavaria,Yes,0.39013,211,574,0.35020,0.43007
2002,17-29 y.,Bavaria,No,0.60987,363,574,0.56993,0.64980
2002,17-29 y.,Berlin,Yes,0.40012,67,165,0.32514,0.47510
2002,17-29 y.,Berlin,No,0.59988,98,165,0.52490,0.67486
2002,17-29 y.,Brandenburg,Yes,0.49085,87,193,0.42014,0.56157
2002,17-29 y.,Brandenburg,No,0.50915,106,193,0.43843,0.57986
2002,17-29 y.,Mecklenburg-Western Pomerania,Yes,0.46863,41,97,0.36880,0.56845
2002,17-29 y.,Mecklenburg-Western Pomerania,No,0.53137,56,97,0.43155,0.63120
2002,17-29 y.,Saxony,Yes,0.36231,108,312,0.30888,0.41573
2002,17-29 y.,Saxony,No,0.63769,204,312,0.58427,0.69112
2002,17-29 y.,Saxony-Anhalt,Yes,0.44664,83,185,0.37481,0.51848
2002,17-29 y.,Saxony-Anhalt,No,0.55336,102,185,0.48152,0.62519
2002,17-29 y.,Thuringa,Yes,0.43452,89,207,0.36683,0.50221
2002,17-29 y.,Thuringa,No,0.56548,118,207,0.49779,0.63317
2002,30-45 y.,Schleswig-Holstein,Yes,0.36536,70,204,0.29912,0.43160
2002,30-45 y.,Schleswig-Holstein,No,0.63464,134,204,0.56840,0.70088
2002,30-45 y.,Hamburg,No,0.53667,58,58,0.40721,0.66612
2002,30-45 y.,Lower Saxony,Yes,0.44622,286,665,0.40841,0.48403
