year,age_gr,quintil_oecd,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,17-29 y.,1st Quintile,Yes,0.45184,384,838,0.41812,0.48555
2002,17-29 y.,1st Quintile,No,0.54816,454,838,0.51445,0.58188
2002,17-29 y.,2nd Quintile,Yes,0.41668,318,800,0.38250,0.45087
2002,17-29 y.,2nd Quintile,No,0.58332,482,800,0.54913,0.61750
2002,17-29 y.,3rd Quintile,Yes,0.38599,287,755,0.35124,0.42074
2002,17-29 y.,3rd Quintile,No,0.61401,468,755,0.57926,0.64876
2002,17-29 y.,4th Quintile,Yes,0.35823,259,737,0.32358,0.39287
2002,17-29 y.,4th Quintile,No,0.64102,478,737,0.60637,0.67568
2002,17-29 y.,5th Quintile,Yes,0.32016,221,670,0.28481,0.35552
2002,17-29 y.,5th Quintile,No,0.67984,449,670,0.64448,0.71519
2002,30-45 y.,1st Quintile,Yes,0.53663,568,1041,0.50633,0.56694
2002,30-45 y.,1st Quintile,No,0.46261,473,1041,0.43231,0.49291
2002,30-45 y.,2nd Quintile,Yes,0.39593,495,1236,0.36865,0.42320
2002,30-45 y.,2nd Quintile,No,0.60216,741,1236,0.57487,0.62946
2002,30-45 y.,3rd Quintile,Yes,0.39695,558,1412,0.37142,0.42248
2002,30-45 y.,3rd Quintile,No,0.60305,854,1412,0.57752,0.62858
2002,30-45 y.,4th Quintile,Yes,0.38240,555,1521,0.35797,0.40683
2002,30-45 y.,4th Quintile,No,0.61720,966,1521,0.59276,0.64163
2002,30-45 y.,5th Quintile,Yes,0.31993,516,1645,0.29738,0.34247
2002,30-45 y.,5th Quintile,No,0.67929,1129,1645,0.65673,0.70186
2002,46-65 y.,1st Quintile,Yes,0.36642,332,909,0.33508,0.39776
2002,46-65 y.,1st Quintile,No,0.63358,577,909,0.60224,0.66492
2002,46-65 y.,2nd Quintile,Yes,0.29709,289,1024,0.26909,0.32510
2002,46-65 y.,2nd Quintile,No,0.70230,735,1024,0.67428,0.73032
2002,46-65 y.,3rd Quintile,Yes,0.32255,358,1189,0.29597,0.34913
2002,46-65 y.,3rd Quintile,No,0.67622,831,1189,0.64961,0.70283
2002,46-65 y.,4th Quintile,Yes,0.30315,405,1481,0.27973,0.32656
2002,46-65 y.,4th Quintile,No,0.69606,1076,1481,0.67263,0.71949
2002,46-65 y.,5th Quintile,Yes,0.25785,533,2112,0.23918,0.27651
2002,46-65 y.,5th Quintile,No,0.74215,1579,2112,0.72349,0.76082
2002,66 and older,1st Quintile,Yes,0.10577,71,670,0.08247,0.12908
2002,66 and older,1st Quintile,No,0.89423,599,670,0.87092,0.91753
2002,66 and older,2nd Quintile,Yes,0.09240,82,880,0.07325,0.11154
2002,66 and older,2nd Quintile,No,0.90571,798,880,0.88639,0.92503
2002,66 and older,3rd Quintile,Yes,0.11956,90,710,0.09568,0.14344
2002,66 and older,3rd Quintile,No,0.88044,620,710,0.85656,0.90432
2002,66 and older,4th Quintile,Yes,0.08929,59,615,0.06673,0.11184
2002,66 and older,4th Quintile,No,0.91071,556,615,0.88816,0.93327
2002,66 and older,5th Quintile,Yes,0.10582,60,545,0.07997,0.13167
2002,66 and older,5th Quintile,No,0.89418,485,545,0.86833,0.92003
2004,17-29 y.,1st Quintile,Yes,0.44022,402,906,0.40788,0.47256
2004,17-29 y.,1st Quintile,No,0.55629,504,906,0.52392,0.58866
2004,17-29 y.,2nd Quintile,Yes,0.41441,295,738,0.37884,0.44998
2004,17-29 y.,2nd Quintile,No,0.58037,443,738,0.54474,0.61600
2004,17-29 y.,3rd Quintile,Yes,0.37998,289,745,0.34510,0.41486
2004,17-29 y.,3rd Quintile,No,0.61949,456,745,0.58460,0.65437
2004,17-29 y.,4th Quintile,Yes,0.34255,252,724,0.30796,0.37715
2004,17-29 y.,4th Quintile,No,0.65658,472,724,0.62196,0.69119
2004,17-29 y.,5th Quintile,Yes,0.32261,254,840,0.29097,0.35424
2004,17-29 y.,5th Quintile,No,0.67739,586,840,0.64576,0.70903
2004,30-45 y.,1st Quintile,Yes,0.52274,466,911,0.49029,0.55519
2004,30-45 y.,1st Quintile,No,0.46720,445,911,0.43479,0.49962
2004,30-45 y.,2nd Quintile,Yes,0.39197,466,1169,0.36397,0.41996
2004,30-45 y.,2nd Quintile,No,0.60731,703,1169,0.57930,0.63532
2004,30-45 y.,3rd Quintile,Yes,0.39800,504,1240,0.37074,0.42525
2004,30-45 y.,3rd Quintile,No,0.59874,736,1240,0.57145,0.62603
2004,30-45 y.,4th Quintile,Yes,0.33414,482,1450,0.30986,0.35843
2004,30-45 y.,4th Quintile,No,0.66546,968,1450,0.64117,0.68975
2004,30-45 y.,5th Quintile,Yes,0.32899,502,1741,0.30692,0.35107
2004,30-45 y.,5th Quintile,No,0.66758,1239,1741,0.64545,0.68972
2004,46-65 y.,1st Quintile,Yes,0.36109,303,847,0.32872,0.39345
2004,46-65 y.,1st Quintile,No,0.63256,544,847,0.60007,0.66505
2004,46-65 y.,2nd Quintile,Yes,0.32188,304,1000,0.29291,0.35085
2004,46-65 y.,2nd Quintile,No,0.67376,696,1000,0.64468,0.70283
2004,46-65 y.,3rd Quintile,Yes,0.31624,335,1162,0.28949,0.34299
2004,46-65 y.,3rd Quintile,No,0.68271,827,1162,0.65594,0.70949
2004,46-65 y.,4th Quintile,Yes,0.27065,390,1462,0.24787,0.29343
2004,46-65 y.,4th Quintile,No,0.72935,1072,1462,0.70657,0.75213
2004,46-65 y.,5th Quintile,Yes,0.27869,715,2878,0.26231,0.29507
2004,46-65 y.,5th Quintile,No,0.71775,2163,2878,0.70130,0.73420
2004,66 and older,1st Quintile,Yes,0.14141,88,617,0.11389,0.16893
2004,66 and older,1st Quintile,No,0.85126,529,617,0.82316,0.87936
2004,66 and older,2nd Quintile,Yes,0.08149,77,900,0.06361,0.09937
2004,66 and older,2nd Quintile,No,0.91354,823,900,0.89517,0.93191
2004,66 and older,3rd Quintile,Yes,0.12737,100,783,0.10400,0.15074
2004,66 and older,3rd Quintile,No,0.86499,683,783,0.84104,0.88895
2004,66 and older,4th Quintile,Yes,0.07933,60,708,0.05941,0.09925
2004,66 and older,4th Quintile,No,0.91655,648,708,0.89616,0.93693
2004,66 and older,5th Quintile,Yes,0.10920,91,737,0.08667,0.13174
2004,66 and older,5th Quintile,No,0.88821,646,737,0.86544,0.91097
2006,17-29 y.,1st Quintile,Yes,0.42457,374,787,0.39001,0.45912
