year,sex,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,male,Yes,0.29611,3930,11123,0.28763,0.30460
2002,male,No,0.52611,7193,11123,0.51683,0.53539
2002,female,Yes,0.21253,3097,11894,0.20518,0.21988
2002,female,No,0.62651,8797,11894,0.61782,0.63521
2004,male,Yes,0.28884,3504,10358,0.28011,0.29757
2004,male,No,0.53846,6854,10358,0.52886,0.54807
2004,female,Yes,0.21340,2872,11203,0.20582,0.22099
2004,female,No,0.62733,8331,11203,0.61837,0.63628
2006,male,Yes,0.28151,3366,10456,0.27289,0.29014
2006,male,No,0.54284,7090,10456,0.53329,0.55239
2006,female,Yes,0.22278,2906,11486,0.21517,0.23039
2006,female,No,0.61858,8580,11486,0.60970,0.62746
2008,male,Yes,0.27305,2813,9197,0.26395,0.28216
2008,male,No,0.55758,6384,9197,0.54743,0.56773
2008,female,Yes,0.20832,2376,10094,0.20040,0.21624
2008,female,No,0.63786,7718,10094,0.62849,0.64724
2010,male,Yes,0.23990,2349,7916,0.23049,0.24931
2010,male,No,0.52317,5567,7916,0.51217,0.53417
2010,female,Yes,0.17699,1988,8705,0.16897,0.18501
2010,female,No,0.58289,6717,8705,0.57253,0.59325
2012,male,Yes,0.23447,2782,9618,0.22600,0.24294
2012,male,No,0.53267,6836,9618,0.52270,0.54264
2012,female,Yes,0.17594,2482,10804,0.16876,0.18312
2012,female,No,0.59119,8322,10804,0.58192,0.60046
2014,male,Yes,0.25611,3848,12417,0.24843,0.26379
2014,male,No,0.57980,8569,12417,0.57111,0.58848
2014,female,Yes,0.19582,3559,14614,0.18938,0.20225
2014,female,No,0.64980,11055,14614,0.64207,0.65754
2016,male,Yes,0.23886,3235,11038,0.23091,0.24682
2016,male,No,0.58567,7803,11038,0.57648,0.59486
2016,female,Yes,0.18649,3057,13084,0.17982,0.19317
2016,female,No,0.65504,10027,13084,0.64689,0.66318
2018,male,Yes,0.22836,3264,11742,0.22076,0.23595
2018,male,No,0.59465,8478,11742,0.58576,0.60353
2018,female,Yes,0.18611,3213,13789,0.17961,0.19260
2018,female,No,0.65724,10576,13789,0.64931,0.66516
2020,male,Yes,0.21028,3947,13944,0.20351,0.21704
2020,male,No,0.61493,9997,13944,0.60685,0.62301
2020,female,Yes,0.17635,3013,14428,0.17013,0.18257
2020,female,No,0.66296,11415,14428,0.65525,0.67068
