year,age_gr,migback,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,17-29 y.,No migration background,Yes,0.40121,1216,3177,0.38417,0.41826
2002,17-29 y.,No migration background,No,0.59861,1961,3177,0.58156,0.61566
2002,17-29 y.,Direct migration background,Yes,0.33162,146,441,0.28763,0.37561
2002,17-29 y.,Direct migration background,No,0.66838,295,441,0.62439,0.71237
2002,17-29 y.,Indirect migration background,Yes,0.43582,217,523,0.39328,0.47835
2002,17-29 y.,Indirect migration background,No,0.56418,306,523,0.52165,0.60672
2002,30-45 y.,No migration background,Yes,0.39551,2362,6278,0.38342,0.40761
2002,30-45 y.,No migration background,No,0.60364,3916,6278,0.59154,0.61574
2002,30-45 y.,Direct migration background,Yes,0.39757,398,970,0.36675,0.42838
2002,30-45 y.,Direct migration background,No,0.60243,572,970,0.57162,0.63325
2002,30-45 y.,Indirect migration background,Yes,0.50657,94,188,0.43491,0.57823
2002,30-45 y.,Indirect migration background,No,0.49343,94,188,0.42177,0.56509
2002,46-65 y.,No migration background,Yes,0.29819,1876,6772,0.28729,0.30908
2002,46-65 y.,No migration background,No,0.70145,4896,6772,0.69055,0.71235
2002,46-65 y.,Direct migration background,Yes,0.31105,307,1037,0.28286,0.33924
2002,46-65 y.,Direct migration background,No,0.68774,730,1037,0.65952,0.71596
2002,66 and older,No migration background,Yes,0.10326,343,3226,0.09276,0.11377
2002,66 and older,No migration background,No,0.89621,2883,3226,0.88568,0.90673
2002,66 and older,Direct migration background,Yes,0.10618,47,348,0.07377,0.13860
2002,66 and older,Direct migration background,No,0.89382,301,348,0.86140,0.92623
2004,17-29 y.,No migration background,Yes,0.39977,1166,3068,0.38243,0.41711
2004,17-29 y.,No migration background,No,0.59978,1902,3068,0.58244,0.61712
2004,17-29 y.,Direct migration background,Yes,0.30197,118,371,0.25519,0.34875
2004,17-29 y.,Direct migration background,No,0.68242,253,371,0.63499,0.72986
2004,17-29 y.,Indirect migration background,Yes,0.42178,209,515,0.37909,0.46448
2004,17-29 y.,Indirect migration background,No,0.57822,306,515,0.53552,0.62091
2004,30-45 y.,No migration background,Yes,0.39398,2007,5448,0.38100,0.40695
2004,30-45 y.,No migration background,No,0.60251,3441,5448,0.58952,0.61551
2004,30-45 y.,Direct migration background,Yes,0.35562,319,843,0.32328,0.38795
2004,30-45 y.,Direct migration background,No,0.64220,524,843,0.60982,0.67458
2004,30-45 y.,Indirect migration background,Yes,0.40861,94,220,0.34350,0.47372
2004,30-45 y.,Indirect migration background,No,0.58661,126,220,0.52139,0.65183
2004,46-65 y.,No migration background,Yes,0.30074,1754,6351,0.28946,0.31202
2004,46-65 y.,No migration background,No,0.69629,4597,6351,0.68498,0.70761
2004,46-65 y.,Direct migration background,Yes,0.30092,267,951,0.27176,0.33009
2004,46-65 y.,Direct migration background,No,0.69654,684,951,0.66730,0.72577
2004,66 and older,No migration background,Yes,0.10571,370,3374,0.09533,0.11609
2004,66 and older,No migration background,No,0.88871,3004,3374,0.87809,0.89932
2004,66 and older,Direct migration background,Yes,0.12318,46,361,0.08923,0.15713
2004,66 and older,Direct migration background,No,0.87222,315,361,0.83773,0.90671
2006,17-29 y.,No migration background,Yes,0.38098,1121,2881,0.36325,0.39872
2006,17-29 y.,No migration background,No,0.55308,1760,2881,0.53492,0.57124
2006,17-29 y.,Direct migration background,Yes,0.34417,107,322,0.29220,0.39615
2006,17-29 y.,Direct migration background,No,0.63060,215,322,0.57780,0.68340
2006,17-29 y.,Indirect migration background,Yes,0.38728,190,469,0.34315,0.43141
2006,17-29 y.,Indirect migration background,No,0.54371,279,469,0.49859,0.58884
2006,30-45 y.,No migration background,Yes,0.37940,1834,5210,0.36623,0.39258
2006,30-45 y.,No migration background,No,0.61681,3376,5210,0.60361,0.63001
2006,30-45 y.,Direct migration background,Yes,0.38248,293,785,0.34847,0.41650
2006,30-45 y.,Direct migration background,No,0.61752,492,785,0.58350,0.65153
2006,30-45 y.,Indirect migration background,Yes,0.43742,122,277,0.37890,0.49595
2006,30-45 y.,Indirect migration background,No,0.56258,155,277,0.50405,0.62110
2006,46-65 y.,No migration background,Yes,0.30736,1848,6642,0.29627,0.31846
2006,46-65 y.,No migration background,No,0.69193,4794,6642,0.68082,0.70303
2006,46-65 y.,Direct migration background,Yes,0.32903,253,881,0.29798,0.36007
2006,46-65 y.,Direct migration background,No,0.67097,628,881,0.63993,0.70202
2006,66 and older,No migration background,Yes,0.10666,425,4022,0.09712,0.11621
2006,66 and older,No migration background,No,0.89175,3597,4022,0.88215,0.90135
2006,66 and older,Direct migration background,Yes,0.12737,55,389,0.09419,0.16054
2006,66 and older,Direct migration background,No,0.87263,334,389,0.83946,0.90581
2008,17-29 y.,No migration background,Yes,0.33571,845,2493,0.31716,0.35425
2008,17-29 y.,No migration background,No,0.59129,1648,2493,0.57199,0.61059
2008,17-29 y.,Direct migration background,Yes,0.35965,71,225,0.29680,0.42250
2008,17-29 y.,Direct migration background,No,0.62734,154,225,0.56402,0.69066
2008,17-29 y.,Indirect migration background,Yes,0.32494,159,433,0.28078,0.36911
2008,17-29 y.,Indirect migration background,No,0.55712,274,433,0.51028,0.60397
2008,30-45 y.,No migration background,Yes,0.35138,1427,4294,0.33710,0.36566
2008,30-45 y.,No migration background,No,0.64790,2867,4294,0.63361,0.66219
2008,30-45 y.,Direct migration background,Yes,0.35826,212,605,0.32002,0.39650
2008,30-45 y.,Direct migration background,No,0.64174,393,605,0.60350,0.67998
2008,30-45 y.,Indirect migration background,Yes,0.42115,115,268,0.36193,0.48038
2008,30-45 y.,Indirect migration background,No,0.57725,153,268,0.51800,0.63651
2008,46-65 y.,No migration background,Yes,0.31026,1668,5926,0.29848,0.32204
2008,46-65 y.,No migration background,No,0.68682,4258,5926,0.67501,0.69863
