year,sampreg,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,West,Yes,0.25310,5425,17592,0.24667,0.25952
2002,West,No,0.57039,12167,17592,0.56308,0.57771
2002,East,Yes,0.25525,1602,5425,0.24364,0.26685
2002,East,No,0.60834,3823,5425,0.59535,0.62133
2004,West,Yes,0.24925,4861,16351,0.24262,0.25588
2004,West,No,0.57728,11490,16351,0.56971,0.58486
2004,East,Yes,0.25575,1515,5210,0.24390,0.26759
2004,East,No,0.61334,3695,5210,0.60011,0.62656
2006,West,Yes,0.25259,4799,16674,0.24600,0.25919
2006,West,No,0.57317,11875,16674,0.56567,0.58068
2006,East,Yes,0.24718,1473,5268,0.23553,0.25883
2006,East,No,0.61866,3795,5268,0.60555,0.63178
2008,West,Yes,0.23791,3901,14530,0.23098,0.24483
2008,West,No,0.59296,10629,14530,0.58497,0.60095
2008,East,Yes,0.25022,1288,4761,0.23792,0.26253
2008,East,No,0.62364,3473,4761,0.60987,0.63740
2010,West,Yes,0.20701,3247,12503,0.19991,0.21411
2010,West,No,0.54548,9256,12503,0.53675,0.55421
2010,East,Yes,0.21211,1090,4118,0.19962,0.22459
2010,East,No,0.59111,3028,4118,0.57610,0.60613
2012,West,Yes,0.20118,3932,15597,0.19489,0.20747
2012,West,No,0.56016,11665,15597,0.55237,0.56795
2012,East,Yes,0.22105,1332,4825,0.20934,0.23276
2012,East,No,0.57362,3493,4825,0.55967,0.58758
2014,West,Yes,0.22043,5787,21466,0.21489,0.22598
2014,West,No,0.61736,15679,21466,0.61086,0.62386
2014,East,Yes,0.24905,1620,5565,0.23769,0.26041
2014,East,No,0.60602,3945,5565,0.59318,0.61886
2016,West,Yes,0.20656,4878,19110,0.20082,0.21230
2016,West,No,0.62395,14232,19110,0.61708,0.63082
2016,East,Yes,0.23985,1414,5012,0.22803,0.25167
2016,East,No,0.60471,3598,5012,0.59118,0.61825
2018,West,Yes,0.20329,4929,20055,0.19772,0.20886
2018,West,No,0.62935,15126,20055,0.62267,0.63604
2018,East,Yes,0.22491,1548,5476,0.21385,0.23597
2018,East,No,0.61084,3928,5476,0.59792,0.62375
2020,West,Yes,0.18703,5422,22672,0.18196,0.19211
2020,West,No,0.64299,17250,22672,0.63675,0.64922
2020,East,Yes,0.22278,1541,5708,0.21199,0.23358
2020,East,No,0.61910,4167,5708,0.60650,0.63170
