year,bula_h,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Schleswig-Holstein,Yes,0.26943,224,719,0.23698,0.30189
2002,Schleswig-Holstein,No,0.56372,495,719,0.52745,0.60000
2002,Hamburg,Yes,0.29789,98,325,0.24809,0.34769
2002,Hamburg,No,0.57931,227,325,0.52556,0.63307
2002,Lower Saxony,Yes,0.25658,635,1977,0.23732,0.27583
2002,Lower Saxony,No,0.55863,1342,1977,0.53674,0.58052
2002,Bremen,Yes,0.29005,62,172,0.22204,0.35807
2002,Bremen,No,0.57674,110,172,0.50268,0.65079
2002,North Rhine-Westphalia,Yes,0.26802,1573,4868,0.25558,0.28047
2002,North Rhine-Westphalia,No,0.56688,3295,4868,0.55296,0.58080
2002,Hesse,Yes,0.24881,507,1639,0.22788,0.26975
2002,Hesse,No,0.56304,1132,1639,0.53902,0.58706
2002,"Rhineland-Palatinate, Saarland",Yes,0.25023,432,1375,0.22733,0.27314
2002,"Rhineland-Palatinate, Saarland",No,0.54808,943,1375,0.52177,0.57440
2002,Baden-Wuerttemberg,Yes,0.22268,802,2799,0.20726,0.23809
2002,Baden-Wuerttemberg,No,0.58512,1997,2799,0.56687,0.60338
2002,Bavaria,Yes,0.23713,922,3255,0.22251,0.25174
2002,Bavaria,No,0.59648,2333,3255,0.57962,0.61333
2002,Berlin,Yes,0.32179,311,827,0.28993,0.35365
2002,Berlin,No,0.50801,516,827,0.47392,0.54211
2002,Brandenburg,Yes,0.25223,267,959,0.22473,0.27973
2002,Brandenburg,No,0.61782,692,959,0.58705,0.64859
2002,Mecklenburg-Western Pomerania,Yes,0.26693,156,516,0.22872,0.30513
2002,Mecklenburg-Western Pomerania,No,0.59096,360,516,0.54849,0.63342
2002,Saxony,Yes,0.21844,427,1648,0.19848,0.23839
2002,Saxony,No,0.64073,1221,1648,0.61756,0.66390
2002,Saxony-Anhalt,Yes,0.27919,312,971,0.25096,0.30743
2002,Saxony-Anhalt,No,0.59915,659,971,0.56831,0.62999
2002,Thuringa,Yes,0.25315,299,967,0.22573,0.28057
2002,Thuringa,No,0.60675,668,967,0.57594,0.63755
2004,Schleswig-Holstein,Yes,0.27350,203,669,0.23970,0.30730
2004,Schleswig-Holstein,No,0.57154,466,669,0.53401,0.60906
2004,Hamburg,Yes,0.30984,84,292,0.25670,0.36297
2004,Hamburg,No,0.54423,208,292,0.48701,0.60145
2004,Lower Saxony,Yes,0.24809,562,1880,0.22856,0.26762
2004,Lower Saxony,No,0.57266,1318,1880,0.55029,0.59502
2004,Bremen,Yes,0.28196,56,167,0.21351,0.35041
2004,Bremen,No,0.59474,111,167,0.52005,0.66942
2004,North Rhine-Westphalia,Yes,0.26043,1446,4523,0.24764,0.27322
2004,North Rhine-Westphalia,No,0.57460,3077,4523,0.56019,0.58901
2004,Hesse,Yes,0.23594,420,1441,0.21401,0.25787
2004,Hesse,No,0.56602,1021,1441,0.54042,0.59162
2004,"Rhineland-Palatinate, Saarland",Yes,0.26203,406,1301,0.23813,0.28594
2004,"Rhineland-Palatinate, Saarland",No,0.55352,895,1301,0.52650,0.58055
2004,Baden-Wuerttemberg,Yes,0.22243,719,2603,0.20645,0.23841
2004,Baden-Wuerttemberg,No,0.58540,1884,2603,0.56647,0.60433
2004,Bavaria,Yes,0.23350,818,3040,0.21845,0.24854
2004,Bavaria,No,0.60879,2222,3040,0.59144,0.62614
2004,Berlin,Yes,0.33243,286,804,0.29985,0.36501
2004,Berlin,No,0.51097,518,804,0.47639,0.54554
2004,Brandenburg,Yes,0.25365,250,903,0.22525,0.28204
2004,Brandenburg,No,0.61584,653,903,0.58410,0.64758
