year,quintil_oecd,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,1st Quintile,Yes,0.28695,1355,3458,0.27187,0.30203
2002,1st Quintile,No,0.49174,2103,3458,0.47507,0.50840
2002,2nd Quintile,Yes,0.23559,1184,3940,0.22233,0.24884
2002,2nd Quintile,No,0.57092,2756,3940,0.55546,0.58638
2002,3rd Quintile,Yes,0.25591,1293,4066,0.24249,0.26932
2002,3rd Quintile,No,0.55787,2773,4066,0.54260,0.57314
2002,4th Quintile,Yes,0.25339,1278,4354,0.24047,0.26632
2002,4th Quintile,No,0.59967,3076,4354,0.58511,0.61422
2002,5th Quintile,Yes,0.23805,1330,4972,0.22621,0.24989
2002,5th Quintile,No,0.67636,3642,4972,0.66336,0.68937
2004,1st Quintile,Yes,0.29522,1259,3281,0.27961,0.31083
2004,1st Quintile,No,0.49321,2022,3281,0.47610,0.51032
2004,2nd Quintile,Yes,0.23437,1142,3807,0.22091,0.24783
2004,2nd Quintile,No,0.56621,2665,3807,0.55046,0.58195
2004,3rd Quintile,Yes,0.25388,1228,3930,0.24027,0.26749
2004,3rd Quintile,No,0.57089,2702,3930,0.55542,0.58637
2004,4th Quintile,Yes,0.22369,1184,4344,0.21130,0.23608
2004,4th Quintile,No,0.63295,3160,4344,0.61862,0.64729
2004,5th Quintile,Yes,0.24494,1562,6196,0.23423,0.25565
2004,5th Quintile,No,0.65527,4634,6196,0.64344,0.66711
2006,1st Quintile,Yes,0.31720,1221,2952,0.30041,0.33399
2006,1st Quintile,No,0.47716,1731,2952,0.45914,0.49518
2006,2nd Quintile,Yes,0.24126,986,3289,0.22664,0.25589
2006,2nd Quintile,No,0.56114,2303,3289,0.54418,0.57811
2006,3rd Quintile,Yes,0.22924,1014,3640,0.21558,0.24289
2006,3rd Quintile,No,0.58838,2626,3640,0.57239,0.60437
2006,4th Quintile,Yes,0.22615,1018,3936,0.21308,0.23922
2006,4th Quintile,No,0.62032,2918,3936,0.60516,0.63549
2006,5th Quintile,Yes,0.24503,1340,5508,0.23367,0.25639
