year,migback,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,No migration background,Yes,0.25404,5797,19453,0.24793,0.26016
2002,No migration background,No,0.59504,13656,19453,0.58815,0.60194
2002,Direct migration background,Yes,0.29494,898,2796,0.27803,0.31185
2002,Direct migration background,No,0.64885,1898,2796,0.63115,0.66654
2002,Indirect migration background,Yes,0.16942,332,768,0.14287,0.19597
2002,Indirect migration background,No,0.20598,436,768,0.17736,0.23460
2004,No migration background,Yes,0.25245,5297,18241,0.24615,0.25876
2004,No migration background,No,0.59888,12944,18241,0.59177,0.60599
2004,Direct migration background,Yes,0.27927,750,2526,0.26177,0.29677
2004,Direct migration background,No,0.67685,1776,2526,0.65861,0.69509
2004,Indirect migration background,Yes,0.17674,329,794,0.15019,0.20328
2004,Indirect migration background,No,0.24193,465,794,0.21212,0.27173
2006,No migration background,Yes,0.24999,5228,18755,0.24380,0.25619
2006,No migration background,No,0.60052,13527,18755,0.59351,0.60753
2006,Direct migration background,Yes,0.30475,708,2377,0.28624,0.32326
2006,Direct migration background,No,0.65605,1669,2377,0.63695,0.67516
2006,Indirect migration background,Yes,0.18827,336,810,0.16133,0.21521
2006,Indirect migration background,No,0.26020,474,810,0.22996,0.29043
2008,No migration background,Yes,0.23794,4374,16622,0.23146,0.24441
2008,No migration background,No,0.61563,12248,16622,0.60823,0.62302
2008,Direct migration background,Yes,0.29229,520,1906,0.27186,0.31271
2008,Direct migration background,No,0.68504,1386,1906,0.66418,0.70590
2008,Indirect migration background,Yes,0.19001,295,763,0.16215,0.21786
2008,Indirect migration background,No,0.30171,468,763,0.26912,0.33430
2010,No migration background,Yes,0.21174,3736,14500,0.20509,0.21839
2010,No migration background,No,0.57910,10764,14500,0.57106,0.58714
2010,Direct migration background,Yes,0.21825,369,1468,0.19711,0.23939
2010,Direct migration background,No,0.57296,1099,1468,0.54765,0.59827
2010,Indirect migration background,Yes,0.15043,232,653,0.12299,0.17787
2010,Indirect migration background,No,0.24772,421,653,0.21458,0.28085
2012,No migration background,Yes,0.20800,4529,17672,0.20201,0.21398
2012,No migration background,No,0.58411,13143,17672,0.57684,0.59138
2012,Direct migration background,Yes,0.22847,488,1974,0.20994,0.24700
2012,Direct migration background,No,0.60506,1486,1974,0.58349,0.62663
2012,Indirect migration background,Yes,0.13159,247,776,0.10779,0.15539
2012,Indirect migration background,No,0.26740,529,776,0.23624,0.29856
2014,No migration background,Yes,0.22374,5258,20095,0.21798,0.22951
2014,No migration background,No,0.63540,14837,20095,0.62875,0.64206
2014,Direct migration background,Yes,0.27078,1542,5219,0.25872,0.28284
2014,Direct migration background,No,0.69132,3677,5219,0.67879,0.70386
2014,Indirect migration background,Yes,0.17427,607,1717,0.15632,0.19222
2014,Indirect migration background,No,0.31429,1110,1717,0.29232,0.33625
2016,No migration background,Yes,0.21255,4388,17771,0.20654,0.21857
2016,No migration background,No,0.64513,13383,17771,0.63809,0.65216
2016,Direct migration background,Yes,0.25023,1435,4878,0.23807,0.26239
2016,Direct migration background,No,0.65467,3443,4878,0.64132,0.66801
2016,Indirect migration background,Yes,0.15213,469,1473,0.13378,0.17047
2016,Indirect migration background,No,0.35186,1004,1473,0.32746,0.37625
2018,No migration background,Yes,0.20307,4705,19421,0.19741,0.20873
2018,No migration background,No,0.65826,14716,19421,0.65159,0.66493
2018,Direct migration background,Yes,0.25861,1285,4495,0.24581,0.27142
2018,Direct migration background,No,0.63223,3210,4495,0.61813,0.64633
2018,Indirect migration background,Yes,0.16099,487,1615,0.14306,0.17892
2018,Indirect migration background,No,0.35449,1128,1615,0.33115,0.37783
2020,No migration background,Yes,0.18884,4161,18551,0.18321,0.19448
2020,No migration background,No,0.66571,14390,18551,0.65892,0.67250
2020,Direct migration background,Yes,0.24871,2382,8294,0.23941,0.25801
2020,Direct migration background,No,0.68084,5912,8294,0.67081,0.69087
2020,Indirect migration background,Yes,0.15070,420,1535,0.13279,0.16860
2020,Indirect migration background,No,0.35018,1115,1535,0.32631,0.37406
