year,rentown,sampreg,hlf0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Owner,West,Yes,0.89375,3827,4154,0.88437,0.90312
2001,Owner,West,No,0.10625,327,4154,0.09688,0.11563
2001,Owner,East,Yes,0.84460,982,1099,0.82317,0.86603
2001,Owner,East,No,0.15540,117,1099,0.13397,0.17683
2001,Tenant,West,Yes,0.67603,3408,4651,0.66258,0.68948
2001,Tenant,West,No,0.32397,1243,4651,0.31052,0.33742
2001,Tenant,East,Yes,0.60943,1176,1724,0.58639,0.63247
2001,Tenant,East,No,0.39057,548,1724,0.36753,0.41361
2003,Owner,West,Yes,0.89371,4229,4540,0.88475,0.90268
2003,Owner,West,No,0.10629,311,4540,0.09732,0.11525
2003,Owner,East,Yes,0.87479,1018,1103,0.85525,0.89433
2003,Owner,East,No,0.12521,85,1103,0.10567,0.14475
2003,Tenant,West,Yes,0.66924,3244,4433,0.65538,0.68309
2003,Tenant,West,No,0.33076,1189,4433,0.31691,0.34462
2003,Tenant,East,Yes,0.60760,1132,1686,0.58429,0.63091
2003,Tenant,East,No,0.39240,554,1686,0.36909,0.41571
2005,Owner,West,Yes,0.89460,3970,4264,0.88538,0.90382
2005,Owner,West,No,0.10540,294,4264,0.09618,0.11462
2005,Owner,East,Yes,0.89214,1026,1103,0.87382,0.91045
2005,Owner,East,No,0.10786,77,1103,0.08955,0.12618
2005,Tenant,West,Yes,0.66717,3062,4211,0.65293,0.68140
2005,Tenant,West,No,0.33283,1149,4211,0.31860,0.34707
2005,Tenant,East,Yes,0.61780,1050,1576,0.59380,0.64179
2005,Tenant,East,No,0.38220,526,1576,0.35821,0.40620
2007,Owner,West,Yes,0.91160,4203,4459,0.90327,0.91994
2007,Owner,West,No,0.08840,256,4459,0.08006,0.09673
2007,Owner,East,Yes,0.88862,1058,1138,0.87033,0.90691
2007,Owner,East,No,0.11138,80,1138,0.09309,0.12967
2007,Tenant,West,Yes,0.65605,3019,4195,0.64167,0.67043
2007,Tenant,West,No,0.34395,1176,4195,0.32957,0.35833
2007,Tenant,East,Yes,0.62156,1089,1611,0.59787,0.64525
2007,Tenant,East,No,0.37844,522,1611,0.35475,0.40213
2011,Owner,West,Yes,0.91734,4499,4770,0.90952,0.92515
2011,Owner,West,No,0.08266,271,4770,0.07485,0.09048
2011,Owner,East,Yes,0.90412,1081,1159,0.88717,0.92108
2011,Owner,East,No,0.09588,78,1159,0.07892,0.11283
2011,Tenant,West,Yes,0.65359,3105,4398,0.63953,0.66766
2011,Tenant,West,No,0.34641,1293,4398,0.33234,0.36047
2011,Tenant,East,Yes,0.59453,1104,1725,0.57135,0.61770
2011,Tenant,East,No,0.40547,621,1725,0.38230,0.42865
2013,Owner,West,Yes,0.91452,4693,4984,0.90676,0.92228
2013,Owner,West,No,0.08548,291,4984,0.07772,0.09324
2013,Owner,East,Yes,0.90657,1031,1109,0.88944,0.92371
2013,Owner,East,No,0.09343,78,1109,0.07629,0.11056
2013,Tenant,West,Yes,0.65307,4235,6060,0.64108,0.66505
2013,Tenant,West,No,0.34693,1825,6060,0.33495,0.35892
2013,Tenant,East,Yes,0.58980,1140,1778,0.56693,0.61267
2013,Tenant,East,No,0.41020,638,1778,0.38733,0.43307
2016,Owner,West,Yes,0.92096,4885,5140,0.91359,0.92834
2016,Owner,West,No,0.07904,255,5140,0.07166,0.08641
2016,Owner,East,Yes,0.89487,1072,1156,0.87718,0.91256
2016,Owner,East,No,0.10513,84,1156,0.08744,0.12282
2016,Tenant,West,Yes,0.66459,4347,6070,0.65271,0.67647
2016,Tenant,West,No,0.33541,1723,6070,0.32353,0.34729
2016,Tenant,East,Yes,0.57643,1255,1914,0.55429,0.59857
2016,Tenant,East,No,0.42357,659,1914,0.40143,0.44571
2017,Owner,West,Yes,0.91927,5479,5746,0.91223,0.92632
2017,Owner,West,No,0.08073,267,5746,0.07368,0.08777
2017,Owner,East,Yes,0.92167,1244,1312,0.90713,0.93622
2017,Owner,East,No,0.07833,68,1312,0.06378,0.09287
2017,Tenant,West,Yes,0.65766,5095,8001,0.64726,0.66806
2017,Tenant,West,No,0.34234,2906,8001,0.33194,0.35274
