year,bula_h,hlf0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Schleswig-Holstein,Yes,0.74589,284,362,0.70098,0.79080
2001,Schleswig-Holstein,No,0.25411,78,362,0.20920,0.29902
2001,Hamburg,Yes,0.55877,112,178,0.48561,0.63192
2001,Hamburg,No,0.44123,66,178,0.36808,0.51439
2001,Lower Saxony,Yes,0.83212,835,956,0.80842,0.85583
2001,Lower Saxony,No,0.16788,121,956,0.14417,0.19158
2001,Bremen,Yes,0.55960,63,98,0.46080,0.65839
2001,Bremen,No,0.44040,35,98,0.34161,0.53920
2001,North Rhine-Westphalia,Yes,0.75477,2005,2474,0.73782,0.77173
2001,North Rhine-Westphalia,No,0.24523,469,2474,0.22827,0.26218
2001,Hesse,Yes,0.78343,641,777,0.75444,0.81241
2001,Hesse,No,0.21657,136,777,0.18759,0.24556
2001,"Rhineland-Palatinate, Saarland",Yes,0.81248,609,719,0.78393,0.84103
2001,"Rhineland-Palatinate, Saarland",No,0.18752,110,719,0.15897,0.21607
2001,Baden-Wuerttemberg,Yes,0.80945,1148,1360,0.78857,0.83033
2001,Baden-Wuerttemberg,No,0.19055,212,1360,0.16967,0.21143
2001,Bavaria,Yes,0.79860,1366,1611,0.77901,0.81819
2001,Bavaria,No,0.20140,245,1611,0.18181,0.22099
2001,Berlin,Yes,0.59797,306,477,0.55393,0.64202
2001,Berlin,No,0.40203,171,477,0.35798,0.44607
2001,Brandenburg,Yes,0.73877,393,493,0.69995,0.77759
2001,Brandenburg,No,0.26123,100,493,0.22241,0.30005
2001,Mecklenburg-Western Pomerania,Yes,0.67727,210,282,0.62260,0.73193
2001,Mecklenburg-Western Pomerania,No,0.32273,72,282,0.26807,0.37740
2001,Saxony,Yes,0.72403,671,847,0.69391,0.75415
2001,Saxony,No,0.27597,176,847,0.24585,0.30609
2001,Saxony-Anhalt,Yes,0.65881,375,501,0.61725,0.70037
2001,Saxony-Anhalt,No,0.34119,126,501,0.29963,0.38275
2001,Thuringa,Yes,0.65223,375,493,0.61015,0.69432
2001,Thuringa,No,0.34777,118,493,0.30568,0.38985
2003,Schleswig-Holstein,Yes,0.72138,286,369,0.67557,0.76719
2003,Schleswig-Holstein,No,0.27862,83,369,0.23281,0.32443
2003,Hamburg,Yes,0.55859,126,182,0.48625,0.63094
2003,Hamburg,No,0.44141,56,182,0.36906,0.51375
2003,Lower Saxony,Yes,0.83703,862,980,0.81390,0.86017
2003,Lower Saxony,No,0.16297,118,980,0.13983,0.18610
2003,Bremen,Yes,0.59953,70,101,0.50349,0.69556
2003,Bremen,No,0.40047,31,101,0.30444,0.49651
2003,North Rhine-Westphalia,Yes,0.76234,2061,2494,0.74563,0.77905
2003,North Rhine-Westphalia,No,0.23766,433,2494,0.22095,0.25437
2003,Hesse,Yes,0.76922,677,804,0.74008,0.79836
2003,Hesse,No,0.23078,127,804,0.20164,0.25992
2003,"Rhineland-Palatinate, Saarland",Yes,0.79969,607,720,0.77044,0.82895
2003,"Rhineland-Palatinate, Saarland",No,0.20031,113,720,0.17105,0.22956
2003,Baden-Wuerttemberg,Yes,0.81302,1203,1400,0.79259,0.83346
2003,Baden-Wuerttemberg,No,0.18698,197,1400,0.16654,0.20741
2003,Bavaria,Yes,0.78553,1411,1646,0.76570,0.80537
2003,Bavaria,No,0.21447,235,1646,0.19463,0.23430
2003,Berlin,Yes,0.55448,303,492,0.51052,0.59844
2003,Berlin,No,0.44552,189,492,0.40156,0.48948
2003,Brandenburg,Yes,0.74496,396,496,0.70656,0.78336
2003,Brandenburg,No,0.25504,100,496,0.21664,0.29344
2003,Mecklenburg-Western Pomerania,Yes,0.72002,216,273,0.66666,0.77338
2003,Mecklenburg-Western Pomerania,No,0.27998,57,273,0.22662,0.33334
2003,Saxony,Yes,0.72098,659,834,0.69052,0.75144
2003,Saxony,No,0.27902,175,834,0.24856,0.30948
2003,Saxony-Anhalt,Yes,0.68145,375,491,0.64020,0.72270
2003,Saxony-Anhalt,No,0.31855,116,491,0.27730,0.35980
2003,Thuringa,Yes,0.66163,371,480,0.61926,0.70401
2003,Thuringa,No,0.33837,109,480,0.29599,0.38074
2005,Schleswig-Holstein,Yes,0.74292,282,357,0.69752,0.78831
2005,Schleswig-Holstein,No,0.25708,75,357,0.21169,0.30248
2005,Hamburg,Yes,0.55388,116,174,0.47981,0.62796
2005,Hamburg,No,0.44612,58,174,0.37204,0.52019
2005,Lower Saxony,Yes,0.82351,819,941,0.79914,0.84788
2005,Lower Saxony,No,0.17649,122,941,0.15212,0.20086
2005,Bremen,Yes,0.59753,55,55,0.46673,0.72833
2005,North Rhine-Westphalia,Yes,0.76272,1943,2355,0.74554,0.77991
2005,North Rhine-Westphalia,No,0.23728,412,2355,0.22009,0.25446
2005,Hesse,Yes,0.77152,639,763,0.74171,0.80133
2005,Hesse,No,0.22848,124,763,0.19867,0.25829
2005,"Rhineland-Palatinate, Saarland",Yes,0.78472,561,676,0.75371,0.81572
2005,"Rhineland-Palatinate, Saarland",No,0.21528,115,676,0.18428,0.24629
2005,Baden-Wuerttemberg,Yes,0.80213,1126,1318,0.78062,0.82365
2005,Baden-Wuerttemberg,No,0.19787,192,1318,0.17635,0.21938
2005,Bavaria,Yes,0.79876,1341,1547,0.77878,0.81875
2005,Bavaria,No,0.20124,206,1547,0.18125,0.22122
2005,Berlin,Yes,0.53201,272,458,0.48626,0.57775
2005,Berlin,No,0.46799,186,458,0.42225,0.51374
2005,Brandenburg,Yes,0.77438,381,471,0.73659,0.81217
2005,Brandenburg,No,0.22562,90,471,0.18783,0.26341
2005,Mecklenburg-Western Pomerania,Yes,0.70724,207,273,0.65317,0.76132
2005,Mecklenburg-Western Pomerania,No,0.29276,66,273,0.23868,0.34683
2005,Saxony,Yes,0.71657,637,806,0.68543,0.74770
2005,Saxony,No,0.28343,169,806,0.25230,0.31457
