year,rentown,hlf0180,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2001,Owner,Yes,0.88653,4809,11628,0.88638,0.88669
2001,Owner,No,0.11347,444,11628,0.11331,0.11362
2001,Tenant,Yes,0.66173,4584,11628,0.66154,0.66193
2001,Tenant,No,0.33827,1791,11628,0.33807,0.33846
2003,Owner,Yes,0.89103,5247,11762,0.89088,0.89118
2003,Owner,No,0.10897,396,11762,0.10882,0.10912
2003,Tenant,Yes,0.65585,4376,11762,0.65566,0.65605
2003,Tenant,No,0.34415,1743,11762,0.34395,0.34434
2005,Owner,Yes,0.89426,4996,11154,0.89411,0.89441
2005,Owner,No,0.10574,371,11154,0.10559,0.10589
2005,Tenant,Yes,0.65643,4112,11154,0.65624,0.65663
2005,Tenant,No,0.34357,1675,11154,0.34337,0.34376
2007,Owner,Yes,0.90825,5261,11403,0.90812,0.90839
2007,Owner,No,0.09175,336,11403,0.09161,0.09188
2007,Tenant,Yes,0.64847,4108,11403,0.64828,0.64867
2007,Tenant,No,0.35153,1698,11403,0.35133,0.35172
2011,Owner,Yes,0.91552,5580,12052,0.91539,0.91565
2011,Owner,No,0.08448,349,12052,0.08435,0.08461
2011,Tenant,Yes,0.64040,4209,12052,0.64018,0.64061
2011,Tenant,No,0.35960,1914,12052,0.35939,0.35982
2013,Owner,Yes,0.91326,5724,13931,0.91313,0.91339
2013,Owner,No,0.08674,369,13931,0.08661,0.08687
2013,Tenant,Yes,0.63909,5375,13931,0.63888,0.63930
2013,Tenant,No,0.36091,2463,13931,0.36070,0.36112
2016,Owner,Yes,0.91708,5957,14280,0.91695,0.91720
2016,Owner,No,0.08292,339,14280,0.08280,0.08305
2016,Tenant,Yes,0.64547,5602,14280,0.64527,0.64567
2016,Tenant,No,0.35453,2382,14280,0.35433,0.35473
2017,Owner,Yes,0.91959,6723,17462,0.91947,0.91971
2017,Owner,No,0.08041,335,17462,0.08029,0.08053
2017,Tenant,Yes,0.64150,6530,17462,0.64130,0.64170
2017,Tenant,No,0.35850,3874,17462,0.35830,0.35870
2018,Owner,Yes,0.92483,6449,17858,0.92471,0.92495
2018,Owner,No,0.07517,304,17858,0.07505,0.07529
2018,Tenant,Yes,0.64554,6823,17858,0.64534,0.64574
2018,Tenant,No,0.35446,4282,17858,0.35426,0.35466
2019,Owner,Yes,0.92351,7526,16134,0.92339,0.92363
2019,Owner,No,0.07649,350,16134,0.07637,0.07661
2019,Tenant,Yes,0.65848,5852,16134,0.65828,0.65868
2019,Tenant,No,0.34152,2406,16134,0.34132,0.34172
2021,Owner,Yes,0.92864,4865,12557,0.92852,0.92875
2021,Owner,No,0.07136,232,12557,0.07125,0.07148
2021,Tenant,Yes,0.67670,5027,12557,0.67651,0.67690
2021,Tenant,No,0.32330,2433,12557,0.32310,0.32349
