year,bula_h,regtyp,hlf0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Schleswig-Holstein,Urban regions,Yes,0.71289,118,157,0.64190,0.78389
2001,Schleswig-Holstein,Urban regions,No,0.28711,39,157,0.21611,0.35810
2001,Schleswig-Holstein,Rural regions,Yes,0.76935,166,205,0.71154,0.82716
2001,Schleswig-Holstein,Rural regions,No,0.23065,39,205,0.17284,0.28846
2001,Hamburg,Urban regions,Yes,0.55877,112,178,0.48561,0.63192
2001,Hamburg,Urban regions,No,0.44123,66,178,0.36808,0.51439
2001,Lower Saxony,Urban regions,Yes,0.80226,401,479,0.76656,0.83797
2001,Lower Saxony,Urban regions,No,0.19774,78,479,0.16203,0.23344
2001,Lower Saxony,Rural regions,Yes,0.86450,434,477,0.83376,0.89525
2001,Lower Saxony,Rural regions,No,0.13550,43,477,0.10475,0.16624
2001,Bremen,Urban regions,Yes,0.55960,63,98,0.46080,0.65839
2001,Bremen,Urban regions,No,0.44040,35,98,0.34161,0.53920
2001,North Rhine-Westphalia,Urban regions,Yes,0.75494,1956,2414,0.73778,0.77210
2001,North Rhine-Westphalia,Urban regions,No,0.24506,458,2414,0.22790,0.26222
2001,North Rhine-Westphalia,Rural regions,Yes,0.74833,49,49,0.62556,0.87110
2001,Hesse,Urban regions,Yes,0.76787,507,628,0.73482,0.80091
2001,Hesse,Urban regions,No,0.23213,121,628,0.19909,0.26518
2001,Hesse,Rural regions,Yes,0.85608,134,134,0.79642,0.91573
2001,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.79992,459,549,0.76642,0.83342
2001,"Rhineland-Palatinate, Saarland",Urban regions,No,0.20008,90,549,0.16658,0.23358
2001,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.85408,150,150,0.79739,0.91076
2001,Baden-Wuerttemberg,Urban regions,Yes,0.80902,1035,1226,0.78700,0.83103
2001,Baden-Wuerttemberg,Urban regions,No,0.19098,191,1226,0.16897,0.21300
2001,Baden-Wuerttemberg,Rural regions,Yes,0.81311,113,113,0.74092,0.88531
2001,Bavaria,Urban regions,Yes,0.79658,675,802,0.76870,0.82446
2001,Bavaria,Urban regions,No,0.20342,127,802,0.17554,0.23130
2001,Bavaria,Rural regions,Yes,0.80082,691,809,0.77328,0.82836
2001,Bavaria,Rural regions,No,0.19918,118,809,0.17164,0.22672
2001,Berlin,Urban regions,Yes,0.59797,306,477,0.55393,0.64202
2001,Berlin,Urban regions,No,0.40203,171,477,0.35798,0.44607
2001,Brandenburg,Rural regions,Yes,0.74077,365,456,0.70051,0.78104
2001,Brandenburg,Rural regions,No,0.25923,91,456,0.21896,0.29949
2001,Mecklenburg-Western Pomerania,Rural regions,Yes,0.70145,187,242,0.64368,0.75923
2001,Mecklenburg-Western Pomerania,Rural regions,No,0.29855,55,242,0.24077,0.35632
2001,Saxony,Urban regions,Yes,0.72620,331,419,0.68346,0.76895
2001,Saxony,Urban regions,No,0.27380,88,419,0.23105,0.31654
2001,Saxony,Rural regions,Yes,0.72204,340,428,0.67955,0.76453
2001,Saxony,Rural regions,No,0.27796,88,428,0.23547,0.32045
2001,Saxony-Anhalt,Urban regions,Yes,0.66167,74,74,0.55313,0.77021
2001,Saxony-Anhalt,Rural regions,Yes,0.65806,301,399,0.61146,0.70466
2001,Saxony-Anhalt,Rural regions,No,0.34194,98,399,0.29534,0.38854
2001,Thuringa,Urban regions,Yes,0.67289,109,143,0.59573,0.75006
2001,Thuringa,Urban regions,No,0.32711,34,143,0.24994,0.40427
2001,Thuringa,Rural regions,Yes,0.64411,266,350,0.59387,0.69434
2001,Thuringa,Rural regions,No,0.35589,84,350,0.30566,0.40613
2003,Schleswig-Holstein,Urban regions,Yes,0.65698,117,162,0.58365,0.73031
2003,Schleswig-Holstein,Urban regions,No,0.34302,45,162,0.26969,0.41635
2003,Schleswig-Holstein,Rural regions,Yes,0.77036,169,207,0.71292,0.82780
2003,Schleswig-Holstein,Rural regions,No,0.22964,38,207,0.17220,0.28708
2003,Hamburg,Urban regions,Yes,0.55859,126,182,0.48625,0.63094
2003,Hamburg,Urban regions,No,0.44141,56,182,0.36906,0.51375
2003,Lower Saxony,Urban regions,Yes,0.81320,411,482,0.77836,0.84803
2003,Lower Saxony,Urban regions,No,0.18680,71,482,0.15197,0.22164
2003,Lower Saxony,Rural regions,Yes,0.86109,451,498,0.83069,0.89150
2003,Lower Saxony,Rural regions,No,0.13891,47,498,0.10850,0.16931
2003,Bremen,Urban regions,Yes,0.59953,70,101,0.50349,0.69556
2003,Bremen,Urban regions,No,0.40047,31,101,0.30444,0.49651
2003,North Rhine-Westphalia,Urban regions,Yes,0.76176,2012,2438,0.74485,0.77868
2003,North Rhine-Westphalia,Urban regions,No,0.23824,426,2438,0.22132,0.25515
2003,North Rhine-Westphalia,Rural regions,Yes,0.78236,49,49,0.66563,0.89910
2003,Hesse,Urban regions,Yes,0.75399,556,668,0.72131,0.78668
2003,Hesse,Urban regions,No,0.24601,112,668,0.21332,0.27869
2003,Hesse,Rural regions,Yes,0.84001,121,121,0.77442,0.90561
2003,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.78681,460,555,0.75271,0.82092
2003,"Rhineland-Palatinate, Saarland",Urban regions,No,0.21319,95,555,0.17908,0.24729
2003,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.84447,147,147,0.78568,0.90326
2003,Baden-Wuerttemberg,Urban regions,Yes,0.81465,1104,1279,0.79334,0.83595
2003,Baden-Wuerttemberg,Urban regions,No,0.18535,175,1279,0.16405,0.20666
2003,Baden-Wuerttemberg,Rural regions,Yes,0.79840,99,99,0.71897,0.87783
2003,Bavaria,Urban regions,Yes,0.77893,728,858,0.75115,0.80671
2003,Bavaria,Urban regions,No,0.22107,130,858,0.19329,0.24885
2003,Bavaria,Rural regions,Yes,0.79328,683,788,0.76499,0.82158
2003,Bavaria,Rural regions,No,0.20672,105,788,0.17842,0.23501
2003,Berlin,Urban regions,Yes,0.55448,303,492,0.51052,0.59844
2003,Berlin,Urban regions,No,0.44552,189,492,0.40156,0.48948
2003,Brandenburg,Rural regions,Yes,0.74874,368,460,0.70906,0.78842
2003,Brandenburg,Rural regions,No,0.25126,92,460,0.21158,0.29094
2003,Mecklenburg-Western Pomerania,Rural regions,Yes,0.76095,194,234,0.70618,0.81571
2003,Mecklenburg-Western Pomerania,Rural regions,No,0.23905,40,234,0.18429,0.29382
2003,Saxony,Urban regions,Yes,0.71032,328,420,0.66689,0.75376
2003,Saxony,Urban regions,No,0.28968,92,420,0.24624,0.33311
2003,Saxony,Rural regions,Yes,0.73097,331,414,0.68820,0.77373
2003,Saxony,Rural regions,No,0.26903,83,414,0.22627,0.31180
2003,Saxony-Anhalt,Urban regions,Yes,0.61938,74,74,0.50800,0.73076
2003,Saxony-Anhalt,Rural regions,Yes,0.69736,301,387,0.65153,0.74319
2003,Saxony-Anhalt,Rural regions,No,0.30264,86,387,0.25681,0.34847
2003,Thuringa,Urban regions,Yes,0.65954,109,143,0.58159,0.73748
2003,Thuringa,Urban regions,No,0.34046,34,143,0.26252,0.41841
2003,Thuringa,Rural regions,Yes,0.66246,262,337,0.61189,0.71302
2003,Thuringa,Rural regions,No,0.33754,75,337,0.28698,0.38811
2005,Schleswig-Holstein,Urban regions,Yes,0.67103,114,153,0.59634,0.74572
2005,Schleswig-Holstein,Urban regions,No,0.32897,39,153,0.25428,0.40366
2005,Schleswig-Holstein,Rural regions,Yes,0.79264,168,204,0.73687,0.84841
2005,Schleswig-Holstein,Rural regions,No,0.20736,36,204,0.15159,0.26313
2005,Hamburg,Urban regions,Yes,0.55388,116,174,0.47981,0.62796
2005,Hamburg,Urban regions,No,0.44612,58,174,0.37204,0.52019
2005,Lower Saxony,Urban regions,Yes,0.78788,390,463,0.75060,0.82515
2005,Lower Saxony,Urban regions,No,0.21212,73,463,0.17485,0.24940
2005,Lower Saxony,Rural regions,Yes,0.85829,429,478,0.82700,0.88959
2005,Lower Saxony,Rural regions,No,0.14171,49,478,0.11041,0.17300
2005,Bremen,Urban regions,Yes,0.59753,55,55,0.46673,0.72833
2005,North Rhine-Westphalia,Urban regions,Yes,0.76152,1897,2302,0.74410,0.77893
2005,North Rhine-Westphalia,Urban regions,No,0.23848,405,2302,0.22107,0.25590
2005,North Rhine-Westphalia,Rural regions,Yes,0.80986,46,46,0.69521,0.92452
2005,Hesse,Urban regions,Yes,0.75854,525,631,0.72512,0.79196
2005,Hesse,Urban regions,No,0.24146,106,631,0.20804,0.27488
2005,Hesse,Rural regions,Yes,0.82871,114,114,0.75925,0.89818
2005,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.77034,424,520,0.73415,0.80652
2005,"Rhineland-Palatinate, Saarland",Urban regions,No,0.22966,96,520,0.19348,0.26585
2005,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.83573,137,137,0.77345,0.89800
