,Unnamed: 0,year,quintil_oecd_hh,hlf0180,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,1st Quintile,Yes,0.48106,1206,11627,0.46157,0.49821
1,1,2001,1st Quintile,No,0.51894,989,11627,0.50063,0.53606
2,2,2001,2nd Quintile,Yes,0.6971,1888,11627,0.67613,0.71619
3,3,2001,2nd Quintile,No,0.3029,563,11627,0.28904,0.31654
4,4,2001,3rd Quintile,Yes,0.80046,2100,11627,0.78062,0.82341
5,5,2001,3rd Quintile,No,0.19954,353,11627,0.19085,0.20911
6,6,2001,4th Quintile,Yes,0.87282,2142,11627,0.84756,0.89922
7,7,2001,4th Quintile,No,0.12718,216,11627,0.11872,0.13628
8,8,2001,5th Quintile,Yes,0.93062,2057,11627,0.90522,0.95013
9,9,2001,5th Quintile,No,0.06938,113,11627,0.06377,0.07628
10,10,2003,1st Quintile,Yes,0.47008,1050,11758,0.44825,0.49451
11,11,2003,1st Quintile,No,0.52992,949,11758,0.50808,0.55027
12,12,2003,2nd Quintile,Yes,0.70643,1701,11758,0.68565,0.73072
13,13,2003,2nd Quintile,No,0.29357,508,11758,0.27861,0.30652
14,14,2003,3rd Quintile,Yes,0.80903,1936,11758,0.78588,0.83224
15,15,2003,3rd Quintile,No,0.19097,325,11758,0.17913,0.20226
16,16,2003,4th Quintile,Yes,0.86668,2040,11758,0.84209,0.8942
17,17,2003,4th Quintile,No,0.13332,225,11758,0.12427,0.14178
18,18,2003,5th Quintile,Yes,0.92281,2895,11758,0.88783,0.95939
19,19,2003,5th Quintile,No,0.07719,129,11758,0.06959,0.08658
20,20,2005,1st Quintile,Yes,0.46836,1011,11152,0.44621,0.48646
21,21,2005,1st Quintile,No,0.53164,929,11152,0.50552,0.55581
22,22,2005,2nd Quintile,Yes,0.70954,1608,11152,0.68595,0.7363
23,23,2005,2nd Quintile,No,0.29046,476,11152,0.27545,0.3077
24,24,2005,3rd Quintile,Yes,0.8042,1759,11152,0.77939,0.83457
25,25,2005,3rd Quintile,No,0.1958,323,11152,0.18293,0.20737
26,26,2005,4th Quintile,Yes,0.87102,2017,11152,0.83892,0.89765
27,27,2005,4th Quintile,No,0.12898,198,11152,0.11956,0.13855
28,28,2005,5th Quintile,Yes,0.92537,2713,11152,0.89314,0.96043
29,29,2005,5th Quintile,No,0.07463,118,11152,0.06599,0.08249
30,30,2007,1st Quintile,Yes,0.47659,1014,11399,0.45573,0.49782
31,31,2007,1st Quintile,No,0.52341,905,11399,0.50187,0.54701
32,32,2007,2nd Quintile,Yes,0.68883,1600,11399,0.66387,0.71397
33,33,2007,2nd Quintile,No,0.31117,532,11399,0.29461,0.32681
34,34,2007,3rd Quintile,Yes,0.8191,1901,11399,0.79281,0.84406
35,35,2007,3rd Quintile,No,0.1809,297,11399,0.17091,0.19293
36,36,2007,4th Quintile,Yes,0.8801,2132,11399,0.85244,0.90864
37,37,2007,4th Quintile,No,0.1199,185,11399,0.10918,0.13095
38,38,2007,5th Quintile,Yes,0.92824,2719,11399,0.89677,0.96187
39,39,2007,5th Quintile,No,0.07176,114,11399,0.06446,0.07763
40,40,2011,1st Quintile,Yes,0.44181,1133,12049,0.42078,0.46401
41,41,2011,1st Quintile,No,0.55819,1093,12049,0.53256,0.59146
42,42,2011,2nd Quintile,Yes,0.70097,1708,12049,0.67125,0.73215
43,43,2011,2nd Quintile,No,0.29903,551,12049,0.28309,0.31702
44,44,2011,3rd Quintile,Yes,0.83907,2059,12049,0.80992,0.87059
45,45,2011,3rd Quintile,No,0.16093,313,12049,0.14896,0.17302
46,46,2011,4th Quintile,Yes,0.89975,2236,12049,0.87082,0.93373
47,47,2011,4th Quintile,No,0.10025,174,12049,0.08995,0.11133
48,48,2011,5th Quintile,Yes,0.92725,2653,12049,0.89696,0.96282
49,49,2011,5th Quintile,No,0.07275,129,12049,0.06406,0.08104
50,50,2013,1st Quintile,Yes,0.471,1644,13924,0.44365,0.49551
51,51,2013,1st Quintile,No,0.529,1383,13924,0.50321,0.55221
52,52,2013,2nd Quintile,Yes,0.6788,2077,13924,0.64745,0.71158
53,53,2013,2nd Quintile,No,0.3212,718,13924,0.29874,0.34221
54,54,2013,3rd Quintile,Yes,0.84494,2303,13924,0.81751,0.87895
55,55,2013,3rd Quintile,No,0.15506,330,13924,0.14196,0.16997
56,56,2013,4th Quintile,Yes,0.87901,2352,13924,0.84318,0.90586
57,57,2013,4th Quintile,No,0.12099,249,13924,0.1101,0.1318
58,58,2013,5th Quintile,Yes,0.93053,2722,13924,0.88966,0.96932
