year,quintil_oecd_hh,rentown,hlf0180,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2001,1st Quintile,Owner,Yes,0.70259,313,11627,0.70180,0.70339
2001,1st Quintile,Owner,No,0.29741,86,11627,0.29661,0.29820
2001,1st Quintile,Tenant,Yes,0.43646,893,11627,0.43607,0.43685
2001,1st Quintile,Tenant,No,0.56354,903,11627,0.56315,0.56393
2001,2nd Quintile,Owner,Yes,0.81707,769,11627,0.81660,0.81755
2001,2nd Quintile,Owner,No,0.18293,126,11627,0.18245,0.18340
2001,2nd Quintile,Tenant,Yes,0.63571,1119,11627,0.63529,0.63613
2001,2nd Quintile,Tenant,No,0.36429,437,11627,0.36387,0.36471
2001,3rd Quintile,Owner,Yes,0.89447,1092,11627,0.89414,0.89479
2001,3rd Quintile,Owner,No,0.10553,88,11627,0.10521,0.10586
2001,3rd Quintile,Tenant,Yes,0.72615,1008,11627,0.72573,0.72658
2001,3rd Quintile,Tenant,No,0.27385,265,11627,0.27342,0.27427
2001,4th Quintile,Owner,Yes,0.90965,1233,11627,0.90937,0.90993
2001,4th Quintile,Owner,No,0.09035,86,11627,0.09007,0.09063
2001,4th Quintile,Tenant,Yes,0.83288,909,11627,0.83250,0.83327
2001,4th Quintile,Tenant,No,0.16712,130,11627,0.16673,0.16750
2001,5th Quintile,Owner,Yes,0.94653,1402,11627,0.94633,0.94673
2001,5th Quintile,Owner,No,0.05347,58,11627,0.05327,0.05367
2001,5th Quintile,Tenant,Yes,0.90202,655,11627,0.90167,0.90237
2001,5th Quintile,Tenant,No,0.09798,55,11627,0.09763,0.09833
2003,1st Quintile,Owner,Yes,0.69565,279,11758,0.69488,0.69641
2003,1st Quintile,Owner,No,0.30435,82,11758,0.30359,0.30512
2003,1st Quintile,Tenant,Yes,0.42097,771,11758,0.42059,0.42136
2003,1st Quintile,Tenant,No,0.57903,867,11758,0.57864,0.57941
2003,2nd Quintile,Owner,Yes,0.84095,704,11758,0.84051,0.84138
2003,2nd Quintile,Owner,No,0.15905,96,11758,0.15862,0.15949
2003,2nd Quintile,Tenant,Yes,0.63527,997,11758,0.63485,0.63569
2003,2nd Quintile,Tenant,No,0.36473,412,11758,0.36431,0.36515
2003,3rd Quintile,Owner,Yes,0.90562,988,11758,0.90531,0.90592
2003,3rd Quintile,Owner,No,0.09438,76,11758,0.09408,0.09469
2003,3rd Quintile,Tenant,Yes,0.73090,948,11758,0.73048,0.73132
2003,3rd Quintile,Tenant,No,0.26910,249,11758,0.26868,0.26952
2003,4th Quintile,Owner,Yes,0.91067,1197,11758,0.91039,0.91096
2003,4th Quintile,Owner,No,0.08933,79,11758,0.08904,0.08961
2003,4th Quintile,Tenant,Yes,0.82142,843,11758,0.82104,0.82181
2003,4th Quintile,Tenant,No,0.17858,146,11758,0.17819,0.17896
2003,5th Quintile,Owner,Yes,0.94653,2079,11758,0.94633,0.94673
2003,5th Quintile,Owner,No,0.05347,63,11758,0.05327,0.05367
