,Unnamed: 0,year,sampreg,hlf0180,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,West,Yes,0.77238,7235,11628,0.76084,0.78319
1,1,2001,West,No,0.22762,1570,11628,0.22176,0.23287
2,2,2001,East,Yes,0.68794,2158,11628,0.67121,0.70706
3,3,2001,East,No,0.31206,665,11628,0.30194,0.32253
4,4,2003,West,Yes,0.76935,7473,11762,0.75545,0.78336
5,5,2003,West,No,0.23065,1500,11762,0.22416,0.23725
6,6,2003,East,Yes,0.69461,2150,11762,0.67586,0.71372
7,7,2003,East,No,0.30539,639,11762,0.29374,0.31977
8,8,2005,West,Yes,0.76719,7032,11155,0.75646,0.78264
9,9,2005,West,No,0.23281,1443,11155,0.22544,0.23798
10,10,2005,East,Yes,0.70697,2077,11155,0.68474,0.73182
11,11,2005,East,No,0.29303,603,11155,0.2785,0.30484
12,12,2007,West,Yes,0.77031,7222,11403,0.75513,0.78396
13,13,2007,West,No,0.22969,1432,11403,0.22207,0.2361
14,14,2007,East,Yes,0.70973,2147,11403,0.68263,0.73309
15,15,2007,East,No,0.29027,602,11403,0.27799,0.30277
16,16,2011,West,Yes,0.78239,7604,12052,0.76832,0.79746
17,17,2011,West,No,0.21761,1564,12052,0.20971,0.22447
18,18,2011,East,Yes,0.70415,2185,12052,0.67722,0.73227
19,19,2011,East,No,0.29585,699,12052,0.279,0.31144
20,20,2013,West,Yes,0.77756,8928,13931,0.76226,0.7935
21,21,2013,West,No,0.22244,2116,13931,0.21416,0.2313
22,22,2013,East,Yes,0.70607,2171,13931,0.6742,0.73673
23,23,2013,East,No,0.29393,716,13931,0.27888,0.31256
24,24,2016,West,Yes,0.78845,9233,14281,0.77218,0.80432
25,25,2016,West,No,0.21155,1978,14281,0.20301,0.22055
26,26,2016,East,Yes,0.69176,2327,14281,0.66307,0.72609
27,27,2016,East,No,0.30824,743,14281,0.28712,0.32844
28,28,2017,West,Yes,0.7844,10574,17462,0.76638,0.80113
29,29,2017,West,No,0.2156,3173,17462,0.20486,0.22662
30,30,2017,East,Yes,0.70443,2679,17462,0.66902,0.73207
31,31,2017,East,No,0.29557,1036,17462,0.27081,0.31766
32,32,2018,West,Yes,0.78962,10590,17858,0.77286,0.80543
33,33,2018,West,No,0.21038,3491,17858,0.1997,0.22114
34,34,2018,East,Yes,0.7086,2682,17858,0.67944,0.74129
35,35,2018,East,No,0.2914,1095,17858,0.26786,0.3139
36,36,2019,West,Yes,0.79907,10534,16071,0.78005,0.8166
37,37,2019,West,No,0.20093,1947,16071,0.19194,0.21153
38,38,2019,East,Yes,0.709,2819,16071,0.68023,0.74509
39,39,2019,East,No,0.291,771,16071,0.26846,0.31805
40,40,2021,West,Yes,0.81011,7916,12560,0.78341,0.83662
41,41,2021,West,No,0.18989,2057,12560,0.17783,0.20301
42,42,2021,East,Yes,0.73263,1979,12560,0.69662,0.77247
43,43,2021,East,No,0.26737,608,12560,0.24277,0.29537
