year,migback,sampreg,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,West,Yes,0.71658,6139,8669,0.70710,0.72607
1984,No migration background,West,No,0.28342,2530,8669,0.27393,0.29290
1984,Direct migration background,West,Yes,0.65612,2067,3369,0.64008,0.67216
1984,Direct migration background,West,No,0.34388,1302,3369,0.32784,0.35992
1984,Indirect migration background,West,Yes,0.67390,72,126,0.59172,0.75608
1984,Indirect migration background,West,No,0.32610,54,126,0.24392,0.40828
1985,No migration background,West,Yes,0.72335,5676,7979,0.71353,0.73316
1985,No migration background,West,No,0.27665,2303,7979,0.26684,0.28647
1985,Direct migration background,West,Yes,0.66681,1838,2906,0.64967,0.68395
1985,Direct migration background,West,No,0.33319,1068,2906,0.31605,0.35033
1985,Indirect migration background,West,Yes,0.72908,84,141,0.65546,0.80270
1985,Indirect migration background,West,No,0.27092,57,141,0.19730,0.34454
1986,No migration background,West,Yes,0.73868,5520,7605,0.72880,0.74855
1986,No migration background,West,No,0.26132,2085,7605,0.25145,0.27120
1986,Direct migration background,West,Yes,0.70498,1845,2825,0.68816,0.72181
1986,Direct migration background,West,No,0.29502,980,2825,0.27819,0.31184
1986,Indirect migration background,West,Yes,0.78897,94,153,0.72410,0.85384
1986,Indirect migration background,West,No,0.21103,59,153,0.14616,0.27590
1987,No migration background,West,Yes,0.73686,5381,7466,0.72687,0.74684
1987,No migration background,West,No,0.26314,2085,7466,0.25316,0.27313
1987,Direct migration background,West,Yes,0.68100,1801,2813,0.66377,0.69823
1987,Direct migration background,West,No,0.31900,1012,2813,0.30177,0.33623
1987,Indirect migration background,West,Yes,0.68432,96,173,0.61486,0.75378
1987,Indirect migration background,West,No,0.31568,77,173,0.24622,0.38514
1988,No migration background,West,Yes,0.69026,4749,7062,0.67947,0.70104
1988,No migration background,West,No,0.30974,2313,7062,0.29896,0.32053
1988,Direct migration background,West,Yes,0.65113,1667,2656,0.63300,0.66926
1988,Direct migration background,West,No,0.34887,989,2656,0.33074,0.36700
1988,Indirect migration background,West,Yes,0.60561,117,217,0.54043,0.67079
1988,Indirect migration background,West,No,0.39439,100,217,0.32921,0.45957
1989,No migration background,West,Yes,0.70188,4659,6801,0.69101,0.71276
1989,No migration background,West,No,0.29812,2142,6801,0.28724,0.30899
1989,Direct migration background,West,Yes,0.66794,1641,2572,0.64974,0.68614
1989,Direct migration background,West,No,0.33206,931,2572,0.31386,0.35026
1989,Indirect migration background,West,Yes,0.65131,144,254,0.59259,0.71004
1989,Indirect migration background,West,No,0.34869,110,254,0.28996,0.40741
1991,No migration background,West,Yes,0.72942,4701,6596,0.71870,0.74015
1991,No migration background,West,No,0.27058,1895,6596,0.25985,0.28130
1991,No migration background,East,Yes,0.60756,2337,3982,0.59239,0.62273
1991,No migration background,East,No,0.39244,1645,3982,0.37727,0.40761
1991,Direct migration background,West,Yes,0.66892,1599,2453,0.65030,0.68755
1991,Direct migration background,West,No,0.33108,854,2453,0.31245,0.34970
1991,Direct migration background,East,Yes,0.66813,91,140,0.58985,0.74642
1991,Direct migration background,East,No,0.33187,49,140,0.25358,0.41015
1991,Indirect migration background,West,Yes,0.59539,182,339,0.54307,0.64772
1991,Indirect migration background,West,No,0.40461,157,339,0.35228,0.45693
1992,No migration background,West,Yes,0.71355,4541,6475,0.70254,0.72456
1992,No migration background,West,No,0.28645,1934,6475,0.27544,0.29746
1992,No migration background,East,Yes,0.68555,2515,3790,0.67076,0.70033
1992,No migration background,East,No,0.31445,1275,3790,0.29967,0.32924
1992,Direct migration background,West,Yes,0.65160,1484,2348,0.63233,0.67088
