year,migback,sex,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,male,Yes,0.52442,2585,4116,0.50916,0.53968
1984,No migration background,male,No,0.30454,1531,4116,0.29048,0.31861
1984,No migration background,female,Yes,0.67375,3554,4553,0.66013,0.68737
1984,No migration background,female,No,0.17927,999,4553,0.16813,0.19042
1984,Direct migration background,male,Yes,0.51073,986,1777,0.48748,0.53398
1984,Direct migration background,male,No,0.36575,791,1777,0.34335,0.38816
1984,Direct migration background,female,Yes,0.65988,1081,1592,0.63660,0.68316
1984,Direct migration background,female,No,0.24082,511,1592,0.21981,0.26184
1984,Indirect migration background,male,Yes,0.04940,32,32,-0.02689,0.12568
1984,Indirect migration background,female,Yes,0.10865,40,40,0.01098,0.20631
1985,No migration background,male,Yes,0.54982,2439,3812,0.53403,0.56562
1985,No migration background,male,No,0.29393,1373,3812,0.27946,0.30839
1985,No migration background,female,Yes,0.67887,3237,4167,0.66469,0.69305
1985,No migration background,female,No,0.18469,930,4167,0.17291,0.19648
1985,Direct migration background,male,Yes,0.54965,903,1539,0.52478,0.57451
1985,Direct migration background,male,No,0.35656,636,1539,0.33262,0.38050
1985,Direct migration background,female,Yes,0.66715,935,1367,0.64216,0.69214
1985,Direct migration background,female,No,0.24740,432,1367,0.22452,0.27028
1985,Indirect migration background,male,Yes,0.06739,33,33,-0.01947,0.15425
1985,Indirect migration background,female,Yes,0.14376,51,51,0.04651,0.24101
1986,No migration background,male,Yes,0.55834,2370,3647,0.54222,0.57445
1986,No migration background,male,No,0.28842,1277,3647,0.27371,0.30313
1986,No migration background,female,Yes,0.69553,3150,3958,0.68119,0.70987
1986,No migration background,female,No,0.16458,808,3958,0.15303,0.17613
1986,Direct migration background,male,Yes,0.58465,905,1514,0.55982,0.60948
1986,Direct migration background,male,No,0.32687,609,1514,0.30323,0.35051
1986,Direct migration background,female,Yes,0.71429,940,1311,0.68982,0.73875
1986,Direct migration background,female,No,0.21074,371,1311,0.18866,0.23283
1986,Indirect migration background,male,Yes,0.07894,38,70,0.01531,0.14256
1986,Indirect migration background,male,No,0.03561,32,70,-0.00812,0.07934
1986,Indirect migration background,female,Yes,0.15379,56,56,0.05845,0.24913
1987,No migration background,male,Yes,0.55548,2325,3592,0.53923,0.57174
1987,No migration background,male,No,0.28558,1267,3592,0.27080,0.30035
1987,No migration background,female,Yes,0.69304,3056,3874,0.67851,0.70757
1987,No migration background,female,No,0.16861,818,3874,0.15682,0.18040
1987,Direct migration background,male,Yes,0.58537,876,1500,0.56043,0.61031
1987,Direct migration background,male,No,0.33801,624,1500,0.31406,0.36196
1987,Direct migration background,female,Yes,0.68717,925,1313,0.66208,0.71225
1987,Direct migration background,female,No,0.25338,388,1313,0.22985,0.27692
1987,Indirect migration background,male,Yes,0.06931,39,80,0.01330,0.12532
1987,Indirect migration background,male,No,0.04431,41,80,-0.00107,0.08969
1987,Indirect migration background,female,Yes,0.13001,57,93,0.06129,0.19873
1987,Indirect migration background,female,No,0.04776,36,93,0.00418,0.09134
1988,No migration background,male,Yes,0.52411,2066,3413,0.50735,0.54087
1988,No migration background,male,No,0.31763,1347,3413,0.30200,0.33325
1988,No migration background,female,Yes,0.64297,2683,3649,0.62743,0.65852
1988,No migration background,female,No,0.21323,966,3649,0.19994,0.22652
1988,Direct migration background,male,Yes,0.55058,802,1403,0.52454,0.57662
1988,Direct migration background,male,No,0.37420,601,1403,0.34887,0.39953
1988,Direct migration background,female,Yes,0.66539,865,1253,0.63925,0.69152
1988,Direct migration background,female,No,0.27293,388,1253,0.24825,0.29760
1988,Indirect migration background,male,Yes,0.08027,48,104,0.02780,0.13275
1988,Indirect migration background,male,No,0.06374,56,104,0.01656,0.11091
1988,Indirect migration background,female,Yes,0.12518,69,113,0.06389,0.18646
1988,Indirect migration background,female,No,0.06963,44,113,0.02249,0.11676
1989,No migration background,male,Yes,0.52361,1997,3288,0.50654,0.54069
1989,No migration background,male,No,0.31895,1291,3288,0.30301,0.33488
1989,No migration background,female,Yes,0.66503,2662,3513,0.64942,0.68064
1989,No migration background,female,No,0.19376,851,3513,0.18069,0.20683
1989,Direct migration background,male,Yes,0.54967,754,1341,0.52303,0.57631
1989,Direct migration background,male,No,0.37899,587,1341,0.35301,0.40496
1989,Direct migration background,female,Yes,0.70567,887,1231,0.68020,0.73114
1989,Direct migration background,female,No,0.24193,344,1231,0.21800,0.26587
1989,Indirect migration background,male,Yes,0.10615,64,120,0.05081,0.16149
1989,Indirect migration background,male,No,0.06250,56,120,0.01901,0.10599
1989,Indirect migration background,female,Yes,0.13979,80,134,0.08085,0.19872
1989,Indirect migration background,female,No,0.06909,54,134,0.02599,0.11219
1991,No migration background,male,Yes,0.51348,2996,5077,0.49973,0.52723
1991,No migration background,male,No,0.30703,2081,5077,0.29434,0.31972
1991,No migration background,female,Yes,0.65126,4042,5501,0.63867,0.66386
1991,No migration background,female,No,0.19267,1459,5501,0.18225,0.20309
1991,Direct migration background,male,Yes,0.59454,816,1351,0.56835,0.62073
1991,Direct migration background,male,No,0.36085,535,1351,0.33524,0.38647
1991,Direct migration background,female,Yes,0.68529,874,1242,0.65946,0.71113
1991,Direct migration background,female,No,0.27138,368,1242,0.24664,0.29612
1991,Indirect migration background,male,Yes,0.09567,74,169,0.05119,0.14014
1991,Indirect migration background,male,No,0.09953,95,169,0.05426,0.14480
1991,Indirect migration background,female,Yes,0.15027,108,173,0.09687,0.20368
