year,bula_h,quintil_oecd,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,1st Quintile,Yes,0.58186,46,46,0.43774,0.72598
1984,Schleswig-Holstein,2nd Quintile,Yes,0.54814,55,55,0.41540,0.68088
1984,Schleswig-Holstein,3rd Quintile,Yes,0.60669,46,46,0.46397,0.74942
1984,Schleswig-Holstein,4th Quintile,Yes,0.58053,61,95,0.48077,0.68029
1984,Schleswig-Holstein,4th Quintile,No,0.25056,34,95,0.16296,0.33816
1984,Schleswig-Holstein,5th Quintile,Yes,0.64988,63,63,0.53114,0.76861
1984,Hamburg,2nd Quintile,Yes,0.65814,33,33,0.49379,0.82249
1984,Hamburg,3rd Quintile,Yes,0.76547,44,44,0.63883,0.89211
1984,Hamburg,4th Quintile,Yes,0.61359,47,47,0.47288,0.75431
1984,Hamburg,5th Quintile,Yes,0.73455,55,55,0.61677,0.85232
1984,Lower Saxony,1st Quintile,Yes,0.55545,200,298,0.49893,0.61196
1984,Lower Saxony,1st Quintile,No,0.22354,98,298,0.17616,0.27092
1984,Lower Saxony,2nd Quintile,Yes,0.58384,163,232,0.52028,0.64741
1984,Lower Saxony,2nd Quintile,No,0.22591,69,232,0.17198,0.27984
1984,Lower Saxony,3rd Quintile,Yes,0.58077,159,233,0.51727,0.64426
1984,Lower Saxony,3rd Quintile,No,0.25757,74,233,0.20130,0.31384
1984,Lower Saxony,4th Quintile,Yes,0.59712,174,247,0.53583,0.65841
1984,Lower Saxony,4th Quintile,No,0.25164,73,247,0.19741,0.30587
1984,Lower Saxony,5th Quintile,Yes,0.58010,143,221,0.51488,0.64532
1984,Lower Saxony,5th Quintile,No,0.28951,78,221,0.22958,0.34944
1984,North Rhine-Westphalia,1st Quintile,Yes,0.51019,485,773,0.47493,0.54545
1984,North Rhine-Westphalia,1st Quintile,No,0.23348,288,773,0.20364,0.26333
1984,North Rhine-Westphalia,2nd Quintile,Yes,0.56997,428,632,0.53134,0.60860
1984,North Rhine-Westphalia,2nd Quintile,No,0.22218,204,632,0.18974,0.25461
1984,North Rhine-Westphalia,3rd Quintile,Yes,0.57117,395,582,0.53093,0.61142
1984,North Rhine-Westphalia,3rd Quintile,No,0.24341,187,582,0.20852,0.27831
1984,North Rhine-Westphalia,4th Quintile,Yes,0.61845,455,653,0.58116,0.65574
1984,North Rhine-Westphalia,4th Quintile,No,0.24111,198,653,0.20827,0.27394
1984,North Rhine-Westphalia,5th Quintile,Yes,0.62386,429,609,0.58535,0.66236
1984,North Rhine-Westphalia,5th Quintile,No,0.25718,180,609,0.22244,0.29192
1984,Hesse,1st Quintile,Yes,0.61103,177,268,0.55255,0.66951
1984,Hesse,1st Quintile,No,0.20262,91,268,0.15440,0.25083
1984,Hesse,2nd Quintile,Yes,0.58777,151,229,0.52388,0.65167
1984,Hesse,2nd Quintile,No,0.21901,78,229,0.16532,0.27269
1984,Hesse,3rd Quintile,Yes,0.56959,137,201,0.50097,0.63821
1984,Hesse,3rd Quintile,No,0.24340,64,201,0.18393,0.30288
1984,Hesse,4th Quintile,Yes,0.54027,150,238,0.47681,0.60372
1984,Hesse,4th Quintile,No,0.29982,88,238,0.24149,0.35815
1984,Hesse,5th Quintile,Yes,0.68276,226,308,0.63070,0.73482
1984,Hesse,5th Quintile,No,0.24413,82,308,0.19608,0.29219
1984,"Rhineland-Palatinate, Saarland",1st Quintile,Yes,0.54525,118,170,0.47018,0.62033
1984,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.22744,52,170,0.16424,0.29064
1984,"Rhineland-Palatinate, Saarland",2nd Quintile,Yes,0.57800,137,204,0.51006,0.64594
1984,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.24562,67,204,0.18641,0.30484
1984,"Rhineland-Palatinate, Saarland",3rd Quintile,Yes,0.60180,122,187,0.53145,0.67215
1984,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.26380,65,187,0.20047,0.32714
1984,"Rhineland-Palatinate, Saarland",4th Quintile,Yes,0.65209,113,162,0.57852,0.72567
1984,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.27289,49,162,0.20408,0.34170
1984,"Rhineland-Palatinate, Saarland",5th Quintile,Yes,0.61946,90,128,0.53502,0.70390
1984,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.26799,38,128,0.19096,0.34503
1984,Baden-Wuerttemberg,1st Quintile,Yes,0.52164,251,384,0.47161,0.57167
1984,Baden-Wuerttemberg,1st Quintile,No,0.21109,133,384,0.17022,0.25197
1984,Baden-Wuerttemberg,2nd Quintile,Yes,0.54554,328,473,0.50062,0.59046
1984,Baden-Wuerttemberg,2nd Quintile,No,0.19978,145,473,0.16371,0.23585
1984,Baden-Wuerttemberg,3rd Quintile,Yes,0.55259,301,458,0.50700,0.59817
