year,bula_h,migback,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,No migration background,Yes,0.73197,247,341,0.68488,0.77905
1984,Schleswig-Holstein,No migration background,No,0.26803,94,341,0.22095,0.31512
1984,Hamburg,No migration background,Yes,0.75858,162,220,0.70190,0.81526
1984,Hamburg,No migration background,No,0.24142,58,220,0.18474,0.29810
1984,Hamburg,Direct migration background,Yes,0.55033,44,88,0.44580,0.65486
1984,Hamburg,Direct migration background,No,0.44967,44,88,0.34514,0.55420
1984,Lower Saxony,No migration background,Yes,0.69643,710,1027,0.66830,0.72457
1984,Lower Saxony,No migration background,No,0.30357,317,1027,0.27543,0.33170
1984,Lower Saxony,Direct migration background,Yes,0.75232,127,200,0.69235,0.81230
1984,Lower Saxony,Direct migration background,No,0.24768,73,200,0.18770,0.30765
1984,Bremen,No migration background,Yes,0.67862,65,98,0.58568,0.77156
1984,Bremen,No migration background,No,0.32138,33,98,0.22844,0.41432
1984,North Rhine-Westphalia,No migration background,Yes,0.71634,1606,2266,0.69777,0.73490
1984,North Rhine-Westphalia,No migration background,No,0.28366,660,2266,0.26510,0.30223
1984,North Rhine-Westphalia,Direct migration background,Yes,0.63339,572,949,0.60272,0.66407
1984,North Rhine-Westphalia,Direct migration background,No,0.36661,377,949,0.33593,0.39728
1984,Hesse,No migration background,Yes,0.72558,553,765,0.69393,0.75722
1984,Hesse,No migration background,No,0.27442,212,765,0.24278,0.30607
1984,Hesse,Direct migration background,Yes,0.63854,284,470,0.59506,0.68202
1984,Hesse,Direct migration background,No,0.36146,186,470,0.31798,0.40494
1984,"Rhineland-Palatinate, Saarland",No migration background,Yes,0.70668,487,696,0.67283,0.74053
1984,"Rhineland-Palatinate, Saarland",No migration background,No,0.29332,209,696,0.25947,0.32717
1984,"Rhineland-Palatinate, Saarland",Direct migration background,Yes,0.61205,89,150,0.53381,0.69029
1984,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.38795,61,150,0.30971,0.46619
1984,Baden-Wuerttemberg,No migration background,Yes,0.72842,966,1347,0.70466,0.75218
1984,Baden-Wuerttemberg,No migration background,No,0.27158,381,1347,0.24782,0.29534
1984,Baden-Wuerttemberg,Direct migration background,Yes,0.65675,537,876,0.62529,0.68821
1984,Baden-Wuerttemberg,Direct migration background,No,0.34325,339,876,0.31179,0.37471
1984,Bavaria,No migration background,Yes,0.70806,1128,1619,0.68590,0.73021
1984,Bavaria,No migration background,No,0.29194,491,1619,0.26979,0.31410
1984,Bavaria,Direct migration background,Yes,0.74309,306,446,0.70249,0.78368
1984,Bavaria,Direct migration background,No,0.25691,140,446,0.21632,0.29751
1984,Berlin,No migration background,Yes,0.74732,215,290,0.69722,0.79742
1984,Berlin,No migration background,No,0.25268,75,290,0.20258,0.30278
1984,Berlin,Direct migration background,Yes,0.49872,63,116,0.40734,0.59011
1984,Berlin,Direct migration background,No,0.50128,53,116,0.40989,0.59266
1985,Schleswig-Holstein,No migration background,Yes,0.74939,232,313,0.70130,0.79748
1985,Schleswig-Holstein,No migration background,No,0.25061,81,313,0.20252,0.29870
1985,Hamburg,No migration background,Yes,0.71329,150,209,0.65184,0.77475
1985,Hamburg,No migration background,No,0.28671,59,209,0.22525,0.34816
1985,Hamburg,Direct migration background,Yes,0.79421,52,52,0.68326,0.90517
1985,Lower Saxony,No migration background,Yes,0.75038,698,945,0.72277,0.77799
1985,Lower Saxony,No migration background,No,0.24962,247,945,0.22201,0.27723
1985,Lower Saxony,Direct migration background,Yes,0.70545,88,154,0.63322,0.77768
1985,Lower Saxony,Direct migration background,No,0.29455,66,154,0.22232,0.36678
1985,Bremen,No migration background,Yes,0.80866,72,72,0.71716,0.90016
1985,North Rhine-Westphalia,No migration background,Yes,0.71143,1483,2118,0.69213,0.73073
1985,North Rhine-Westphalia,No migration background,No,0.28857,635,2118,0.26927,0.30787
1985,North Rhine-Westphalia,Direct migration background,Yes,0.58665,477,800,0.55250,0.62079
1985,North Rhine-Westphalia,Direct migration background,No,0.41335,323,800,0.37921,0.44750
1985,Hesse,No migration background,Yes,0.72953,506,703,0.69667,0.76239
1985,Hesse,No migration background,No,0.27047,197,703,0.23761,0.30333
1985,Hesse,Direct migration background,Yes,0.65417,263,420,0.60863,0.69972
1985,Hesse,Direct migration background,No,0.34583,157,420,0.30028,0.39137
1985,"Rhineland-Palatinate, Saarland",No migration background,Yes,0.67985,420,634,0.64350,0.71619
1985,"Rhineland-Palatinate, Saarland",No migration background,No,0.32015,214,634,0.28381,0.35650
1985,"Rhineland-Palatinate, Saarland",Direct migration background,Yes,0.63200,86,129,0.54845,0.71555
1985,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.36800,43,129,0.28445,0.45155
1985,Baden-Wuerttemberg,No migration background,Yes,0.70568,851,1222,0.68011,0.73124
1985,Baden-Wuerttemberg,No migration background,No,0.29432,371,1222,0.26876,0.31989
1985,Baden-Wuerttemberg,Direct migration background,Yes,0.70219,507,785,0.67018,0.73420
1985,Baden-Wuerttemberg,Direct migration background,No,0.29781,278,785,0.26580,0.32982
1985,Bavaria,No migration background,Yes,0.74226,1079,1486,0.72002,0.76451
1985,Bavaria,No migration background,No,0.25774,407,1486,0.23549,0.27998
1985,Bavaria,Direct migration background,Yes,0.75926,271,382,0.71633,0.80219
1985,Bavaria,Direct migration background,No,0.24074,111,382,0.19781,0.28367
1985,Berlin,No migration background,Yes,0.71834,185,259,0.66345,0.77323
1985,Berlin,No migration background,No,0.28166,74,259,0.22677,0.33655
1985,Berlin,Direct migration background,Yes,0.64515,63,102,0.55183,0.73846
1985,Berlin,Direct migration background,No,0.35485,39,102,0.26154,0.44817
1986,Schleswig-Holstein,No migration background,Yes,0.77376,220,284,0.72501,0.82251
1986,Schleswig-Holstein,No migration background,No,0.22624,64,284,0.17749,0.27499
1986,Hamburg,No migration background,Yes,0.76807,142,184,0.70692,0.82922
1986,Hamburg,No migration background,No,0.23193,42,184,0.17078,0.29308
1986,Hamburg,Direct migration background,Yes,0.72668,47,47,0.59788,0.85547
1986,Lower Saxony,No migration background,Yes,0.74934,685,926,0.72141,0.77727
1986,Lower Saxony,No migration background,No,0.25066,241,926,0.22273,0.27859
1986,Lower Saxony,Direct migration background,Yes,0.70665,102,172,0.63841,0.77489
1986,Lower Saxony,Direct migration background,No,0.29335,70,172,0.22511,0.36159
1986,Bremen,No migration background,Yes,0.75373,64,64,0.64734,0.86012
1986,North Rhine-Westphalia,No migration background,Yes,0.72174,1440,2040,0.70228,0.74119
1986,North Rhine-Westphalia,No migration background,No,0.27826,600,2040,0.25881,0.29772
1986,North Rhine-Westphalia,Direct migration background,Yes,0.68011,486,773,0.64720,0.71301
1986,North Rhine-Westphalia,Direct migration background,No,0.31989,287,773,0.28699,0.35280
1986,Hesse,No migration background,Yes,0.76531,496,661,0.73298,0.79765
1986,Hesse,No migration background,No,0.23469,165,661,0.20235,0.26702
1986,Hesse,Direct migration background,Yes,0.76445,253,378,0.72161,0.80728
1986,Hesse,Direct migration background,No,0.23555,125,378,0.19272,0.27839
1986,"Rhineland-Palatinate, Saarland",No migration background,Yes,0.71463,441,634,0.67945,0.74981
1986,"Rhineland-Palatinate, Saarland",No migration background,No,0.28537,193,634,0.25019,0.32055
