,Unnamed: 0,year,bula_h,doctoryn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Schleswig-Holstein,Yes,0.72736,272,12164,0.70031,0.75818
1,1,1984,Schleswig-Holstein,No,0.27264,114,12164,0.25124,0.29454
2,2,1984,Hamburg,Yes,0.7403,207,12164,0.68817,0.78318
3,3,1984,Hamburg,No,0.2597,102,12164,0.22208,0.29206
4,4,1984,Lower Saxony,Yes,0.69967,840,12164,0.68059,0.71781
5,5,1984,Lower Saxony,No,0.30033,394,12164,0.28849,0.31373
6,6,1984,Bremen,Yes,0.67579,87,12164,0.6063,0.75952
7,7,1984,Bremen,No,0.32421,45,12164,0.28338,0.36681
8,8,1984,North Rhine-Westphalia,Yes,0.70697,2196,12164,0.6929,0.72227
9,9,1984,North Rhine-Westphalia,No,0.29303,1058,12164,0.28479,0.30269
10,10,1984,Hesse,Yes,0.71478,844,12164,0.68216,0.74358
11,11,1984,Hesse,No,0.28522,403,12164,0.2676,0.30399
12,12,1984,"Rhineland-Palatinate, Saarland",Yes,0.70121,580,12164,0.67927,0.72141
13,13,1984,"Rhineland-Palatinate, Saarland",No,0.29879,271,12164,0.2838,0.31319
14,14,1984,Baden-Wuerttemberg,Yes,0.71712,1520,12164,0.69343,0.74041
15,15,1984,Baden-Wuerttemberg,No,0.28288,732,12164,0.26786,0.29783
16,16,1984,Bavaria,Yes,0.71206,1452,12164,0.69349,0.73137
17,17,1984,Bavaria,No,0.28794,639,12164,0.27697,0.29841
18,18,1984,Berlin,Yes,0.72285,280,12164,0.68165,0.77214
19,19,1984,Berlin,No,0.27715,128,12164,0.24596,0.3027
20,20,1985,Schleswig-Holstein,Yes,0.74216,250,10996,0.71077,0.77271
21,21,1985,Schleswig-Holstein,No,0.25784,103,10996,0.23136,0.2825
22,22,1985,Hamburg,Yes,0.72091,204,10996,0.66508,0.77227
23,23,1985,Hamburg,No,0.27909,76,10996,0.24583,0.31023
24,24,1985,Lower Saxony,Yes,0.74756,791,10996,0.72573,0.76702
25,25,1985,Lower Saxony,No,0.25244,316,10996,0.23985,0.26517
26,26,1985,Bremen,Yes,1.0,86,10996,0.90331,1.09361
