year,regtyp,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,Yes,0.71074,8278,12164,0.70268,0.71880
1984,No answer / don't know,No,0.28926,3886,12164,0.28120,0.29732
1985,Urban regions,Yes,0.71480,5936,8685,0.70530,0.72429
1985,Urban regions,No,0.28520,2749,8685,0.27571,0.29470
1985,Rural regions,Yes,0.72824,1662,2341,0.71021,0.74626
1985,Rural regions,No,0.27176,679,2341,0.25374,0.28979
1986,Urban regions,Yes,0.73576,5863,8352,0.72631,0.74522
1986,Urban regions,No,0.26424,2489,8352,0.25478,0.27369
1986,Rural regions,Yes,0.73513,1596,2231,0.71681,0.75344
1986,Rural regions,No,0.26487,635,2231,0.24656,0.28319
1987,Urban regions,Yes,0.72964,5714,8245,0.72006,0.73923
1987,Urban regions,No,0.27036,2531,8245,0.26077,0.27994
1987,Rural regions,Yes,0.73431,1564,2207,0.71587,0.75274
1987,Rural regions,No,0.26569,643,2207,0.24726,0.28413
1988,Urban regions,Yes,0.68518,5181,7880,0.67493,0.69544
1988,Urban regions,No,0.31482,2699,7880,0.30456,0.32507
1988,Rural regions,Yes,0.68737,1352,2055,0.66733,0.70742
1988,Rural regions,No,0.31263,703,2055,0.29258,0.33267
1989,Urban regions,Yes,0.69402,5110,7672,0.68371,0.70433
1989,Urban regions,No,0.30598,2562,7672,0.29567,0.31629
1989,Rural regions,Yes,0.71050,1334,1955,0.69039,0.73061
1989,Rural regions,No,0.28950,621,1955,0.26939,0.30961
1991,No answer / don't know,Yes,0.60772,50,89,0.50571,0.70974
1991,No answer / don't know,No,0.39228,39,89,0.29026,0.49429
1991,Urban regions,Yes,0.71056,5905,8732,0.70105,0.72007
1991,Urban regions,No,0.28944,2827,8732,0.27993,0.29895
1991,Rural regions,Yes,0.67223,2955,4692,0.65880,0.68566
1991,Rural regions,No,0.32777,1737,4692,0.31434,0.34120
1992,No answer / don't know,Yes,0.59394,69,117,0.50457,0.68331
1992,No answer / don't know,No,0.40606,48,117,0.31669,0.49543
1992,Urban regions,Yes,0.71009,5821,8550,0.70047,0.71970
1992,Urban regions,No,0.28991,2729,8550,0.28030,0.29953
1992,Rural regions,Yes,0.68226,2975,4489,0.66864,0.69589
1992,Rural regions,No,0.31774,1514,4489,0.30411,0.33136
1994,Urban regions,Yes,0.77088,6332,8432,0.76191,0.77985
1994,Urban regions,No,0.22912,2100,8432,0.22015,0.23809
1994,Rural regions,Yes,0.79361,3400,4374,0.78162,0.80561
1994,Rural regions,No,0.20639,974,4374,0.19439,0.21838
1995,Urban regions,Yes,0.71850,6039,8668,0.70903,0.72797
1995,Urban regions,No,0.28150,2629,8668,0.27203,0.29097
1995,Rural regions,Yes,0.72293,3110,4509,0.70987,0.73600
1995,Rural regions,No,0.27707,1399,4509,0.26400,0.29013
1996,Urban regions,Yes,0.71988,5898,8461,0.71031,0.72945
1996,Urban regions,No,0.28012,2563,8461,0.27055,0.28969
1996,Rural regions,Yes,0.72101,3097,4434,0.70781,0.73421
1996,Rural regions,No,0.27899,1337,4434,0.26579,0.29219
1997,Urban regions,Yes,0.70651,5697,8351,0.69674,0.71628
1997,Urban regions,No,0.29349,2654,8351,0.28372,0.30326
1997,Rural regions,Yes,0.71178,3055,4424,0.69843,0.72513
1997,Rural regions,No,0.28822,1369,4424,0.27487,0.30157
1998,Urban regions,Yes,0.68372,6129,9202,0.67421,0.69322
1998,Urban regions,No,0.31628,3073,9202,0.30678,0.32579
1998,Rural regions,Yes,0.68579,3301,4927,0.67283,0.69876
1998,Rural regions,No,0.31421,1626,4927,0.30124,0.32717
1999,Urban regions,Yes,0.70742,6110,8842,0.69794,0.71691
1999,Urban regions,No,0.29258,2732,8842,0.28309,0.30206
1999,Rural regions,Yes,0.71666,3393,4770,0.70387,0.72945
1999,Rural regions,No,0.28334,1377,4770,0.27055,0.29613
2000,Urban regions,Yes,0.68214,10579,15675,0.67485,0.68943
2000,Urban regions,No,0.31786,5096,15675,0.31057,0.32515
2000,Rural regions,Yes,0.69492,5709,8337,0.68503,0.70480
2000,Rural regions,No,0.30508,2628,8337,0.29520,0.31497
2001,Urban regions,Yes,0.69324,9767,14276,0.68568,0.70081
2001,Urban regions,No,0.30676,4509,14276,0.29919,0.31432
2001,Rural regions,Yes,0.70106,5272,7561,0.69074,0.71138
2001,Rural regions,No,0.29894,2289,7561,0.28862,0.30926
2002,Urban regions,Yes,0.67959,10310,15254,0.67218,0.68700
2002,Urban regions,No,0.32041,4944,15254,0.31300,0.32782
2002,Rural regions,Yes,0.68272,5236,7706,0.67233,0.69311
2002,Rural regions,No,0.31728,2470,7706,0.30689,0.32767
2003,Urban regions,Yes,0.69588,10179,14669,0.68844,0.70333
2003,Urban regions,No,0.30412,4490,14669,0.29667,0.31156
2003,Rural regions,Yes,0.70454,5112,7379,0.69413,0.71495
2003,Rural regions,No,0.29546,2267,7379,0.28505,0.30587
2004,Urban regions,Yes,0.68553,9692,14323,0.67792,0.69313
2004,Urban regions,No,0.31447,4631,14323,0.30687,0.32208
