year,quintil_oecd,sampreg,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,5th Quintile,West,No,0.28675,679,2233,0.26799,0.30552
1992,5th Quintile,East,Yes,0.68902,88,133,0.61005,0.76799
1992,5th Quintile,East,No,0.31098,45,133,0.23201,0.38995
1994,1st Quintile,West,Yes,0.77779,1126,1539,0.75701,0.79857
1994,1st Quintile,West,No,0.22221,413,1539,0.20143,0.24299
1994,1st Quintile,East,Yes,0.82204,771,961,0.79784,0.84623
1994,1st Quintile,East,No,0.17796,190,961,0.15377,0.20216
1994,2nd Quintile,West,Yes,0.75839,1136,1582,0.73729,0.77949
1994,2nd Quintile,West,No,0.24161,446,1582,0.22051,0.26271
1994,2nd Quintile,East,Yes,0.82234,869,1077,0.79950,0.84517
1994,2nd Quintile,East,No,0.17766,208,1077,0.15483,0.20050
1994,3rd Quintile,West,Yes,0.76322,1328,1806,0.74361,0.78283
1994,3rd Quintile,West,No,0.23678,478,1806,0.21717,0.25639
1994,3rd Quintile,East,Yes,0.80334,724,891,0.77722,0.82945
1994,3rd Quintile,East,No,0.19666,167,891,0.17055,0.22278
1994,4th Quintile,West,Yes,0.76683,1508,1981,0.74820,0.78545
1994,4th Quintile,West,No,0.23317,473,1981,0.21455,0.25180
1994,4th Quintile,East,Yes,0.79652,442,549,0.76282,0.83023
1994,4th Quintile,East,No,0.20348,107,549,0.16977,0.23718
1994,5th Quintile,West,Yes,0.77890,1602,2131,0.76127,0.79652
1994,5th Quintile,West,No,0.22110,529,2131,0.20348,0.23873
1994,5th Quintile,East,Yes,0.78149,221,282,0.73318,0.82981
1994,5th Quintile,East,No,0.21851,61,282,0.17019,0.26682
1995,1st Quintile,West,Yes,0.70892,1140,1729,0.68750,0.73034
1995,1st Quintile,West,No,0.29108,589,1729,0.26966,0.31250
1995,1st Quintile,East,Yes,0.73487,547,783,0.70393,0.76580
1995,1st Quintile,East,No,0.26513,236,783,0.23420,0.29607
1995,2nd Quintile,West,Yes,0.72441,1246,1826,0.70391,0.74491
1995,2nd Quintile,West,No,0.27559,580,1826,0.25509,0.29609
1995,2nd Quintile,East,Yes,0.77896,764,1031,0.75362,0.80430
1995,2nd Quintile,East,No,0.22104,267,1031,0.19570,0.24638
1995,3rd Quintile,West,Yes,0.72397,1283,1853,0.70361,0.74433
1995,3rd Quintile,West,No,0.27603,570,1853,0.25567,0.29639
1995,3rd Quintile,East,Yes,0.75339,627,853,0.72445,0.78234
1995,3rd Quintile,East,No,0.24661,226,853,0.21766,0.27555
1995,4th Quintile,West,Yes,0.72454,1377,1978,0.70484,0.74423
1995,4th Quintile,West,No,0.27546,601,1978,0.25577,0.29516
1995,4th Quintile,East,Yes,0.68604,471,670,0.65087,0.72121
1995,4th Quintile,East,No,0.31396,199,670,0.27879,0.34913
1995,5th Quintile,West,Yes,0.69250,1459,2126,0.67288,0.71212
1995,5th Quintile,West,No,0.30750,667,2126,0.28788,0.32712
1995,5th Quintile,East,Yes,0.74805,231,324,0.70070,0.79539
1995,5th Quintile,East,No,0.25195,93,324,0.20461,0.29930
1996,1st Quintile,West,Yes,0.70638,1174,1767,0.68514,0.72762
1996,1st Quintile,West,No,0.29362,593,1767,0.27238,0.31486
1996,1st Quintile,East,Yes,0.74223,535,767,0.71125,0.77320
1996,1st Quintile,East,No,0.25777,232,767,0.22680,0.28875
1996,2nd Quintile,West,Yes,0.73504,1167,1676,0.71390,0.75617
1996,2nd Quintile,West,No,0.26496,509,1676,0.24383,0.28610
1996,2nd Quintile,East,Yes,0.72957,642,927,0.70096,0.75818
1996,2nd Quintile,East,No,0.27043,285,927,0.24182,0.29904
1996,3rd Quintile,West,Yes,0.72658,1234,1743,0.70565,0.74751
1996,3rd Quintile,West,No,0.27342,509,1743,0.25249,0.29435
1996,3rd Quintile,East,Yes,0.72180,641,902,0.69253,0.75106
1996,3rd Quintile,East,No,0.27820,261,902,0.24894,0.30747
1996,4th Quintile,West,Yes,0.72062,1404,1996,0.70093,0.74031
1996,4th Quintile,West,No,0.27938,592,1996,0.25969,0.29907
1996,4th Quintile,East,Yes,0.69799,481,684,0.66355,0.73242
1996,4th Quintile,East,No,0.30201,203,684,0.26758,0.33645
1996,5th Quintile,West,Yes,0.71370,1445,2054,0.69414,0.73325
1996,5th Quintile,West,No,0.28630,609,2054,0.26675,0.30586
1996,5th Quintile,East,Yes,0.70888,270,374,0.66278,0.75498
1996,5th Quintile,East,No,0.29112,104,374,0.24502,0.33722
1997,1st Quintile,West,Yes,0.69511,1113,1668,0.67301,0.71721
1997,1st Quintile,West,No,0.30489,555,1668,0.28279,0.32699
1997,1st Quintile,East,Yes,0.73978,489,706,0.70739,0.77217
1997,1st Quintile,East,No,0.26022,217,706,0.22783,0.29261
1997,2nd Quintile,West,Yes,0.70779,1174,1748,0.68647,0.72912
1997,2nd Quintile,West,No,0.29221,574,1748,0.27088,0.31353
1997,2nd Quintile,East,Yes,0.72616,687,984,0.69829,0.75404
1997,2nd Quintile,East,No,0.27384,297,984,0.24596,0.30171
