year,age_gr,sex,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,male,Yes,0.54643,932,1733,0.52298,0.56987
1984,17-29 y.,male,No,0.45357,801,1733,0.43013,0.47702
1984,17-29 y.,female,Yes,0.73531,1195,1702,0.71434,0.75627
1984,17-29 y.,female,No,0.26469,507,1702,0.24373,0.28566
1984,30-45 y.,male,Yes,0.55451,1067,1937,0.53237,0.57665
1984,30-45 y.,male,No,0.44549,870,1937,0.42335,0.46763
1984,30-45 y.,female,Yes,0.73548,1416,1969,0.71599,0.75497
1984,30-45 y.,female,No,0.26452,553,1969,0.24503,0.28401
1984,46-65 y.,male,Yes,0.69853,1204,1778,0.67720,0.71987
1984,46-65 y.,male,No,0.30147,574,1778,0.28013,0.32280
1984,46-65 y.,female,Yes,0.79558,1394,1778,0.77683,0.81433
1984,46-65 y.,female,No,0.20442,384,1778,0.18567,0.22317
1984,66 and older,male,Yes,0.78002,400,505,0.74386,0.81619
1984,66 and older,male,No,0.21998,105,505,0.18381,0.25614
1984,66 and older,female,Yes,0.88138,670,762,0.85841,0.90436
1984,66 and older,female,No,0.11862,92,762,0.09564,0.14159
1985,17-29 y.,male,Yes,0.56147,876,1611,0.53723,0.58570
1985,17-29 y.,male,No,0.43853,735,1611,0.41430,0.46277
1985,17-29 y.,female,Yes,0.75259,1101,1529,0.73095,0.77423
1985,17-29 y.,female,No,0.24741,428,1529,0.22577,0.26905
1985,30-45 y.,male,Yes,0.56241,959,1707,0.53887,0.58595
1985,30-45 y.,male,No,0.43759,748,1707,0.41405,0.46113
1985,30-45 y.,female,Yes,0.71827,1254,1768,0.69729,0.73924
1985,30-45 y.,female,No,0.28173,514,1768,0.26076,0.30271
1985,46-65 y.,male,Yes,0.71623,1172,1653,0.69449,0.73797
1985,46-65 y.,male,No,0.28377,481,1653,0.26203,0.30551
1985,46-65 y.,female,Yes,0.78933,1287,1651,0.76966,0.80901
1985,46-65 y.,female,No,0.21067,364,1651,0.19099,0.23034
1985,66 and older,male,Yes,0.83029,368,443,0.79530,0.86529
1985,66 and older,male,No,0.16971,75,443,0.13471,0.20470
1985,66 and older,female,Yes,0.87444,581,664,0.84922,0.89967
1985,66 and older,female,No,0.12556,83,664,0.10033,0.15078
1986,17-29 y.,male,Yes,0.58753,888,1587,0.56331,0.61176
1986,17-29 y.,male,No,0.41247,699,1587,0.38824,0.43669
1986,17-29 y.,female,Yes,0.78066,1082,1468,0.75949,0.80184
1986,17-29 y.,female,No,0.21934,386,1468,0.19816,0.24051
1986,30-45 y.,male,Yes,0.57880,916,1580,0.55444,0.60315
1986,30-45 y.,male,No,0.42120,664,1580,0.39685,0.44556
1986,30-45 y.,female,Yes,0.75394,1246,1689,0.73339,0.77449
1986,30-45 y.,female,No,0.24606,443,1689,0.22551,0.26661
1986,46-65 y.,male,Yes,0.71942,1166,1645,0.69770,0.74113
1986,46-65 y.,male,No,0.28058,479,1645,0.25887,0.30230
1986,46-65 y.,female,Yes,0.80672,1275,1583,0.78726,0.82618
1986,46-65 y.,female,No,0.19328,308,1583,0.17382,0.21274
1986,66 and older,male,Yes,0.81336,343,419,0.77601,0.85071
1986,66 and older,male,No,0.18664,76,419,0.14929,0.22399
1986,66 and older,female,Yes,0.89023,543,612,0.86544,0.91502
1986,66 and older,female,No,0.10977,69,612,0.08498,0.13456
1987,17-29 y.,male,Yes,0.58565,880,1567,0.56125,0.61005
1987,17-29 y.,male,No,0.41435,687,1567,0.38995,0.43875
1987,17-29 y.,female,Yes,0.76166,1040,1441,0.73965,0.78366
1987,17-29 y.,female,No,0.23834,401,1441,0.21634,0.26035
1987,30-45 y.,male,Yes,0.55333,859,1548,0.52855,0.57810
1987,30-45 y.,male,No,0.44667,689,1548,0.42190,0.47145
1987,30-45 y.,female,Yes,0.73849,1182,1620,0.71709,0.75990
1987,30-45 y.,female,No,0.26151,438,1620,0.24010,0.28291
1987,46-65 y.,male,Yes,0.73229,1156,1634,0.71082,0.75377
1987,46-65 y.,male,No,0.26771,478,1634,0.24623,0.28918
1987,46-65 y.,female,Yes,0.79616,1239,1574,0.77626,0.81607
1987,46-65 y.,female,No,0.20384,335,1574,0.18393,0.22374
1987,66 and older,male,Yes,0.82467,345,423,0.78839,0.86095
1987,66 and older,male,No,0.17533,78,423,0.13905,0.21161
1987,66 and older,female,Yes,0.89625,577,645,0.87270,0.91980
1987,66 and older,female,No,0.10375,68,645,0.08020,0.12730
1988,17-29 y.,male,Yes,0.54181,754,1490,0.51650,0.56712
1988,17-29 y.,male,No,0.45819,736,1490,0.43288,0.48350
1988,17-29 y.,female,Yes,0.67839,909,1374,0.65368,0.70310
1988,17-29 y.,female,No,0.32161,465,1374,0.29690,0.34632
1988,30-45 y.,male,Yes,0.51425,736,1440,0.48843,0.54008
1988,30-45 y.,male,No,0.48575,704,1440,0.45992,0.51157
1988,30-45 y.,female,Yes,0.69338,1035,1502,0.67005,0.71670
1988,30-45 y.,female,No,0.30662,467,1502,0.28330,0.32995
1988,46-65 y.,male,Yes,0.68222,1085,1576,0.65922,0.70522
1988,46-65 y.,male,No,0.31778,491,1576,0.29478,0.34078
1988,46-65 y.,female,Yes,0.74522,1141,1523,0.72333,0.76711
1988,46-65 y.,female,No,0.25478,382,1523,0.23289,0.27667
1988,66 and older,male,Yes,0.82627,341,414,0.78973,0.86281
1988,66 and older,male,No,0.17373,73,414,0.13719,0.21027
1988,66 and older,female,Yes,0.87272,532,616,0.84638,0.89906
1988,66 and older,female,No,0.12728,84,616,0.10094,0.15362
1989,17-29 y.,male,Yes,0.53869,762,1451,0.51303,0.56435
1989,17-29 y.,male,No,0.46131,689,1451,0.43565,0.48697
1989,17-29 y.,female,Yes,0.73656,968,1367,0.71319,0.75992
1989,17-29 y.,female,No,0.26344,399,1367,0.24008,0.28681
1989,30-45 y.,male,Yes,0.51351,720,1377,0.48710,0.53992
1989,30-45 y.,male,No,0.48649,657,1377,0.46008,0.51290
1989,30-45 y.,female,Yes,0.69981,1022,1455,0.67625,0.72337
1989,30-45 y.,female,No,0.30019,433,1455,0.27663,0.32375
1989,46-65 y.,male,Yes,0.68239,1008,1527,0.65903,0.70574
1989,46-65 y.,male,No,0.31761,519,1527,0.29426,0.34097
1989,46-65 y.,female,Yes,0.77661,1107,1444,0.75512,0.79810
1989,46-65 y.,female,No,0.22339,337,1444,0.20190,0.24488
1989,66 and older,male,Yes,0.83290,325,394,0.79601,0.86978
1989,66 and older,male,No,0.16710,69,394,0.13022,0.20399
1989,66 and older,female,Yes,0.87355,532,612,0.84720,0.89991
1989,66 and older,female,No,0.12645,80,612,0.10009,0.15280
1991,17-29 y.,male,Yes,0.54692,967,1868,0.52433,0.56950
1991,17-29 y.,male,No,0.45308,901,1868,0.43050,0.47567
1991,17-29 y.,female,Yes,0.73805,1264,1808,0.71777,0.75832
