year,migback,quintil_oecd,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,1st Quintile,Yes,0.57367,1005,1443,0.54815,0.59920
1984,No migration background,1st Quintile,No,0.22794,438,1443,0.20629,0.24959
1984,No migration background,2nd Quintile,Yes,0.58090,1128,1600,0.55671,0.60508
1984,No migration background,2nd Quintile,No,0.22821,472,1600,0.20764,0.24878
1984,No migration background,3rd Quintile,Yes,0.59179,1222,1728,0.56861,0.61497
1984,No migration background,3rd Quintile,No,0.23618,506,1728,0.21614,0.25621
1984,No migration background,4th Quintile,Yes,0.60912,1311,1864,0.58697,0.63128
1984,No migration background,4th Quintile,No,0.25211,553,1864,0.23239,0.27183
1984,No migration background,5th Quintile,Yes,0.65321,1459,2015,0.63242,0.67400
1984,No migration background,5th Quintile,No,0.24679,556,2015,0.22796,0.26562
1984,Direct migration background,1st Quintile,Yes,0.50652,599,1015,0.47575,0.53730
1984,Direct migration background,1st Quintile,No,0.32276,416,1015,0.29399,0.35154
1984,Direct migration background,2nd Quintile,Yes,0.62342,488,766,0.58909,0.65776
1984,Direct migration background,2nd Quintile,No,0.27700,278,766,0.24529,0.30872
1984,Direct migration background,3rd Quintile,Yes,0.56779,363,605,0.52828,0.60730
1984,Direct migration background,3rd Quintile,No,0.32203,242,605,0.28476,0.35929
1984,Direct migration background,4th Quintile,Yes,0.61279,372,589,0.57342,0.65216
1984,Direct migration background,4th Quintile,No,0.30508,217,589,0.26787,0.34230
1984,Direct migration background,5th Quintile,Yes,0.65345,244,390,0.60616,0.70074
1984,Direct migration background,5th Quintile,No,0.29089,146,390,0.24575,0.33602
1985,No migration background,1st Quintile,Yes,0.59968,941,1312,0.57316,0.62620
1985,No migration background,1st Quintile,No,0.20798,371,1312,0.18601,0.22995
1985,No migration background,2nd Quintile,Yes,0.60587,1077,1473,0.58090,0.63083
1985,No migration background,2nd Quintile,No,0.20651,396,1473,0.18583,0.22719
1985,No migration background,3rd Quintile,Yes,0.62053,1163,1622,0.59691,0.64416
1985,No migration background,3rd Quintile,No,0.23084,459,1622,0.21032,0.25135
1985,No migration background,4th Quintile,Yes,0.62878,1205,1705,0.60584,0.65172
1985,No migration background,4th Quintile,No,0.25327,500,1705,0.23262,0.27392
1985,No migration background,5th Quintile,Yes,0.63133,1285,1862,0.60941,0.65325
