year,sex,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Yes,0.62733,3603,5953,0.61505,0.63962
1984,male,No,0.37267,2350,5953,0.36038,0.38495
1984,female,Yes,0.78463,4675,6211,0.77441,0.79485
1984,female,No,0.21537,1536,6211,0.20515,0.22559
1985,male,Yes,0.64682,3375,5414,0.63408,0.65955
1985,male,No,0.35318,2039,5414,0.34045,0.36592
1985,female,Yes,0.78138,4223,5612,0.77057,0.79220
1985,female,No,0.21862,1389,5612,0.20780,0.22943
1986,male,Yes,0.65758,3313,5231,0.64472,0.67044
1986,male,No,0.34242,1918,5231,0.32956,0.35528
1986,female,Yes,0.80561,4146,5352,0.79500,0.81621
1986,female,No,0.19439,1206,5352,0.18379,0.20500
1987,male,Yes,0.65723,3240,5172,0.64429,0.67016
1987,male,No,0.34277,1932,5172,0.32984,0.35571
1987,female,Yes,0.79675,4038,5280,0.78589,0.80761
1987,female,No,0.20325,1242,5280,0.19239,0.21411
1988,male,Yes,0.61928,2916,4920,0.60571,0.63285
1988,male,No,0.38072,2004,4920,0.36715,0.39429
1988,female,Yes,0.74616,3617,5015,0.73411,0.75820
1988,female,No,0.25384,1398,5015,0.24180,0.26589
1989,male,Yes,0.61818,2815,4749,0.60436,0.63200
1989,male,No,0.38182,1934,4749,0.36800,0.39564
1989,female,Yes,0.77038,3629,4878,0.75858,0.78219
1989,female,No,0.22962,1249,4878,0.21781,0.24142
1991,male,Yes,0.62411,3886,6597,0.61242,0.63580
1991,male,No,0.37589,2711,6597,0.36420,0.38758
1991,female,Yes,0.76532,5024,6916,0.75533,0.77531
1991,female,No,0.23468,1892,6916,0.22469,0.24467
1992,male,Yes,0.63446,3838,6385,0.62265,0.64628
1992,male,No,0.36554,2547,6385,0.35372,0.37735
1992,female,Yes,0.76181,5027,6771,0.75166,0.77195
1992,female,No,0.23819,1744,6771,0.22805,0.24834
1994,male,Yes,0.71499,4281,6184,0.70374,0.72624
1994,male,No,0.28501,1903,6184,0.27376,0.29626
1994,female,Yes,0.83611,5451,6622,0.82720,0.84503
1994,female,No,0.16389,1171,6622,0.15497,0.17280
1995,male,Yes,0.64530,3905,6355,0.63354,0.65706
1995,male,No,0.35470,2450,6355,0.34294,0.36646
1995,female,Yes,0.78906,5244,6822,0.77938,0.79874
1995,female,No,0.21094,1578,6822,0.20126,0.22062
1996,male,Yes,0.65450,3918,6221,0.64268,0.66631
1996,male,No,0.34550,2303,6221,0.33369,0.35732
1996,female,Yes,0.78140,5077,6674,0.77148,0.79131
1996,female,No,0.21860,1597,6674,0.20869,0.22852
1997,male,Yes,0.62291,3720,6188,0.61083,0.63498
1997,male,No,0.37709,2468,6188,0.36502,0.38917
1997,female,Yes,0.78741,5032,6588,0.77753,0.79729
1997,female,No,0.21259,1556,6588,0.20271,0.22247
1998,male,Yes,0.60789,4042,6843,0.59633,0.61946
1998,male,No,0.39211,2801,6843,0.38054,0.40367
1998,female,Yes,0.75629,5388,7286,0.74643,0.76615
1998,female,No,0.24371,1898,7286,0.23385,0.25357
1999,male,Yes,0.63192,4089,6580,0.62026,0.64357
1999,male,No,0.36808,2491,6580,0.35643,0.37974
1999,female,Yes,0.78399,5414,7032,0.77437,0.79361
1999,female,No,0.21601,1618,7032,0.20639,0.22563
2000,male,Yes,0.61436,7011,11535,0.60548,0.62324
2000,male,No,0.38564,4524,11535,0.37676,0.39452
2000,female,Yes,0.75345,9277,12477,0.74589,0.76101
