year,quintil_oecd,sex,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,male,Yes,0.61635,652,1098,0.58758,0.64513
1984,1st Quintile,male,No,0.38365,446,1098,0.35487,0.41242
1984,1st Quintile,female,Yes,0.75630,971,1387,0.73370,0.77890
1984,1st Quintile,female,No,0.24370,416,1387,0.22110,0.26630
1984,2nd Quintile,male,Yes,0.62710,672,1124,0.59882,0.65538
1984,2nd Quintile,male,No,0.37290,452,1124,0.34462,0.40118
1984,2nd Quintile,female,Yes,0.78612,959,1274,0.76360,0.80865
1984,2nd Quintile,female,No,0.21388,315,1274,0.19135,0.23640
1984,3rd Quintile,male,Yes,0.63383,725,1188,0.60642,0.66123
1984,3rd Quintile,male,No,0.36617,463,1188,0.33877,0.39358
1984,3rd Quintile,female,Yes,0.77933,874,1167,0.75553,0.80314
1984,3rd Quintile,female,No,0.22067,293,1167,0.19686,0.24447
1984,4th Quintile,male,Yes,0.61399,758,1267,0.58718,0.64081
1984,4th Quintile,male,No,0.38601,509,1267,0.35919,0.41282
1984,4th Quintile,female,Yes,0.79231,940,1218,0.76952,0.81510
1984,4th Quintile,female,No,0.20769,278,1218,0.18490,0.23048
1984,5th Quintile,male,Yes,0.64179,793,1269,0.61540,0.66818
1984,5th Quintile,male,No,0.35821,476,1269,0.33182,0.38460
1984,5th Quintile,female,Yes,0.81058,919,1149,0.78791,0.83325
1984,5th Quintile,female,No,0.18942,230,1149,0.16675,0.21209
1985,1st Quintile,male,Yes,0.65858,619,1001,0.62919,0.68797
1985,1st Quintile,male,No,0.34142,382,1001,0.31203,0.37081
1985,1st Quintile,female,Yes,0.77870,896,1256,0.75574,0.80167
1985,1st Quintile,female,No,0.22130,360,1256,0.19833,0.24426
1985,2nd Quintile,male,Yes,0.67577,661,1031,0.64718,0.70436
1985,2nd Quintile,male,No,0.32423,370,1031,0.29564,0.35282
1985,2nd Quintile,female,Yes,0.78707,843,1128,0.76317,0.81097
1985,2nd Quintile,female,No,0.21293,285,1128,0.18903,0.23683
1985,3rd Quintile,male,Yes,0.66049,705,1109,0.63260,0.68837
1985,3rd Quintile,male,No,0.33951,404,1109,0.31163,0.36740
1985,3rd Quintile,female,Yes,0.78814,845,1098,0.76396,0.81232
1985,3rd Quintile,female,No,0.21186,253,1098,0.18768,0.23604
1985,4th Quintile,male,Yes,0.63149,709,1148,0.60357,0.65941
1985,4th Quintile,male,No,0.36851,439,1148,0.34059,0.39643
1985,4th Quintile,female,Yes,0.77991,827,1065,0.75502,0.80481
1985,4th Quintile,female,No,0.22009,238,1065,0.19519,0.24498
1985,5th Quintile,male,Yes,0.61837,678,1122,0.58994,0.64681
1985,5th Quintile,male,No,0.38163,444,1122,0.35319,0.41006
1985,5th Quintile,female,Yes,0.77223,807,1060,0.74697,0.79749
1985,5th Quintile,female,No,0.22777,253,1060,0.20251,0.25303
1986,1st Quintile,male,Yes,0.67388,576,918,0.64354,0.70423
1986,1st Quintile,male,No,0.32612,342,918,0.29577,0.35646
1986,1st Quintile,female,Yes,0.81005,871,1156,0.78742,0.83267
1986,1st Quintile,female,No,0.18995,285,1156,0.16733,0.21258
1986,2nd Quintile,male,Yes,0.63768,638,1027,0.60827,0.66709
1986,2nd Quintile,male,No,0.36232,389,1027,0.33291,0.39173
1986,2nd Quintile,female,Yes,0.79839,813,1065,0.77428,0.82250
1986,2nd Quintile,female,No,0.20161,252,1065,0.17750,0.22572
1986,3rd Quintile,male,Yes,0.67152,686,1047,0.64306,0.69999
1986,3rd Quintile,male,No,0.32848,361,1047,0.30001,0.35694
1986,3rd Quintile,female,Yes,0.79919,818,1051,0.77496,0.82342
1986,3rd Quintile,female,No,0.20081,233,1051,0.17658,0.22504
1986,4th Quintile,male,Yes,0.64939,720,1148,0.62177,0.67700
1986,4th Quintile,male,No,0.35061,428,1148,0.32300,0.37823
1986,4th Quintile,female,Yes,0.81961,858,1070,0.79656,0.84266
1986,4th Quintile,female,No,0.18039,212,1070,0.15734,0.20344
1986,5th Quintile,male,Yes,0.65864,691,1088,0.63046,0.68683
1986,5th Quintile,male,No,0.34136,397,1088,0.31317,0.36954
1986,5th Quintile,female,Yes,0.80288,785,1007,0.77830,0.82746
1986,5th Quintile,female,No,0.19712,222,1007,0.17254,0.22170
1987,1st Quintile,male,Yes,0.65762,550,903,0.62666,0.68859
1987,1st Quintile,male,No,0.34238,353,903,0.31141,0.37334
1987,1st Quintile,female,Yes,0.79708,831,1132,0.77364,0.82052
1987,1st Quintile,female,No,0.20292,301,1132,0.17948,0.22636
1987,2nd Quintile,male,Yes,0.65516,619,993,0.62559,0.68474
1987,2nd Quintile,male,No,0.34484,374,993,0.31526,0.37441
1987,2nd Quintile,female,Yes,0.80209,819,1070,0.77820,0.82597
1987,2nd Quintile,female,No,0.19791,251,1070,0.17403,0.22180
