year,bula_h,regtyp,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Urban regions,Yes,0.62148,117,168,0.54792,0.69505
1985,Schleswig-Holstein,Urban regions,No,0.21613,51,168,0.15370,0.27856
1985,Schleswig-Holstein,Rural regions,Yes,0.60548,133,185,0.53486,0.67610
1985,Schleswig-Holstein,Rural regions,No,0.20986,52,185,0.15102,0.26870
1985,Hamburg,Urban regions,Yes,0.65778,200,274,0.60150,0.71407
1985,Hamburg,Urban regions,No,0.25149,74,274,0.20002,0.30296
1985,Lower Saxony,Urban regions,Yes,0.62047,348,511,0.57836,0.66259
1985,Lower Saxony,Urban regions,No,0.23099,163,511,0.19441,0.26757
1985,Lower Saxony,Rural regions,Yes,0.64066,443,596,0.60210,0.67921
1985,Lower Saxony,Rural regions,No,0.19992,153,596,0.16778,0.23205
1985,Bremen,Urban regions,Yes,0.73497,86,86,0.64114,0.82880
1985,North Rhine-Westphalia,Urban regions,Yes,0.58046,1936,2888,0.56245,0.59846
1985,North Rhine-Westphalia,Urban regions,No,0.24707,952,2888,0.23133,0.26280
1985,North Rhine-Westphalia,Rural regions,Yes,0.51878,46,46,0.37280,0.66477
1985,Hesse,Urban regions,Yes,0.61131,670,979,0.58076,0.64187
1985,Hesse,Urban regions,No,0.24449,309,979,0.21755,0.27143
1985,Hesse,Rural regions,Yes,0.65210,106,155,0.57687,0.72733
1985,Hesse,Rural regions,No,0.22545,49,155,0.15945,0.29145
1985,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.58182,422,632,0.54334,0.62031
1985,"Rhineland-Palatinate, Saarland",Urban regions,No,0.27593,210,632,0.24105,0.31081
1985,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.57741,92,140,0.49528,0.65953
1985,"Rhineland-Palatinate, Saarland",Rural regions,No,0.27501,48,140,0.20078,0.34924
1985,Baden-Wuerttemberg,Urban regions,Yes,0.58423,1168,1745,0.56110,0.60736
1985,Baden-Wuerttemberg,Urban regions,No,0.23785,577,1745,0.21787,0.25783
1985,Baden-Wuerttemberg,Rural regions,Yes,0.53681,211,296,0.47991,0.59372
1985,Baden-Wuerttemberg,Rural regions,No,0.25470,85,296,0.20498,0.30441
1985,Bavaria,Urban regions,Yes,0.65124,739,1007,0.62179,0.68069
1985,Bavaria,Urban regions,No,0.20976,268,1007,0.18460,0.23492
1985,Bavaria,Rural regions,Yes,0.59391,627,890,0.56162,0.62619
1985,Bavaria,Rural regions,No,0.21984,263,890,0.19262,0.24707
1985,Berlin,Urban regions,Yes,0.60518,250,365,0.55496,0.65539
1985,Berlin,Urban regions,No,0.24625,115,365,0.20199,0.29051
1986,Schleswig-Holstein,Urban regions,Yes,0.64468,112,154,0.56885,0.72052
1986,Schleswig-Holstein,Urban regions,No,0.17705,42,154,0.11657,0.23753
1986,Schleswig-Holstein,Rural regions,Yes,0.63240,126,169,0.55949,0.70531
1986,Schleswig-Holstein,Rural regions,No,0.20163,43,169,0.14096,0.26230
1986,Hamburg,Urban regions,Yes,0.70520,187,250,0.64856,0.76183
1986,Hamburg,Urban regions,No,0.21061,63,250,0.15996,0.26125
1986,Lower Saxony,Urban regions,Yes,0.63668,369,531,0.59573,0.67762
1986,Lower Saxony,Urban regions,No,0.22935,162,531,0.19356,0.26514
1986,Lower Saxony,Rural regions,Yes,0.62837,421,577,0.58890,0.66783
1986,Lower Saxony,Rural regions,No,0.20372,156,577,0.17083,0.23661
1986,Bremen,Urban regions,Yes,0.68856,77,109,0.60122,0.77590
1986,Bremen,Urban regions,No,0.23725,32,109,0.15702,0.31748
1986,North Rhine-Westphalia,Urban regions,Yes,0.59286,1902,2788,0.57462,0.61110
1986,North Rhine-Westphalia,Urban regions,No,0.23228,886,2788,0.21660,0.24796
1986,North Rhine-Westphalia,Rural regions,Yes,0.57439,47,47,0.43151,0.71728
1986,Hesse,Urban regions,Yes,0.65236,650,906,0.62133,0.68339
1986,Hesse,Urban regions,No,0.19348,256,906,0.16774,0.21922
1986,Hesse,Rural regions,Yes,0.64756,104,143,0.56898,0.72614
1986,Hesse,Rural regions,No,0.23218,39,143,0.16273,0.30163
1986,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.61247,433,623,0.57419,0.65076
1986,"Rhineland-Palatinate, Saarland",Urban regions,No,0.24522,190,623,0.21141,0.27903
1986,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.58904,99,146,0.50896,0.66913
1986,"Rhineland-Palatinate, Saarland",Rural regions,No,0.26140,47,146,0.18988,0.33292
1986,Baden-Wuerttemberg,Urban regions,Yes,0.57223,1140,1686,0.54861,0.59586
1986,Baden-Wuerttemberg,Urban regions,No,0.25248,546,1686,0.23174,0.27322
1986,Baden-Wuerttemberg,Rural regions,Yes,0.54034,204,301,0.48394,0.59673
1986,Baden-Wuerttemberg,Rural regions,No,0.26497,97,301,0.21503,0.31491
1986,Bavaria,Urban regions,Yes,0.69071,736,953,0.66135,0.72007
1986,Bavaria,Urban regions,No,0.17275,217,953,0.14874,0.19677
1986,Bavaria,Rural regions,Yes,0.59821,591,820,0.56463,0.63178
1986,Bavaria,Rural regions,No,0.20459,229,820,0.17696,0.23222
1986,Berlin,Urban regions,Yes,0.64271,257,352,0.59258,0.69284
1986,Berlin,Urban regions,No,0.21089,95,352,0.16822,0.25357
1987,Schleswig-Holstein,Urban regions,Yes,0.62167,106,149,0.54354,0.69981
1987,Schleswig-Holstein,Urban regions,No,0.20024,43,149,0.13577,0.26471
1987,Schleswig-Holstein,Rural regions,Yes,0.65760,138,177,0.58750,0.72771
1987,Schleswig-Holstein,Rural regions,No,0.15686,39,177,0.10313,0.21059
1987,Hamburg,Urban regions,Yes,0.65361,158,222,0.59087,0.71634
1987,Hamburg,Urban regions,No,0.24463,64,222,0.18795,0.30131
1987,Lower Saxony,Urban regions,Yes,0.63607,373,532,0.59515,0.67699
1987,Lower Saxony,Urban regions,No,0.23260,159,532,0.19666,0.26853
1987,Lower Saxony,Rural regions,Yes,0.63033,423,573,0.59077,0.66989
1987,Lower Saxony,Rural regions,No,0.19619,150,573,0.16365,0.22874
1987,Bremen,Urban regions,Yes,0.74804,75,75,0.64913,0.84696
1987,North Rhine-Westphalia,Urban regions,Yes,0.59485,1866,2756,0.57652,0.61318
1987,North Rhine-Westphalia,Urban regions,No,0.23164,890,2756,0.21589,0.24740
1987,North Rhine-Westphalia,Rural regions,Yes,0.51928,45,45,0.37165,0.66691
1987,Hesse,Urban regions,Yes,0.61463,627,911,0.58301,0.64625
1987,Hesse,Urban regions,No,0.22882,284,911,0.20152,0.25611
1987,Hesse,Rural regions,Yes,0.64682,105,145,0.56875,0.72488
1987,Hesse,Rural regions,No,0.23273,40,145,0.16371,0.30175
1987,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.65101,453,621,0.61349,0.68853
1987,"Rhineland-Palatinate, Saarland",Urban regions,No,0.20845,168,621,0.17648,0.24043
1987,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.60578,100,145,0.52597,0.68560
1987,"Rhineland-Palatinate, Saarland",Rural regions,No,0.24686,45,145,0.17643,0.31729
1987,Baden-Wuerttemberg,Urban regions,Yes,0.57405,1126,1672,0.55034,0.59776
1987,Baden-Wuerttemberg,Urban regions,No,0.24622,546,1672,0.22557,0.26688
1987,Baden-Wuerttemberg,Rural regions,Yes,0.52837,194,289,0.47072,0.58603
1987,Baden-Wuerttemberg,Rural regions,No,0.25732,95,289,0.20683,0.30781
1987,Bavaria,Urban regions,Yes,0.64838,667,919,0.61750,0.67927
1987,Bavaria,Urban regions,No,0.21152,252,919,0.18510,0.23793
1987,Bavaria,Rural regions,Yes,0.57769,556,804,0.54353,0.61185
1987,Bavaria,Rural regions,No,0.22029,248,804,0.19163,0.24896
1987,Berlin,Urban regions,Yes,0.65762,263,362,0.60867,0.70657
1987,Berlin,Urban regions,No,0.20488,99,362,0.16324,0.24651
1988,Schleswig-Holstein,Urban regions,Yes,0.56440,102,144,0.48313,0.64567
1988,Schleswig-Holstein,Urban regions,No,0.22853,42,144,0.15971,0.29735
1988,Schleswig-Holstein,Rural regions,Yes,0.54103,118,177,0.46741,0.61465
1988,Schleswig-Holstein,Rural regions,No,0.25021,59,177,0.18622,0.31420
1988,Hamburg,Urban regions,Yes,0.57372,126,197,0.50448,0.64295
1988,Hamburg,Urban regions,No,0.33114,71,197,0.26525,0.39702
1988,Lower Saxony,Urban regions,Yes,0.60826,352,518,0.56618,0.65034
1988,Lower Saxony,Urban regions,No,0.26481,166,518,0.22678,0.30285
1988,Lower Saxony,Rural regions,Yes,0.58110,359,530,0.53905,0.62314
1988,Lower Saxony,Rural regions,No,0.24450,171,530,0.20787,0.28113
1988,Bremen,Urban regions,Yes,0.68962,71,71,0.58123,0.79800
1988,North Rhine-Westphalia,Urban regions,Yes,0.56013,1683,2611,0.54108,0.57917
1988,North Rhine-Westphalia,Urban regions,No,0.26590,928,2611,0.24895,0.28285
1988,North Rhine-Westphalia,Rural regions,Yes,0.49896,40,71,0.38183,0.61609
