year,regtyp,sampreg,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,West,Yes,0.60245,5936,8685,0.59216,0.61275
1985,Urban regions,West,No,0.24038,2749,8685,0.23139,0.24937
1985,Rural regions,West,Yes,0.60140,1662,2341,0.58156,0.62123
1985,Rural regions,West,No,0.22443,679,2341,0.20752,0.24133
1986,Urban regions,West,Yes,0.61989,5863,8352,0.60948,0.63030
1986,Urban regions,West,No,0.22262,2489,8352,0.21370,0.23154
1986,Rural regions,West,Yes,0.60422,1596,2231,0.58392,0.62452
1986,Rural regions,West,No,0.21770,635,2231,0.20058,0.23483
1987,Urban regions,West,Yes,0.61405,5714,8245,0.60354,0.62455
1987,Urban regions,West,No,0.22752,2531,8245,0.21847,0.23657
1987,Rural regions,West,Yes,0.59842,1564,2207,0.57796,0.61888
1987,Rural regions,West,No,0.21652,643,2207,0.19934,0.23371
1988,Urban regions,West,Yes,0.57493,5181,7880,0.56401,0.58585
1988,Urban regions,West,No,0.26416,2699,7880,0.25442,0.27389
1988,Rural regions,West,Yes,0.55800,1352,2055,0.53653,0.57948
1988,Rural regions,West,No,0.25379,703,2055,0.23497,0.27261
1989,Urban regions,West,Yes,0.58279,5110,7672,0.57175,0.59382
1989,Urban regions,West,No,0.25694,2562,7672,0.24716,0.26672
1989,Rural regions,West,Yes,0.57859,1334,1955,0.55670,0.60049
1989,Rural regions,West,No,0.23575,621,1955,0.21693,0.25457
1991,Urban regions,West,Yes,0.59582,5108,7408,0.58465,0.60700
1991,Urban regions,West,No,0.23113,2300,7408,0.22153,0.24073
1991,Urban regions,East,Yes,0.49877,797,1324,0.47182,0.52571
1991,Urban regions,East,No,0.30243,527,1324,0.27767,0.32718
1991,Rural regions,West,Yes,0.58655,1373,1977,0.56483,0.60826
1991,Rural regions,West,No,0.22693,604,1977,0.20846,0.24539
1991,Rural regions,East,Yes,0.48757,1582,2715,0.46877,0.50638
1991,Rural regions,East,No,0.32164,1133,2715,0.30406,0.33921
1992,Urban regions,West,Yes,0.58146,4922,7252,0.57010,0.59281
1992,Urban regions,West,No,0.23817,2330,7252,0.22836,0.24797
1992,Urban regions,East,Yes,0.57259,899,1298,0.54567,0.59952
1992,Urban regions,East,No,0.22734,399,1298,0.20453,0.25015
1992,Rural regions,West,Yes,0.55335,1311,1948,0.53127,0.57544
1992,Rural regions,West,No,0.25138,637,1948,0.23211,0.27065
1992,Rural regions,East,Yes,0.54918,1664,2541,0.52983,0.56853
1992,Rural regions,East,No,0.26521,877,2541,0.24804,0.28238
1994,Urban regions,West,Yes,0.62777,5253,7128,0.61655,0.63900
1994,Urban regions,West,No,0.19344,1875,7128,0.18427,0.20261
1994,Urban regions,East,Yes,0.67435,1079,1304,0.64890,0.69979
1994,Urban regions,East,No,0.14149,225,1304,0.12256,0.16041
1994,Rural regions,West,Yes,0.63295,1452,1917,0.61137,0.65453
1994,Rural regions,West,No,0.17120,465,1917,0.15433,0.18806
1994,Rural regions,East,Yes,0.65514,1948,2457,0.63634,0.67394
1994,Rural regions,East,No,0.16079,509,2457,0.14626,0.17532
1995,Urban regions,West,Yes,0.58211,5121,7460,0.57091,0.59330
1995,Urban regions,West,No,0.23560,2339,7460,0.22597,0.24524
1995,Urban regions,East,Yes,0.63970,918,1208,0.61262,0.66679
1995,Urban regions,East,No,0.17998,290,1208,0.15831,0.20166
1995,Rural regions,West,Yes,0.57177,1388,2056,0.55038,0.59317
1995,Rural regions,West,No,0.22144,668,2056,0.20349,0.23939
1995,Rural regions,East,Yes,0.59144,1722,2453,0.57198,0.61089
1995,Rural regions,East,No,0.22320,731,2453,0.20672,0.23969
1996,Urban regions,West,Yes,0.58365,4995,7232,0.57229,0.59502
1996,Urban regions,West,No,0.23052,2237,7232,0.22081,0.24023
1996,Urban regions,East,Yes,0.61096,903,1229,0.58369,0.63823
1996,Urban regions,East,No,0.20633,326,1229,0.18370,0.22897
1996,Rural regions,West,Yes,0.57090,1431,2009,0.54925,0.59255
1996,Rural regions,West,No,0.21289,578,2009,0.19499,0.23080
1996,Rural regions,East,Yes,0.58475,1666,2425,0.56514,0.60437
1996,Rural regions,East,No,0.23875,759,2425,0.22178,0.25572
1997,Urban regions,West,Yes,0.57610,4818,7145,0.56464,0.58756
1997,Urban regions,West,No,0.24645,2327,7145,0.23645,0.25644
1997,Urban regions,East,Yes,0.63468,879,1206,0.60749,0.66187
1997,Urban regions,East,No,0.19601,327,1206,0.17360,0.21842
1997,Rural regions,West,Yes,0.56197,1372,2008,0.54026,0.58367
1997,Rural regions,West,No,0.23713,636,2008,0.21852,0.25574
1997,Rural regions,East,Yes,0.60478,1683,2416,0.58528,0.62428
1997,Rural regions,East,No,0.22999,733,2416,0.21321,0.24678
1998,Urban regions,West,Yes,0.55643,5231,7952,0.54551,0.56735
1998,Urban regions,West,No,0.26391,2721,7952,0.25422,0.27360
1998,Urban regions,East,Yes,0.61157,898,1250,0.58454,0.63860
1998,Urban regions,East,No,0.21920,352,1250,0.19625,0.24214
1998,Rural regions,West,Yes,0.54179,1557,2328,0.52154,0.56203
1998,Rural regions,West,No,0.25254,771,2328,0.23489,0.27020
1998,Rural regions,East,Yes,0.57738,1744,2599,0.55839,0.59638
1998,Rural regions,East,No,0.25804,855,2599,0.24121,0.27486
1999,Urban regions,West,Yes,0.57984,5200,7608,0.56875,0.59093
1999,Urban regions,West,No,0.24522,2408,7608,0.23555,0.25489
1999,Urban regions,East,Yes,0.63534,910,1234,0.60848,0.66221
1999,Urban regions,East,No,0.20870,324,1234,0.18602,0.23138
1999,Rural regions,West,Yes,0.57082,1575,2229,0.55026,0.59137
1999,Rural regions,West,No,0.22759,654,2229,0.21018,0.24500
1999,Rural regions,East,Yes,0.60672,1818,2541,0.58773,0.62572
1999,Rural regions,East,No,0.23691,723,2541,0.22037,0.25344
2000,Urban regions,West,Yes,0.55790,9238,13838,0.54962,0.56617
2000,Urban regions,West,No,0.26631,4600,13838,0.25895,0.27368
2000,Urban regions,East,Yes,0.61330,1341,1837,0.59102,0.63557
2000,Urban regions,East,No,0.22046,496,1837,0.20150,0.23942
2000,Rural regions,West,Yes,0.55145,2942,4352,0.53667,0.56623
2000,Rural regions,West,No,0.25158,1410,4352,0.23869,0.26448
2000,Rural regions,East,Yes,0.60075,2767,3985,0.58554,0.61596
2000,Rural regions,East,No,0.24928,1218,3985,0.23584,0.26271
2001,Urban regions,West,Yes,0.56603,8493,12537,0.55736,0.57471
2001,Urban regions,West,No,0.25570,4044,12537,0.24807,0.26334
2001,Urban regions,East,Yes,0.62529,1274,1739,0.60253,0.64805
2001,Urban regions,East,No,0.22268,465,1739,0.20312,0.24224
2001,Rural regions,West,Yes,0.55506,2653,3889,0.53944,0.57068
2001,Rural regions,West,No,0.25294,1236,3889,0.23928,0.26661
2001,Rural regions,East,Yes,0.61794,2619,3672,0.60223,0.63366
2001,Rural regions,East,No,0.23785,1053,3672,0.22408,0.25162
2002,Urban regions,West,Yes,0.55711,9056,13489,0.54872,0.56549
2002,Urban regions,West,No,0.26777,4433,13489,0.26029,0.27524
2002,Urban regions,East,Yes,0.61818,1254,1765,0.59551,0.64085
2002,Urban regions,East,No,0.23848,511,1765,0.21859,0.25837
2002,Rural regions,West,Yes,0.53390,2690,4052,0.51854,0.54926
2002,Rural regions,West,No,0.27073,1362,4052,0.25705,0.28441
2002,Rural regions,East,Yes,0.61592,2546,3654,0.60014,0.63169
2002,Rural regions,East,No,0.24994,1108,3654,0.23590,0.26399
2003,Urban regions,West,Yes,0.56707,8872,12918,0.55853,0.57562
2003,Urban regions,West,No,0.25339,4046,12918,0.24589,0.26089
2003,Urban regions,East,Yes,0.64538,1307,1751,0.62297,0.66780
2003,Urban regions,East,No,0.22235,444,1751,0.20287,0.24184
2003,Rural regions,West,Yes,0.56406,2592,3808,0.54831,0.57982
2003,Rural regions,West,No,0.24856,1216,3808,0.23483,0.26229
2003,Rural regions,East,Yes,0.62134,2520,3571,0.60542,0.63725
2003,Rural regions,East,No,0.24171,1051,3571,0.22767,0.25576
2004,Urban regions,West,Yes,0.56049,8371,12562,0.55181,0.56917
2004,Urban regions,West,No,0.26558,4191,12562,0.25786,0.27330
2004,Urban regions,East,Yes,0.65979,1321,1761,0.63766,0.68193
2004,Urban regions,East,No,0.21518,440,1761,0.19598,0.23438
2004,Rural regions,West,Yes,0.55487,2510,3762,0.53899,0.57075
2004,Rural regions,West,No,0.26581,1252,3762,0.25169,0.27993
2004,Rural regions,East,Yes,0.61316,2386,3447,0.59690,0.62942
2004,Rural regions,East,No,0.25322,1061,3447,0.23870,0.26774
2005,Urban regions,West,Yes,0.57855,8300,12024,0.56972,0.58737
2005,Urban regions,West,No,0.25197,3724,12024,0.24421,0.25973
2005,Urban regions,East,Yes,0.62934,1223,1699,0.60636,0.65231
2005,Urban regions,East,No,0.24227,476,1699,0.22189,0.26265
2005,Rural regions,West,Yes,0.55965,2420,3565,0.54335,0.57595
2005,Rural regions,West,No,0.26328,1145,3565,0.24882,0.27774
2005,Rural regions,East,Yes,0.60937,2318,3308,0.59274,0.62600
2005,Rural regions,East,No,0.25034,990,3308,0.23557,0.26510
2006,Urban regions,West,Yes,0.56616,8666,12716,0.55754,0.57477
2006,Urban regions,West,No,0.26241,4050,12716,0.25477,0.27006
2006,Urban regions,East,Yes,0.61731,1257,1743,0.59448,0.64013
2006,Urban regions,East,No,0.24973,486,1743,0.22940,0.27005
2006,Rural regions,West,Yes,0.56051,2694,3942,0.54502,0.57601
2006,Rural regions,West,No,0.25134,1248,3942,0.23780,0.26488
2006,Rural regions,East,Yes,0.58505,2390,3522,0.56877,0.60132
2006,Rural regions,East,No,0.27849,1132,3522,0.26368,0.29330
2007,Urban regions,West,Yes,0.57662,8253,11756,0.56769,0.58556
2007,Urban regions,West,No,0.24600,3503,11756,0.23822,0.25379
2007,Urban regions,East,Yes,0.63542,1199,1666,0.61230,0.65854
2007,Urban regions,East,No,0.24079,467,1666,0.22025,0.26133
2007,Rural regions,West,Yes,0.57714,2581,3671,0.56116,0.59313
2007,Rural regions,West,No,0.24000,1090,3671,0.22618,0.25382
2007,Rural regions,East,Yes,0.60882,2343,3322,0.59222,0.62542
2007,Rural regions,East,No,0.25810,979,3322,0.24321,0.27298
2008,Urban regions,West,Yes,0.58212,7790,11036,0.57292,0.59132
2008,Urban regions,West,No,0.24584,3246,11036,0.23781,0.25388
2008,Urban regions,East,Yes,0.63344,1177,1608,0.60988,0.65700
2008,Urban regions,East,No,0.23906,431,1608,0.21821,0.25992
2008,Rural regions,West,Yes,0.57956,2438,3446,0.56307,0.59604
2008,Rural regions,West,No,0.24288,1008,3446,0.22856,0.25720
2008,Rural regions,East,Yes,0.60465,2183,3137,0.58754,0.62176
2008,Rural regions,East,No,0.26256,954,3137,0.24716,0.27796
2009,Urban regions,West,Yes,0.59528,7319,10146,0.58573,0.60483
2009,Urban regions,West,No,0.23844,2827,10146,0.23015,0.24673
2009,Urban regions,East,Yes,0.66859,1159,1527,0.64497,0.69221
2009,Urban regions,East,No,0.21319,368,1527,0.19264,0.23374
2009,Rural regions,West,Yes,0.58621,2395,3267,0.56932,0.60310
2009,Rural regions,West,No,0.24580,872,3267,0.23104,0.26057
2009,Rural regions,East,Yes,0.60536,2138,2995,0.58785,0.62287
2009,Rural regions,East,No,0.25149,857,2995,0.23595,0.26703
2010,Urban regions,West,Yes,0.58148,9340,13694,0.57322,0.58975
2010,Urban regions,West,No,0.24977,4354,13694,0.24252,0.25702
