year,bula_h,sampreg,doctoryn,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,West,Yes,0.7046632124352331,16099,0.6976161812371159,0.7117102436333503
1984,Schleswig-Holstein,West,No,0.29533678756476683,16099,0.2882897563666496,0.30238381876288406
1984,Hamburg,West,Yes,0.6699029126213593,16099,0.6626387860909548,0.6771670391517637
1984,Hamburg,West,No,0.3300970873786408,16099,0.3228329608482364,0.33736121390904517
1984,Lower Saxony,West,Yes,0.6807131280388979,16099,0.673511524393813,0.6879147316839829
1984,Lower Saxony,West,No,0.3192868719611021,16099,0.31208526831601713,0.3264884756061871
1984,Bremen,West,Yes,0.6590909090909091,16099,0.6517685913053218,0.6664132268764963
1984,Bremen,West,No,0.3409090909090909,16099,0.3335867731235036,0.34823140869467817
1984,North Rhine-Westphalia,West,Yes,0.6748617086662569,16099,0.6676257167284936,0.6820977006040203
1984,North Rhine-Westphalia,West,No,0.3251382913337431,16099,0.3179022993959797,0.33237428327150653
1984,Hesse,West,Yes,0.6768243785084203,16099,0.6695997767235782,0.6840489802932623
1984,Hesse,West,No,0.3231756214915798,16099,0.3159510197067378,0.3304002232764218
1984,"Rhineland-Palatinate, Saarland",West,Yes,0.681551116333725,16099,0.6743545438608662,0.6887476888065838
1984,"Rhineland-Palatinate, Saarland",West,No,0.318448883666275,16099,0.31125231119341623,0.32564545613913376
1984,Baden-Wuerttemberg,West,Yes,0.6749555950266429,16099,0.6677201446471791,0.6821910454061068
1984,Baden-Wuerttemberg,West,No,0.325044404973357,16099,0.3178089545938932,0.33227985535282084
1984,Bavaria,West,Yes,0.6944045911047346,16099,0.6872885847768122,0.701520597432657
1984,Bavaria,West,No,0.30559540889526543,16099,0.298479402567343,0.31271141522318785
1984,Berlin,West,Yes,0.6862745098039216,16099,0.6791067992629116,0.6934422203449315
1984,Berlin,West,No,0.3137254901960784,16099,0.3065577796550684,0.32089320073708844
1985,Schleswig-Holstein,West,Yes,0.7082152974504249,14443,0.7008014904339026,0.7156291044669472
1985,Schleswig-Holstein,West,No,0.29178470254957506,14443,0.2843708955330527,0.2991985095660974
