year,sampreg,sex,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,male,Yes,0.50976,3603,5953,0.49706,0.52246
1984,West,male,No,0.30282,2350,5953,0.29115,0.31450
1984,West,female,Yes,0.65814,4675,6211,0.64634,0.66994
1984,West,female,No,0.18065,1536,6211,0.17108,0.19022
1985,West,male,Yes,0.53512,3375,5414,0.52183,0.54840
1985,West,male,No,0.29219,2039,5414,0.28008,0.30431
1985,West,female,Yes,0.66336,4223,5612,0.65099,0.67572
1985,West,female,No,0.18560,1389,5612,0.17542,0.19577
1986,West,male,Yes,0.54492,3313,5231,0.53142,0.55842
1986,West,male,No,0.28375,1918,5231,0.27153,0.29597
1986,West,female,Yes,0.68116,4146,5352,0.66867,0.69365
1986,West,female,No,0.16437,1206,5352,0.15444,0.17430
1987,West,male,Yes,0.54120,3240,5172,0.52761,0.55478
1987,West,male,No,0.28226,1932,5172,0.26999,0.29453
1987,West,female,Yes,0.67390,4038,5280,0.66126,0.68655
1987,West,female,No,0.17191,1242,5280,0.16173,0.18209
1988,West,male,Yes,0.50998,2916,4920,0.49601,0.52395
1988,West,male,No,0.31353,2004,4920,0.30056,0.32649
1988,West,female,Yes,0.62745,3617,5015,0.61407,0.64084
1988,West,female,No,0.21346,1398,5015,0.20212,0.22480
1989,West,male,Yes,0.50942,2815,4749,0.49520,0.52364
1989,West,male,No,0.31465,1934,4749,0.30144,0.32786
1989,West,female,Yes,0.64929,3629,4878,0.63589,0.66268
1989,West,female,No,0.19352,1249,4878,0.18244,0.20461
1991,West,male,Yes,0.52536,2867,4624,0.51096,0.53975
1991,West,male,No,0.28695,1757,4624,0.27392,0.29999
1991,West,female,Yes,0.65748,3615,4764,0.64401,0.67096
1991,West,female,No,0.17705,1149,4764,0.16621,0.18789
1991,East,male,Yes,0.42431,1019,1973,0.40250,0.44613
1991,East,male,No,0.36761,954,1973,0.34633,0.38889
1991,East,female,Yes,0.55290,1409,2152,0.53188,0.57391
1991,East,female,No,0.26345,743,2152,0.24483,0.28206
1992,West,male,Yes,0.51612,2736,4511,0.50153,0.53070
1992,West,male,No,0.28988,1775,4511,0.27664,0.30312
1992,West,female,Yes,0.62967,3502,4702,0.61586,0.64347
