year,pgisced97,quintil_oecd,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Primary Level,1st Quintile,Yes,0.65879,221,359,0.60968,0.70790
1984,Primary Level,1st Quintile,No,0.34121,138,359,0.29210,0.39032
1984,Primary Level,2nd Quintile,Yes,0.63479,147,236,0.57322,0.69635
1984,Primary Level,2nd Quintile,No,0.36521,89,236,0.30365,0.42678
1984,Primary Level,3rd Quintile,Yes,0.61028,98,159,0.53423,0.68632
1984,Primary Level,3rd Quintile,No,0.38972,61,159,0.31368,0.46577
1984,Primary Level,4th Quintile,Yes,0.75656,111,160,0.68985,0.82326
1984,Primary Level,4th Quintile,No,0.24344,49,160,0.17674,0.31015
1984,Primary Level,5th Quintile,Yes,0.65888,52,83,0.55626,0.76149
1984,Primary Level,5th Quintile,No,0.34112,31,83,0.23851,0.44374
1984,Lower Secondary Level,1st Quintile,Yes,0.70425,610,939,0.67505,0.73346
1984,Lower Secondary Level,1st Quintile,No,0.29575,329,939,0.26654,0.32495
1984,Lower Secondary Level,2nd Quintile,Yes,0.75357,583,828,0.72420,0.78294
1984,Lower Secondary Level,2nd Quintile,No,0.24643,245,828,0.21706,0.27580
1984,Lower Secondary Level,3rd Quintile,Yes,0.73265,486,704,0.69993,0.76536
1984,Lower Secondary Level,3rd Quintile,No,0.26735,218,704,0.23464,0.30007
1984,Lower Secondary Level,4th Quintile,Yes,0.74328,424,586,0.70788,0.77868
1984,Lower Secondary Level,4th Quintile,No,0.25672,162,586,0.22132,0.29212
1984,Lower Secondary Level,5th Quintile,Yes,0.71504,259,385,0.66989,0.76019
1984,Lower Secondary Level,5th Quintile,No,0.28496,126,385,0.23981,0.33011
1984,Upper Secondary Level,1st Quintile,Yes,0.70966,613,911,0.68017,0.73915
1984,Upper Secondary Level,1st Quintile,No,0.29034,298,911,0.26085,0.31983
1984,Upper Secondary Level,2nd Quintile,Yes,0.69276,743,1103,0.66552,0.72000
1984,Upper Secondary Level,2nd Quintile,No,0.30724,360,1103,0.28000,0.33448
1984,Upper Secondary Level,3rd Quintile,Yes,0.69512,789,1164,0.66867,0.72158
1984,Upper Secondary Level,3rd Quintile,No,0.30488,375,1164,0.27842,0.33133
1984,Upper Secondary Level,4th Quintile,Yes,0.69326,864,1286,0.66805,0.71847
1984,Upper Secondary Level,4th Quintile,No,0.30674,422,1286,0.28153,0.33195
1984,Upper Secondary Level,5th Quintile,Yes,0.74313,905,1228,0.71868,0.76758
1984,Upper Secondary Level,5th Quintile,No,0.25687,323,1228,0.23242,0.28132
1984,Post-secondary Non-tertiary Level,1st Quintile,Yes,0.61755,37,37,0.45880,0.77631
1984,Post-secondary Non-tertiary Level,2nd Quintile,Yes,0.76716,32,32,0.61838,0.91594
1984,Post-secondary Non-tertiary Level,3rd Quintile,Yes,0.64512,34,34,0.48186,0.80837
1984,Post-secondary Non-tertiary Level,4th Quintile,Yes,0.73443,41,41,0.59757,0.87130
1984,Post-secondary Non-tertiary Level,5th Quintile,Yes,0.69278,55,55,0.56973,0.81583
1984,First Stage of Tertiary Education,1st Quintile,Yes,0.70504,50,50,0.57735,0.83273
1984,First Stage of Tertiary Education,2nd Quintile,Yes,0.75592,60,60,0.64631,0.86553
1984,First Stage of Tertiary Education,3rd Quintile,Yes,0.82713,92,92,0.74944,0.90482
1984,First Stage of Tertiary Education,4th Quintile,Yes,0.71354,115,164,0.64414,0.78295
1984,First Stage of Tertiary Education,4th Quintile,No,0.28646,49,164,0.21705,0.35586
1984,First Stage of Tertiary Education,5th Quintile,Yes,0.76655,175,227,0.71140,0.82171
1984,First Stage of Tertiary Education,5th Quintile,No,0.23345,52,227,0.17829,0.28860
1984,Second Stage of Tertiary Education,1st Quintile,Yes,0.69288,48,48,0.56100,0.82476
1984,Second Stage of Tertiary Education,2nd Quintile,Yes,0.77910,34,34,0.63755,0.92064
1984,Second Stage of Tertiary Education,3rd Quintile,Yes,0.66466,73,113,0.57722,0.75210
1984,Second Stage of Tertiary Education,3rd Quintile,No,0.33534,40,113,0.24790,0.42278
1984,Second Stage of Tertiary Education,4th Quintile,Yes,0.69671,121,176,0.62860,0.76481
1984,Second Stage of Tertiary Education,4th Quintile,No,0.30329,55,176,0.23519,0.37140
1984,Second Stage of Tertiary Education,5th Quintile,Yes,0.66115,247,381,0.61356,0.70874
1984,Second Stage of Tertiary Education,5th Quintile,No,0.33885,134,381,0.29126,0.38644
1985,Pre-primary Level,3rd Quintile,Yes,0.66778,31,31,0.49923,0.83633
1985,Primary Level,1st Quintile,Yes,0.71032,206,312,0.65991,0.76074
1985,Primary Level,1st Quintile,No,0.28968,106,312,0.23926,0.34009
1985,Primary Level,2nd Quintile,Yes,0.71506,113,183,0.64948,0.78064
