year,quintil_oecd,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Yes,0.70161,1623,2485,0.68362,0.71961
1984,1st Quintile,No,0.29839,862,2485,0.28039,0.31638
1984,2nd Quintile,Yes,0.71535,1631,2398,0.69728,0.73341
1984,2nd Quintile,No,0.28465,767,2398,0.26659,0.30272
1984,3rd Quintile,Yes,0.70785,1599,2355,0.68948,0.72622
1984,3rd Quintile,No,0.29215,756,2355,0.27378,0.31052
1984,4th Quintile,Yes,0.70346,1698,2485,0.68550,0.72142
1984,4th Quintile,No,0.29654,787,2485,0.27858,0.31450
1984,5th Quintile,Yes,0.72362,1712,2418,0.70579,0.74145
1984,5th Quintile,No,0.27638,706,2418,0.25855,0.29421
1985,1st Quintile,Yes,0.73110,1515,2257,0.71280,0.74940
1985,1st Quintile,No,0.26890,742,2257,0.25060,0.28720
1985,2nd Quintile,Yes,0.73723,1504,2159,0.71866,0.75580
1985,2nd Quintile,No,0.26277,655,2159,0.24420,0.28134
1985,3rd Quintile,Yes,0.72704,1550,2207,0.70845,0.74563
1985,3rd Quintile,No,0.27296,657,2207,0.25437,0.29155
1985,4th Quintile,Yes,0.70431,1536,2213,0.68529,0.72333
1985,4th Quintile,No,0.29569,677,2213,0.27667,0.31471
1985,5th Quintile,Yes,0.69383,1485,2182,0.67448,0.71317
1985,5th Quintile,No,0.30617,697,2182,0.28683,0.32552
1986,1st Quintile,Yes,0.75670,1447,2074,0.73823,0.77517
1986,1st Quintile,No,0.24330,627,2074,0.22483,0.26177
1986,2nd Quintile,Yes,0.72367,1451,2092,0.70450,0.74283
1986,2nd Quintile,No,0.27633,641,2092,0.25717,0.29550
1986,3rd Quintile,Yes,0.73886,1504,2098,0.72006,0.75766
1986,3rd Quintile,No,0.26114,594,2098,0.24234,0.27994
1986,4th Quintile,Yes,0.73289,1578,2218,0.71448,0.75131
1986,4th Quintile,No,0.26711,640,2218,0.24869,0.28552
1986,5th Quintile,Yes,0.72851,1476,2095,0.70946,0.74756
1986,5th Quintile,No,0.27149,619,2095,0.25244,0.29054
