year,quintil_oecd,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,1st Quintile,Yes,0.45692,1589,2453,0.43721,0.47664
2011,1st Quintile,No,0.20030,864,2453,0.18446,0.21614
2011,2nd Quintile,Yes,0.47550,1715,2694,0.45663,0.49436
2011,2nd Quintile,No,0.24214,979,2694,0.22596,0.25832
2011,3rd Quintile,Yes,0.49583,1877,3032,0.47803,0.51363
2011,3rd Quintile,No,0.27630,1155,3032,0.26038,0.29222
2011,4th Quintile,Yes,0.47953,1912,3241,0.46233,0.49673
2011,4th Quintile,No,0.30315,1329,3241,0.28732,0.31897
2011,5th Quintile,Yes,0.49714,2354,4031,0.48171,0.51258
2011,5th Quintile,No,0.34059,1677,4031,0.32596,0.35523
2013,1st Quintile,Yes,0.48900,2022,3072,0.47132,0.50668
2013,1st Quintile,No,0.20820,1050,3072,0.19384,0.22256
2013,2nd Quintile,Yes,0.50383,2272,3418,0.48707,0.52060
2013,2nd Quintile,No,0.23137,1146,3418,0.21723,0.24551
2013,3rd Quintile,Yes,0.52843,2386,3579,0.51208,0.54479
2013,3rd Quintile,No,0.25036,1193,3579,0.23616,0.26455
2013,4th Quintile,Yes,0.51747,2414,3872,0.50172,0.53321
2013,4th Quintile,No,0.29782,1458,3872,0.28342,0.31223
2013,5th Quintile,Yes,0.51780,2924,4756,0.50359,0.53200
2013,5th Quintile,No,0.33142,1832,4756,0.31804,0.34480
2015,1st Quintile,Yes,0.51697,3016,5035,0.50317,0.53078
2015,1st Quintile,No,0.26901,2019,5035,0.25676,0.28126
2015,2nd Quintile,Yes,0.54729,3156,5193,0.53375,0.56083
2015,2nd Quintile,No,0.27137,2037,5193,0.25928,0.28347
2015,3rd Quintile,Yes,0.52124,2798,4796,0.50710,0.53538
2015,3rd Quintile,No,0.30709,1998,4796,0.29403,0.32015
2015,4th Quintile,Yes,0.52728,2755,4723,0.51304,0.54152
2015,4th Quintile,No,0.32754,1968,4723,0.31415,0.34092
2015,5th Quintile,Yes,0.50610,2895,5055,0.49231,0.51988
2015,5th Quintile,No,0.37880,2160,5055,0.36543,0.39218
2017,1st Quintile,Yes,0.50493,2774,4678,0.49060,0.51926
2017,1st Quintile,No,0.25890,1904,4678,0.24634,0.27145
2017,2nd Quintile,Yes,0.54955,2897,4768,0.53543,0.56368
2017,2nd Quintile,No,0.26799,1871,4768,0.25542,0.28056
2017,3rd Quintile,Yes,0.53393,2649,4377,0.51915,0.54871
2017,3rd Quintile,No,0.29441,1728,4377,0.28090,0.30791
2017,4th Quintile,Yes,0.54524,2568,4325,0.53039,0.56008
2017,4th Quintile,No,0.32258,1757,4325,0.30865,0.33651
2017,5th Quintile,Yes,0.53468,2724,4524,0.52014,0.54922
2017,5th Quintile,No,0.34944,1800,4524,0.33554,0.36333
2019,1st Quintile,Yes,0.52296,2853,4415,0.50823,0.53770
2019,1st Quintile,No,0.22924,1562,4415,0.21684,0.24164
2019,2nd Quintile,Yes,0.56837,3103,4740,0.55426,0.58247
2019,2nd Quintile,No,0.24316,1637,4740,0.23094,0.25537
2019,3rd Quintile,Yes,0.57089,2835,4387,0.55625,0.58554
2019,3rd Quintile,No,0.26102,1552,4387,0.24802,0.27402
2019,4th Quintile,Yes,0.56183,2799,4237,0.54689,0.57677
2019,4th Quintile,No,0.28105,1438,4237,0.26751,0.29458
2019,5th Quintile,Yes,0.56673,3121,4780,0.55268,0.58078
2019,5th Quintile,No,0.32261,1659,4780,0.30935,0.33586
2021,1st Quintile,Yes,0.54327,2701,4772,0.52914,0.55741
2021,1st Quintile,No,0.24754,2071,4772,0.23529,0.25978
2021,2nd Quintile,Yes,0.55155,2311,3528,0.53514,0.56796
2021,2nd Quintile,No,0.25229,1217,3528,0.23796,0.26663
2021,3rd Quintile,Yes,0.56960,2061,3124,0.55224,0.58697
2021,3rd Quintile,No,0.24402,1063,3124,0.22896,0.25909
2021,4th Quintile,Yes,0.57414,2111,3182,0.55696,0.59133
2021,4th Quintile,No,0.27534,1071,3182,0.25982,0.29086
2021,5th Quintile,Yes,0.56372,2763,4255,0.54882,0.57862
2021,5th Quintile,No,0.30998,1492,4255,0.29608,0.32388
