year,bula_h,quintil_oecd,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Schleswig-Holstein,1st Quintile,Yes,0.41983,44,44,0.27232,0.56735
2011,Schleswig-Holstein,2nd Quintile,Yes,0.40512,40,40,0.25105,0.55920
2011,Schleswig-Holstein,3rd Quintile,Yes,0.59678,58,58,0.46944,0.72413
2011,Schleswig-Holstein,4th Quintile,Yes,0.42620,50,86,0.32107,0.53133
2011,Schleswig-Holstein,4th Quintile,No,0.34041,36,86,0.23967,0.44115
2011,Schleswig-Holstein,5th Quintile,Yes,0.53576,83,118,0.44539,0.62613
2011,Schleswig-Holstein,5th Quintile,No,0.30278,35,118,0.21952,0.38603
2011,Hamburg,5th Quintile,Yes,0.46173,57,100,0.36352,0.55993
2011,Hamburg,5th Quintile,No,0.40262,43,100,0.30601,0.49923
2011,Lower Saxony,1st Quintile,Yes,0.39942,138,215,0.33380,0.46504
2011,Lower Saxony,1st Quintile,No,0.24651,77,215,0.18877,0.30425
2011,Lower Saxony,2nd Quintile,Yes,0.52248,133,197,0.45255,0.59241
2011,Lower Saxony,2nd Quintile,No,0.16727,64,197,0.11502,0.21952
2011,Lower Saxony,3rd Quintile,Yes,0.44645,168,291,0.38923,0.50366
2011,Lower Saxony,3rd Quintile,No,0.30100,123,291,0.24821,0.35380
2011,Lower Saxony,4th Quintile,Yes,0.50769,194,311,0.45204,0.56335
2011,Lower Saxony,4th Quintile,No,0.24746,117,311,0.19942,0.29549
2011,Lower Saxony,5th Quintile,Yes,0.52558,248,400,0.47658,0.57458
2011,Lower Saxony,5th Quintile,No,0.33164,152,400,0.28544,0.37783
2011,North Rhine-Westphalia,1st Quintile,Yes,0.46269,312,487,0.41836,0.50702
2011,North Rhine-Westphalia,1st Quintile,No,0.17125,175,487,0.13776,0.20474
2011,North Rhine-Westphalia,2nd Quintile,Yes,0.44427,277,469,0.39925,0.48928
2011,North Rhine-Westphalia,2nd Quintile,No,0.28575,192,469,0.24482,0.32669
2011,North Rhine-Westphalia,3rd Quintile,Yes,0.53072,339,553,0.48908,0.57235
2011,North Rhine-Westphalia,3rd Quintile,No,0.25918,214,553,0.22262,0.29573
2011,North Rhine-Westphalia,4th Quintile,Yes,0.46744,371,672,0.42968,0.50519
2011,North Rhine-Westphalia,4th Quintile,No,0.31910,301,672,0.28383,0.35437
2011,North Rhine-Westphalia,5th Quintile,Yes,0.49137,535,935,0.45931,0.52343
2011,North Rhine-Westphalia,5th Quintile,No,0.35121,400,935,0.32059,0.38182
2011,Hesse,1st Quintile,Yes,0.46224,82,119,0.37228,0.55220
2011,Hesse,1st Quintile,No,0.15292,37,119,0.08798,0.21786
2011,Hesse,2nd Quintile,Yes,0.42147,97,158,0.34423,0.49871
2011,Hesse,2nd Quintile,No,0.27276,61,158,0.20309,0.34243
2011,Hesse,3rd Quintile,Yes,0.49075,124,194,0.42022,0.56128
2011,Hesse,3rd Quintile,No,0.22729,70,194,0.16816,0.28642
2011,Hesse,4th Quintile,Yes,0.48181,133,211,0.41423,0.54939
2011,Hesse,4th Quintile,No,0.24976,78,211,0.19122,0.30831
2011,Hesse,5th Quintile,Yes,0.45165,208,363,0.40038,0.50291
2011,Hesse,5th Quintile,No,0.32016,155,363,0.27210,0.36822
2011,"Rhineland-Palatinate, Saarland",1st Quintile,Yes,0.43945,102,151,0.36002,0.51888
2011,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.26612,49,151,0.19540,0.33684
2011,"Rhineland-Palatinate, Saarland",2nd Quintile,Yes,0.46542,98,164,0.38884,0.54199
2011,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.20536,66,164,0.14334,0.26737
2011,"Rhineland-Palatinate, Saarland",3rd Quintile,Yes,0.45553,112,179,0.38236,0.52869
2011,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.26741,67,179,0.20239,0.33243
2011,"Rhineland-Palatinate, Saarland",4th Quintile,Yes,0.51539,127,203,0.44647,0.58431
2011,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.31131,76,203,0.24745,0.37516
2011,"Rhineland-Palatinate, Saarland",5th Quintile,Yes,0.56149,130,211,0.49438,0.62861
2011,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.30496,81,211,0.24269,0.36723
2011,Baden-Wuerttemberg,1st Quintile,Yes,0.43145,122,196,0.36193,0.50097
2011,Baden-Wuerttemberg,1st Quintile,No,0.13258,74,196,0.08498,0.18018
2011,Baden-Wuerttemberg,2nd Quintile,Yes,0.46202,141,244,0.39933,0.52470
2011,Baden-Wuerttemberg,2nd Quintile,No,0.19502,103,244,0.14520,0.24484
2011,Baden-Wuerttemberg,3rd Quintile,Yes,0.40043,190,341,0.34835,0.45251
2011,Baden-Wuerttemberg,3rd Quintile,No,0.34260,151,341,0.29215,0.39305
2011,Baden-Wuerttemberg,4th Quintile,Yes,0.41750,240,446,0.37168,0.46332
2011,Baden-Wuerttemberg,4th Quintile,No,0.32899,206,446,0.28533,0.37264
2011,Baden-Wuerttemberg,5th Quintile,Yes,0.48051,317,581,0.43984,0.52117
2011,Baden-Wuerttemberg,5th Quintile,No,0.35247,264,581,0.31359,0.39135
2011,Bavaria,1st Quintile,Yes,0.50425,198,274,0.44494,0.56356
2011,Bavaria,1st Quintile,No,0.17655,76,274,0.13132,0.22178
2011,Bavaria,2nd Quintile,Yes,0.44697,199,315,0.39198,0.50196
2011,Bavaria,2nd Quintile,No,0.19712,116,315,0.15312,0.24113
2011,Bavaria,3rd Quintile,Yes,0.47050,268,441,0.42386,0.51714
2011,Bavaria,3rd Quintile,No,0.29771,173,441,0.25498,0.34043
2011,Bavaria,4th Quintile,Yes,0.46604,295,492,0.42192,0.51016
2011,Bavaria,4th Quintile,No,0.32066,197,492,0.27937,0.36194
2011,Bavaria,5th Quintile,Yes,0.51831,430,697,0.48119,0.55543
2011,Bavaria,5th Quintile,No,0.32378,267,697,0.28902,0.35854
2011,Berlin,1st Quintile,Yes,0.45965,62,101,0.36197,0.55733
2011,Berlin,1st Quintile,No,0.19818,39,101,0.12005,0.27631
2011,Berlin,2nd Quintile,Yes,0.56201,69,103,0.46572,0.65829
2011,Berlin,2nd Quintile,No,0.27013,34,103,0.18395,0.35630
2011,Berlin,3rd Quintile,Yes,0.62443,83,117,0.53630,0.71256
2011,Berlin,3rd Quintile,No,0.21117,34,117,0.13690,0.28544
2011,Berlin,4th Quintile,Yes,0.56261,87,131,0.47733,0.64788
2011,Berlin,4th Quintile,No,0.24547,44,131,0.17149,0.31945
2011,Berlin,5th Quintile,Yes,0.50280,80,146,0.42141,0.58418
2011,Berlin,5th Quintile,No,0.40451,66,146,0.32463,0.48440
2011,Brandenburg,1st Quintile,Yes,0.43634,83,137,0.35299,0.51969
2011,Brandenburg,1st Quintile,No,0.20885,54,137,0.14054,0.27717
2011,Brandenburg,2nd Quintile,Yes,0.54944,110,152,0.47008,0.62881
2011,Brandenburg,2nd Quintile,No,0.21818,42,152,0.15230,0.28405
2011,Brandenburg,3rd Quintile,Yes,0.59014,112,154,0.51221,0.66807
2011,Brandenburg,3rd Quintile,No,0.23723,42,154,0.16983,0.30464
2011,Brandenburg,4th Quintile,Yes,0.57254,69,110,0.47967,0.66542
2011,Brandenburg,4th Quintile,No,0.25246,41,110,0.17090,0.33402
2011,Brandenburg,5th Quintile,Yes,0.46607,61,102,0.36878,0.56336
2011,Brandenburg,5th Quintile,No,0.36733,41,102,0.27332,0.46135
2011,Mecklenburg-Western Pomerania,1st Quintile,Yes,0.48690,59,97,0.38692,0.58689
2011,Mecklenburg-Western Pomerania,1st Quintile,No,0.18806,38,97,0.10989,0.26623
2011,Mecklenburg-Western Pomerania,2nd Quintile,Yes,0.57124,59,59,0.44387,0.69861
2011,Mecklenburg-Western Pomerania,3rd Quintile,Yes,0.61779,49,49,0.48032,0.75526
2011,Mecklenburg-Western Pomerania,4th Quintile,Yes,0.48457,46,81,0.37505,0.59408
2011,Mecklenburg-Western Pomerania,4th Quintile,No,0.38116,35,81,0.27473,0.48759
2011,Mecklenburg-Western Pomerania,5th Quintile,Yes,0.49062,37,37,0.32732,0.65393
2011,Saxony,1st Quintile,Yes,0.44558,155,246,0.38334,0.50781
2011,Saxony,1st Quintile,No,0.24329,91,246,0.18956,0.29701
2011,Saxony,2nd Quintile,Yes,0.52158,204,314,0.46624,0.57693
2011,Saxony,2nd Quintile,No,0.30419,110,314,0.25323,0.35516
2011,Saxony,3rd Quintile,Yes,0.53939,183,291,0.48202,0.59676
2011,Saxony,3rd Quintile,No,0.28384,108,291,0.23194,0.33573
2011,Saxony,4th Quintile,Yes,0.53302,110,181,0.46014,0.60591
2011,Saxony,4th Quintile,No,0.24379,71,181,0.18107,0.30652
2011,Saxony,5th Quintile,Yes,0.50655,65,121,0.41710,0.59600
2011,Saxony,5th Quintile,No,0.30791,56,121,0.22531,0.39050
2011,Saxony-Anhalt,1st Quintile,Yes,0.47394,92,150,0.39377,0.55412
2011,Saxony-Anhalt,1st Quintile,No,0.24513,58,150,0.17606,0.31420
2011,Saxony-Anhalt,2nd Quintile,Yes,0.58298,123,172,0.50908,0.65689
2011,Saxony-Anhalt,2nd Quintile,No,0.24640,49,172,0.18181,0.31098
2011,Saxony-Anhalt,3rd Quintile,Yes,0.53841,84,129,0.45205,0.62478
2011,Saxony-Anhalt,3rd Quintile,No,0.25281,45,129,0.17752,0.32810
2011,Saxony-Anhalt,4th Quintile,Yes,0.51392,77,123,0.42523,0.60261
2011,Saxony-Anhalt,4th Quintile,No,0.32095,46,123,0.23811,0.40380
2011,Saxony-Anhalt,5th Quintile,Yes,0.56400,57,92,0.46212,0.66589
2011,Saxony-Anhalt,5th Quintile,No,0.31661,35,92,0.22104,0.41219
2011,Thuringa,1st Quintile,Yes,0.55492,106,155,0.47643,0.63341
2011,Thuringa,1st Quintile,No,0.19420,49,155,0.13172,0.25668
2011,Thuringa,2nd Quintile,Yes,0.49351,122,188,0.42185,0.56516
2011,Thuringa,2nd Quintile,No,0.32236,66,188,0.25537,0.38935
2011,Thuringa,3rd Quintile,Yes,0.51399,78,128,0.42706,0.60092
2011,Thuringa,3rd Quintile,No,0.21856,50,128,0.14669,0.29044
2011,Thuringa,4th Quintile,Yes,0.41750,74,135,0.33400,0.50100
2011,Thuringa,4th Quintile,No,0.42573,61,135,0.34201,0.50945
2011,Thuringa,5th Quintile,Yes,0.37528,37,75,0.26496,0.48560
2011,Thuringa,5th Quintile,No,0.33198,38,75,0.22468,0.43927
2013,Schleswig-Holstein,1st Quintile,Yes,0.43647,73,121,0.34773,0.52520
2013,Schleswig-Holstein,1st Quintile,No,0.22282,48,121,0.14836,0.29728
2013,Schleswig-Holstein,2nd Quintile,Yes,0.53723,58,92,0.43478,0.63968
2013,Schleswig-Holstein,2nd Quintile,No,0.18357,34,92,0.10403,0.26312
2013,Schleswig-Holstein,3rd Quintile,Yes,0.49067,88,133,0.40539,0.57595
2013,Schleswig-Holstein,3rd Quintile,No,0.35077,45,133,0.26936,0.43218
2013,Schleswig-Holstein,4th Quintile,Yes,0.47504,85,136,0.39081,0.55928
2013,Schleswig-Holstein,4th Quintile,No,0.30171,51,136,0.22428,0.37913
2013,Schleswig-Holstein,5th Quintile,Yes,0.57253,80,80,0.46344,0.68162
2013,Hamburg,2nd Quintile,Yes,0.51076,42,42,0.35775,0.66378
2013,Hamburg,3rd Quintile,Yes,0.57235,32,32,0.39819,0.74651
2013,Hamburg,4th Quintile,Yes,0.50927,39,71,0.39216,0.62638
2013,Hamburg,4th Quintile,No,0.36626,32,71,0.25340,0.47913
2013,Hamburg,5th Quintile,Yes,0.53024,50,81,0.42088,0.63961
2013,Hamburg,5th Quintile,No,0.37196,31,81,0.26604,0.47787
2013,Lower Saxony,1st Quintile,Yes,0.46897,192,271,0.40944,0.52849
2013,Lower Saxony,1st Quintile,No,0.20248,79,271,0.15454,0.25041
2013,Lower Saxony,2nd Quintile,Yes,0.49437,193,278,0.43549,0.55325
2013,Lower Saxony,2nd Quintile,No,0.19938,85,278,0.15233,0.24643
2013,Lower Saxony,3rd Quintile,Yes,0.54223,211,326,0.48806,0.59639
2013,Lower Saxony,3rd Quintile,No,0.24630,115,326,0.19946,0.29315
2013,Lower Saxony,4th Quintile,Yes,0.51870,252,405,0.46997,0.56742
2013,Lower Saxony,4th Quintile,No,0.30805,153,405,0.26303,0.35307
2013,Lower Saxony,5th Quintile,Yes,0.58573,315,488,0.54198,0.62948
2013,Lower Saxony,5th Quintile,No,0.28594,173,488,0.24581,0.32607
2013,North Rhine-Westphalia,1st Quintile,Yes,0.47420,392,623,0.43496,0.51344
2013,North Rhine-Westphalia,1st Quintile,No,0.20192,231,623,0.17038,0.23347
2013,North Rhine-Westphalia,2nd Quintile,Yes,0.48643,358,563,0.44511,0.52776
2013,North Rhine-Westphalia,2nd Quintile,No,0.24252,205,563,0.20708,0.27796
2013,North Rhine-Westphalia,3rd Quintile,Yes,0.53577,417,616,0.49635,0.57518
2013,North Rhine-Westphalia,3rd Quintile,No,0.20468,199,616,0.17280,0.23657
2013,North Rhine-Westphalia,4th Quintile,Yes,0.51572,469,780,0.48062,0.55081
2013,North Rhine-Westphalia,4th Quintile,No,0.31166,311,780,0.27913,0.34418
2013,North Rhine-Westphalia,5th Quintile,Yes,0.54741,692,1103,0.51802,0.57680
2013,North Rhine-Westphalia,5th Quintile,No,0.30710,411,1103,0.27986,0.33434
2013,Hesse,1st Quintile,Yes,0.53557,116,161,0.45829,0.61285
2013,Hesse,1st Quintile,No,0.11955,45,161,0.06928,0.16982
2013,Hesse,2nd Quintile,Yes,0.55234,134,203,0.48377,0.62092
2013,Hesse,2nd Quintile,No,0.20052,69,203,0.14531,0.25574
2013,Hesse,3rd Quintile,Yes,0.53045,156,222,0.46465,0.59624
2013,Hesse,3rd Quintile,No,0.22202,66,222,0.16722,0.27681
2013,Hesse,4th Quintile,Yes,0.50930,149,224,0.44369,0.57492
2013,Hesse,4th Quintile,No,0.23828,75,224,0.18236,0.29420
2013,Hesse,5th Quintile,Yes,0.49710,290,469,0.45180,0.54240
2013,Hesse,5th Quintile,No,0.33345,179,469,0.29074,0.37616
2013,"Rhineland-Palatinate, Saarland",1st Quintile,Yes,0.44077,121,189,0.36980,0.51174
