year,age_gr,sex,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,17-29 y.,male,Yes,0.20824,377,1444,0.18729,0.22919
2011,17-29 y.,male,No,0.62705,1067,1444,0.60210,0.65200
2011,17-29 y.,female,Yes,0.26306,482,1502,0.24078,0.28533
2011,17-29 y.,female,No,0.53361,1020,1502,0.50838,0.55885
2011,30-45 y.,male,Yes,0.34646,853,2158,0.32638,0.36655
2011,30-45 y.,male,No,0.45747,1305,2158,0.43644,0.47849
2011,30-45 y.,female,Yes,0.35505,1199,2625,0.33674,0.37336
2011,30-45 y.,female,No,0.39180,1426,2625,0.37313,0.41048
2011,46-65 y.,male,Yes,0.62516,2383,3624,0.60939,0.64092
2011,46-65 y.,male,No,0.31847,1241,3624,0.30330,0.33364
2011,46-65 y.,female,Yes,0.68146,2800,4068,0.66714,0.69578
2011,46-65 y.,female,No,0.27075,1268,4068,0.25709,0.28440
2011,66 and older,male,Yes,0.82455,2026,2431,0.80943,0.83968
2011,66 and older,male,No,0.15929,405,2431,0.14474,0.17384
2011,66 and older,female,Yes,0.88097,2316,2646,0.86863,0.89331
2011,66 and older,female,No,0.11138,330,2646,0.09939,0.12337
2013,17-29 y.,male,Yes,0.17436,342,1217,0.15304,0.19569
2013,17-29 y.,male,No,0.51158,875,1217,0.48348,0.53967
2013,17-29 y.,female,Yes,0.25314,469,1284,0.22935,0.27693
2013,17-29 y.,female,No,0.41320,815,1284,0.38625,0.44014
2013,30-45 y.,male,Yes,0.30262,749,1788,0.28132,0.32392
2013,30-45 y.,male,No,0.38869,1039,1788,0.36609,0.41130
2013,30-45 y.,female,Yes,0.32643,1075,2229,0.30696,0.34590
2013,30-45 y.,female,No,0.32169,1154,2229,0.30229,0.34109
2013,46-65 y.,male,Yes,0.62508,2317,3380,0.60875,0.64140
2013,46-65 y.,male,No,0.26603,1063,3380,0.25113,0.28093
2013,46-65 y.,female,Yes,0.65708,2789,3894,0.64217,0.67199
2013,46-65 y.,female,No,0.24552,1105,3894,0.23200,0.25904
2013,66 and older,male,Yes,0.84996,2035,2372,0.83558,0.86433
2013,66 and older,male,No,0.13497,337,2372,0.12122,0.14873
2013,66 and older,female,Yes,0.87858,2244,2537,0.86587,0.89130
2013,66 and older,female,No,0.10950,293,2537,0.09735,0.12166
2015,17-29 y.,male,Yes,0.21873,471,1862,0.19995,0.23751
2015,17-29 y.,male,No,0.66388,1391,1862,0.64242,0.68534
2015,17-29 y.,female,Yes,0.33627,757,2015,0.31564,0.35691
2015,17-29 y.,female,No,0.52867,1258,2015,0.50687,0.55047
2015,30-45 y.,male,Yes,0.36828,1175,3006,0.35103,0.38553
2015,30-45 y.,male,No,0.55509,1831,3006,0.53732,0.57286
2015,30-45 y.,female,Yes,0.48690,2077,4262,0.47189,0.50191
2015,30-45 y.,female,No,0.46110,2185,4262,0.44613,0.47606
2015,46-65 y.,male,Yes,0.66408,2640,4102,0.64963,0.67854
2015,46-65 y.,male,No,0.31641,1462,4102,0.30217,0.33064
2015,46-65 y.,female,Yes,0.70171,3242,4695,0.68863,0.71480
2015,46-65 y.,female,No,0.28282,1453,4695,0.26994,0.29571
2015,66 and older,male,Yes,0.86120,2060,2378,0.84730,0.87510
2015,66 and older,male,No,0.13306,318,2378,0.11940,0.14671
2015,66 and older,female,Yes,0.87208,2200,2486,0.85894,0.88521
2015,66 and older,female,No,0.11768,286,2486,0.10501,0.13035
2017,17-29 y.,male,Yes,0.27438,622,2117,0.25537,0.29339
2017,17-29 y.,male,No,0.61789,1495,2117,0.59719,0.63860
2017,17-29 y.,female,Yes,0.33184,816,2202,0.31217,0.35151
2017,17-29 y.,female,No,0.57741,1386,2202,0.55677,0.59805
2017,30-45 y.,male,Yes,0.40920,1254,3031,0.39170,0.42671
2017,30-45 y.,male,No,0.56645,1777,3031,0.54880,0.58409
2017,30-45 y.,female,Yes,0.47483,1994,4173,0.45968,0.48998
2017,30-45 y.,female,No,0.50585,2179,4173,0.49067,0.52102
2017,46-65 y.,male,Yes,0.69789,3079,4588,0.68460,0.71118
2017,46-65 y.,male,No,0.28993,1509,4588,0.27680,0.30307
2017,46-65 y.,female,Yes,0.72447,3751,5322,0.71247,0.73648
2017,46-65 y.,female,No,0.26760,1571,5322,0.25571,0.27950
2017,66 and older,male,Yes,0.85816,2102,2445,0.84432,0.87199
2017,66 and older,male,No,0.13837,343,2445,0.12468,0.15206
2017,66 and older,female,Yes,0.88406,2222,2495,0.87149,0.89662
2017,66 and older,female,No,0.10796,273,2495,0.09578,0.12014
2019,17-29 y.,male,Yes,0.31358,607,1845,0.29241,0.33476
2019,17-29 y.,male,No,0.56813,1238,1845,0.54552,0.59074
2019,17-29 y.,female,Yes,0.41406,853,1957,0.39223,0.43589
2019,17-29 y.,female,No,0.49173,1104,1957,0.46958,0.51389
2019,30-45 y.,male,Yes,0.44555,1234,2670,0.42669,0.46441
2019,30-45 y.,male,No,0.52381,1436,2670,0.50487,0.54276
2019,30-45 y.,female,Yes,0.52982,1944,3549,0.51340,0.54624
2019,30-45 y.,female,No,0.44965,1605,3549,0.43328,0.46602
2019,46-65 y.,male,Yes,0.71870,3435,5041,0.70629,0.73111
2019,46-65 y.,male,No,0.26616,1606,5041,0.25396,0.27836
2019,46-65 y.,female,Yes,0.77093,3958,5287,0.75960,0.78225
2019,46-65 y.,female,No,0.21468,1329,5287,0.20361,0.22575
2019,66 and older,male,Yes,0.88581,2310,2612,0.87361,0.89801
2019,66 and older,male,No,0.10814,302,2612,0.09623,0.12006
2019,66 and older,female,Yes,0.90367,2289,2548,0.89221,0.91513
2019,66 and older,female,No,0.09174,259,2548,0.08053,0.10295
2021,17-29 y.,male,Yes,0.32226,487,1626,0.29954,0.34498
2021,17-29 y.,male,No,0.61012,1139,1626,0.58641,0.63383
2021,17-29 y.,female,Yes,0.40600,638,1550,0.38154,0.43045
2021,17-29 y.,female,No,0.50525,912,1550,0.48035,0.53015
2021,30-45 y.,male,Yes,0.45247,994,2440,0.43272,0.47222
2021,30-45 y.,male,No,0.52984,1446,2440,0.51003,0.54965
2021,30-45 y.,female,Yes,0.56551,1555,2764,0.54703,0.58400
2021,30-45 y.,female,No,0.41987,1209,2764,0.40147,0.43828
2021,46-65 y.,male,Yes,0.71747,2332,3433,0.70240,0.73253
2021,46-65 y.,male,No,0.27467,1101,3433,0.25974,0.28960
2021,46-65 y.,female,Yes,0.76946,2890,3780,0.75603,0.78289
2021,46-65 y.,female,No,0.22015,890,3780,0.20694,0.23336
2021,66 and older,male,Yes,0.88237,1563,1791,0.86745,0.89729
2021,66 and older,male,No,0.10960,228,1791,0.09513,0.12408
2021,66 and older,female,Yes,0.91885,1599,1773,0.90613,0.93156
2021,66 and older,female,No,0.07224,174,1773,0.06019,0.08430
