year,bula_h,regtyp,chronill,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2013,Baden-Wuerttemberg,Urban regions,Yes,0.62558,1125,18639,0.62520,0.62596
2013,Baden-Wuerttemberg,Urban regions,No,0.37442,768,18639,0.37404,0.37480
2013,Baden-Wuerttemberg,Rural regions,Yes,0.57188,133,18639,0.57079,0.57296
2013,Baden-Wuerttemberg,Rural regions,No,0.42812,77,18639,0.42704,0.42921
2013,Bavaria,Urban regions,Yes,0.64971,855,18639,0.64925,0.65018
2013,Bavaria,Urban regions,No,0.35029,493,18639,0.34982,0.35075
2013,Bavaria,Rural regions,Yes,0.67467,995,18639,0.67422,0.67511
2013,Bavaria,Rural regions,No,0.32533,550,18639,0.32489,0.32578
2013,Berlin,Urban regions,Yes,0.67297,501,18639,0.67237,0.67357
2013,Berlin,Urban regions,No,0.32703,258,18639,0.32643,0.32763
2013,Brandenburg,Urban regions,Yes,1.00000,45,18639,1.00000,1.00000
2013,Brandenburg,Rural regions,Yes,0.63770,468,18639,0.63696,0.63843
2013,Brandenburg,Rural regions,No,0.36230,243,18639,0.36157,0.36304
2013,Mecklenburg-Western Pomerania,Rural regions,Yes,0.71308,277,18639,0.71223,0.71393
2013,Mecklenburg-Western Pomerania,Rural regions,No,0.28692,136,18639,0.28607,0.28777
2013,Saxony,Urban regions,Yes,0.66501,449,18639,0.66428,0.66575
2013,Saxony,Urban regions,No,0.33499,216,18639,0.33425,0.33572
2013,Saxony,Rural regions,Yes,0.63434,430,18639,0.63365,0.63503
2013,Saxony,Rural regions,No,0.36566,229,18639,0.36497,0.36635
2013,Saxony-Anhalt,Urban regions,Yes,0.72882,132,18639,0.72728,0.73037
2013,Saxony-Anhalt,Urban regions,No,0.27118,45,18639,0.26963,0.27272
2013,Saxony-Anhalt,Rural regions,Yes,0.68509,393,18639,0.68433,0.68586
2013,Saxony-Anhalt,Rural regions,No,0.31491,184,18639,0.31414,0.31567
2013,Thuringa,Urban regions,Yes,0.56397,140,18639,0.56260,0.56534
2013,Thuringa,Urban regions,No,0.43603,89,18639,0.43466,0.43740
2013,Thuringa,Rural regions,Yes,0.64705,364,18639,0.64619,0.64792
2013,Thuringa,Rural regions,No,0.35295,202,18639,0.35208,0.35381
2015,Schleswig-Holstein,Urban regions,Yes,0.64376,144,24781,0.64260,0.64492
2015,Schleswig-Holstein,Urban regions,No,0.35624,96,24781,0.35508,0.35740
2015,Schleswig-Holstein,Rural regions,Yes,0.65866,406,24781,0.65795,0.65937
2015,Schleswig-Holstein,Rural regions,No,0.34134,224,24781,0.34063,0.34205
2015,Hamburg,Urban regions,Yes,0.62206,226,24781,0.62127,0.62284
2015,Hamburg,Urban regions,No,0.37794,198,24781,0.37716,0.37873
2015,Lower Saxony,Urban regions,Yes,0.60804,549,24781,0.60744,0.60863
2015,Lower Saxony,Urban regions,No,0.39196,420,24781,0.39137,0.39256
2015,Lower Saxony,Rural regions,Yes,0.66222,865,24781,0.66175,0.66270
2015,Lower Saxony,Rural regions,No,0.33778,569,24781,0.33730,0.33825
2015,Bremen,Urban regions,Yes,0.64535,101,24781,0.64410,0.64661
2015,Bremen,Urban regions,No,0.35465,70,24781,0.35339,0.35590
2015,North Rhine-Westphalia,Urban regions,Yes,0.62985,2909,24781,0.62960,0.63010
2015,North Rhine-Westphalia,Urban regions,No,0.37015,2106,24781,0.36990,0.37040
2015,North Rhine-Westphalia,Rural regions,Yes,0.61618,62,24781,0.61452,0.61784
2015,North Rhine-Westphalia,Rural regions,No,0.38382,43,24781,0.38216,0.38548
2015,Hesse,Urban regions,Yes,0.57425,773,24781,0.57375,0.57474
2015,Hesse,Urban regions,No,0.42575,591,24781,0.42526,0.42625
2015,Hesse,Rural regions,Yes,0.72220,208,24781,0.72130,0.72311
2015,Hesse,Rural regions,No,0.27780,116,24781,0.27689,0.27870
2015,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.62263,633,24781,0.62208,0.62318
2015,"Rhineland-Palatinate, Saarland",Urban regions,No,0.37737,459,24781,0.37682,0.37792
2015,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.62086,223,24781,0.61990,0.62182
2015,"Rhineland-Palatinate, Saarland",Rural regions,No,0.37914,166,24781,0.37818,0.38010
2015,Baden-Wuerttemberg,Urban regions,Yes,0.59631,1447,24781,0.59596,0.59665
2015,Baden-Wuerttemberg,Urban regions,No,0.40369,1178,24781,0.40335,0.40404
2015,Baden-Wuerttemberg,Rural regions,Yes,0.49068,163,24781,0.48967,0.49168
2015,Baden-Wuerttemberg,Rural regions,No,0.50932,161,24781,0.50832,0.51033
2015,Bavaria,Urban regions,Yes,0.60529,1024,24781,0.60485,0.60572
2015,Bavaria,Urban regions,No,0.39471,771,24781,0.39428,0.39515
2015,Bavaria,Rural regions,Yes,0.63630,1235,24781,0.63588,0.63672
2015,Bavaria,Rural regions,No,0.36370,963,24781,0.36328,0.36412
2015,Berlin,Urban regions,Yes,0.67148,567,24781,0.67092,0.67204
