year,quintil_oecd,sampreg,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,1st Quintile,West,Yes,0.44983,1066,1617,0.42558,0.47409
2011,1st Quintile,West,No,0.19355,551,1617,0.17429,0.21281
2011,1st Quintile,East,Yes,0.47802,523,836,0.44414,0.51191
2011,1st Quintile,East,No,0.22037,313,836,0.19226,0.24849
2011,2nd Quintile,West,Yes,0.45769,1053,1713,0.43409,0.48129
2011,2nd Quintile,West,No,0.23004,660,1713,0.21011,0.24998
2011,2nd Quintile,East,Yes,0.53603,662,981,0.50481,0.56726
2011,2nd Quintile,East,No,0.28324,319,981,0.25503,0.31145
2011,3rd Quintile,West,Yes,0.47904,1323,2192,0.45812,0.49996
2011,3rd Quintile,West,No,0.28182,869,2192,0.26298,0.30066
2011,3rd Quintile,East,Yes,0.56284,554,840,0.52928,0.59641
2011,3rd Quintile,East,No,0.25423,286,840,0.22477,0.28370
2011,4th Quintile,West,Yes,0.47258,1499,2553,0.45321,0.49195
2011,4th Quintile,West,No,0.30346,1054,2553,0.28562,0.32129
2011,4th Quintile,East,Yes,0.51641,413,688,0.47904,0.55378
2011,4th Quintile,East,No,0.30151,275,688,0.26720,0.33583
2011,5th Quintile,West,Yes,0.49680,2071,3526,0.48030,0.51331
2011,5th Quintile,West,No,0.34084,1455,3526,0.32519,0.35649
2011,5th Quintile,East,Yes,0.50089,283,505,0.45723,0.54454
2011,5th Quintile,East,No,0.33792,222,505,0.29662,0.37921
2013,1st Quintile,West,Yes,0.49538,1375,2057,0.47377,0.51699
2013,1st Quintile,West,No,0.18882,682,2057,0.17191,0.20574
2013,1st Quintile,East,Yes,0.47282,647,1015,0.44209,0.50355
2013,1st Quintile,East,No,0.25732,368,1015,0.23041,0.28422
2013,2nd Quintile,West,Yes,0.48625,1492,2306,0.46585,0.50665
2013,2nd Quintile,West,No,0.23178,814,2306,0.21455,0.24901
2013,2nd Quintile,East,Yes,0.56367,780,1112,0.53450,0.59283
2013,2nd Quintile,East,No,0.22996,332,1112,0.20521,0.25470
2013,3rd Quintile,West,Yes,0.52258,1738,2646,0.50355,0.54162
2013,3rd Quintile,West,No,0.24096,908,2646,0.22466,0.25726
2013,3rd Quintile,East,Yes,0.55150,648,933,0.51957,0.58343
2013,3rd Quintile,East,No,0.28742,285,933,0.25836,0.31647
2013,4th Quintile,West,Yes,0.51391,1917,3101,0.49632,0.53151
2013,4th Quintile,West,No,0.29728,1184,3101,0.28119,0.31337
2013,4th Quintile,East,Yes,0.53773,497,771,0.50251,0.57295
2013,4th Quintile,East,No,0.30090,274,771,0.26850,0.33329
2013,5th Quintile,West,Yes,0.51605,2564,4163,0.50086,0.53123
2013,5th Quintile,West,No,0.33084,1599,4163,0.31654,0.34513
2013,5th Quintile,East,Yes,0.53490,360,593,0.49472,0.57508
2013,5th Quintile,East,No,0.33717,233,593,0.29909,0.37526
2015,1st Quintile,West,Yes,0.50485,2208,3749,0.48885,0.52086
2015,1st Quintile,West,No,0.27200,1541,3749,0.25775,0.28625
2015,1st Quintile,East,Yes,0.55727,808,1286,0.53011,0.58443
2015,1st Quintile,East,No,0.25908,478,1286,0.23512,0.28303
2015,2nd Quintile,West,Yes,0.53445,2169,3730,0.51844,0.55046
2015,2nd Quintile,West,No,0.27250,1561,3730,0.25821,0.28679
2015,2nd Quintile,East,Yes,0.58843,987,1463,0.56321,0.61366
2015,2nd Quintile,East,No,0.26776,476,1463,0.24506,0.29045
2015,3rd Quintile,West,Yes,0.50635,2112,3761,0.49037,0.52233
2015,3rd Quintile,West,No,0.31667,1649,3761,0.30180,0.33154
2015,3rd Quintile,East,Yes,0.58646,686,1035,0.55644,0.61648
2015,3rd Quintile,East,No,0.26512,349,1035,0.23822,0.29203
2015,4th Quintile,West,Yes,0.52985,2254,3912,0.51421,0.54550
2015,4th Quintile,West,No,0.32521,1658,3912,0.31053,0.33989
2015,4th Quintile,East,Yes,0.51210,501,811,0.47768,0.54653
2015,4th Quintile,East,No,0.34131,310,811,0.30866,0.37396
2015,5th Quintile,West,Yes,0.50596,2540,4456,0.49128,0.52064
2015,5th Quintile,West,No,0.37986,1916,4456,0.36561,0.39411
2015,5th Quintile,East,Yes,0.50754,355,599,0.46747,0.54761
2015,5th Quintile,East,No,0.36761,244,599,0.32896,0.40625
2017,1st Quintile,West,Yes,0.49560,2020,3471,0.47897,0.51224
2017,1st Quintile,West,No,0.25909,1451,3471,0.24451,0.27367
2017,1st Quintile,East,Yes,0.53630,754,1207,0.50815,0.56444
2017,1st Quintile,East,No,0.25824,453,1207,0.23354,0.28294
2017,2nd Quintile,West,Yes,0.53751,2043,3505,0.52100,0.55402
2017,2nd Quintile,West,No,0.27410,1462,3505,0.25933,0.28887
2017,2nd Quintile,East,Yes,0.59211,854,1263,0.56500,0.61922
2017,2nd Quintile,East,No,0.24640,409,1263,0.22262,0.27017
2017,3rd Quintile,West,Yes,0.52445,1970,3384,0.50762,0.54128
