year,quintil_oecd,sex,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,1st Quintile,male,Yes,0.39917,623,1028,0.36922,0.42912
2011,1st Quintile,male,No,0.24167,405,1028,0.21549,0.26785
2011,1st Quintile,female,Yes,0.50377,966,1425,0.47780,0.52974
2011,1st Quintile,female,No,0.16674,459,1425,0.14738,0.18610
2011,2nd Quintile,male,Yes,0.43038,730,1205,0.40241,0.45835
2011,2nd Quintile,male,No,0.27152,475,1205,0.24640,0.29664
2011,2nd Quintile,female,Yes,0.51485,985,1489,0.48945,0.54024
2011,2nd Quintile,female,No,0.21655,504,1489,0.19562,0.23748
2011,3rd Quintile,male,Yes,0.44108,854,1442,0.41544,0.46672
2011,3rd Quintile,male,No,0.30835,588,1442,0.28451,0.33219
2011,3rd Quintile,female,Yes,0.54974,1023,1590,0.52527,0.57420
2011,3rd Quintile,female,No,0.24473,567,1590,0.22359,0.26587
2011,4th Quintile,male,Yes,0.47198,936,1636,0.44779,0.49618
2011,4th Quintile,male,No,0.32198,700,1636,0.29933,0.34463
2011,4th Quintile,female,Yes,0.48747,976,1605,0.46301,0.51193
2011,4th Quintile,female,No,0.28334,629,1605,0.26128,0.30539
2011,5th Quintile,male,Yes,0.47487,1161,2014,0.45306,0.49669
2011,5th Quintile,male,No,0.36976,853,2014,0.34867,0.39085
2011,5th Quintile,female,Yes,0.52188,1193,2017,0.50008,0.54369
2011,5th Quintile,female,No,0.30820,824,2017,0.28804,0.32836
2013,1st Quintile,male,Yes,0.44189,788,1275,0.41462,0.46916
2013,1st Quintile,male,No,0.25213,487,1275,0.22829,0.27598
2013,1st Quintile,female,Yes,0.52636,1234,1797,0.50326,0.54945
2013,1st Quintile,female,No,0.17336,563,1797,0.15585,0.19086
2013,2nd Quintile,male,Yes,0.45446,949,1521,0.42942,0.47949
2013,2nd Quintile,male,No,0.26187,572,1521,0.23977,0.28397
2013,2nd Quintile,female,Yes,0.54756,1323,1897,0.52516,0.56996
2013,2nd Quintile,female,No,0.20435,574,1897,0.18620,0.22250
2013,3rd Quintile,male,Yes,0.50940,1115,1700,0.48563,0.53317
2013,3rd Quintile,male,No,0.25611,585,1700,0.23536,0.27687
2013,3rd Quintile,female,Yes,0.54717,1271,1879,0.52466,0.56969
2013,3rd Quintile,female,No,0.24474,608,1879,0.22529,0.26418
2013,4th Quintile,male,Yes,0.49235,1129,1880,0.46974,0.51496
2013,4th Quintile,male,No,0.32326,751,1880,0.30211,0.34440
2013,4th Quintile,female,Yes,0.54310,1285,1992,0.52122,0.56498
2013,4th Quintile,female,No,0.27186,707,1992,0.25232,0.29141
2013,5th Quintile,male,Yes,0.49551,1461,2379,0.47541,0.51560
2013,5th Quintile,male,No,0.34977,918,2379,0.33061,0.36894
2013,5th Quintile,female,Yes,0.54236,1463,2377,0.52233,0.56239
2013,5th Quintile,female,No,0.31120,914,2377,0.29258,0.32981
2015,1st Quintile,male,Yes,0.46255,1118,2082,0.44113,0.48397
2015,1st Quintile,male,No,0.30257,964,2082,0.28284,0.32231
2015,1st Quintile,female,Yes,0.56491,1898,2953,0.54702,0.58279
2015,1st Quintile,female,No,0.23952,1055,2953,0.22412,0.25491
