year,quintil_oecd_hh,hlf0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,1st Quintile,Yes,0.48639,1230,2217,0.46558,0.50720
2001,1st Quintile,No,0.51361,987,2217,0.49280,0.53442
2001,2nd Quintile,Yes,0.70024,1892,2444,0.68207,0.71840
2001,2nd Quintile,No,0.29976,552,2444,0.28160,0.31793
2001,3rd Quintile,Yes,0.79601,2072,2429,0.77998,0.81203
2001,3rd Quintile,No,0.20399,357,2429,0.18797,0.22002
2001,4th Quintile,Yes,0.87003,2138,2359,0.85645,0.88360
2001,4th Quintile,No,0.12997,221,2359,0.11640,0.14355
2001,5th Quintile,Yes,0.92982,2060,2177,0.91909,0.94055
2001,5th Quintile,No,0.07018,117,2177,0.05945,0.08091
2003,1st Quintile,Yes,0.47354,1082,2034,0.45183,0.49524
2003,1st Quintile,No,0.52646,952,2034,0.50476,0.54817
2003,2nd Quintile,Yes,0.70856,1699,2199,0.68956,0.72756
2003,2nd Quintile,No,0.29144,500,2199,0.27244,0.31044
2003,3rd Quintile,Yes,0.80352,1894,2226,0.78701,0.82003
2003,3rd Quintile,No,0.19648,332,2226,0.17997,0.21299
2003,4th Quintile,Yes,0.86681,2049,2269,0.85283,0.88080
2003,4th Quintile,No,0.13319,220,2269,0.11920,0.14717
2003,5th Quintile,Yes,0.92316,2898,3030,0.91368,0.93265
2003,5th Quintile,No,0.07684,132,3030,0.06735,0.08632
2005,1st Quintile,Yes,0.47467,1029,1954,0.45252,0.49681
2005,1st Quintile,No,0.52533,925,1954,0.50319,0.54748
2005,2nd Quintile,Yes,0.70990,1590,2059,0.69029,0.72950
2005,2nd Quintile,No,0.29010,469,2059,0.27050,0.30971
2005,3rd Quintile,Yes,0.79401,1759,2095,0.77669,0.81134
2005,3rd Quintile,No,0.20599,336,2095,0.18866,0.22331
2005,4th Quintile,Yes,0.87411,2009,2206,0.86026,0.88795
2005,4th Quintile,No,0.12589,197,2206,0.11205,0.13974
2005,5th Quintile,Yes,0.92578,2721,2838,0.91614,0.93543
2005,5th Quintile,No,0.07422,117,2838,0.06457,0.08386
2007,1st Quintile,Yes,0.48197,1041,1944,0.45975,0.50419
2007,1st Quintile,No,0.51803,903,1944,0.49581,0.54025
2007,2nd Quintile,Yes,0.69199,1580,2100,0.67223,0.71174
2007,2nd Quintile,No,0.30801,520,2100,0.28826,0.32777
2007,3rd Quintile,Yes,0.81433,1905,2209,0.79811,0.83055
2007,3rd Quintile,No,0.18567,304,2209,0.16945,0.20189
2007,4th Quintile,Yes,0.87745,2129,2323,0.86411,0.89079
2007,4th Quintile,No,0.12255,194,2323,0.10921,0.13589
2007,5th Quintile,Yes,0.92767,2712,2824,0.91812,0.93723
2007,5th Quintile,No,0.07233,112,2824,0.06277,0.08188
2011,1st Quintile,Yes,0.44467,1158,2244,0.42410,0.46523
2011,1st Quintile,No,0.55533,1086,2244,0.53477,0.57590
2011,2nd Quintile,Yes,0.70482,1685,2234,0.68591,0.72374
2011,2nd Quintile,No,0.29518,549,2234,0.27626,0.31409
2011,3rd Quintile,Yes,0.83568,2054,2367,0.82074,0.85061
2011,3rd Quintile,No,0.16432,313,2367,0.14939,0.17926
2011,4th Quintile,Yes,0.89372,2243,2432,0.88147,0.90597
2011,4th Quintile,No,0.10628,189,2432,0.09403,0.11853
2011,5th Quintile,Yes,0.93130,2649,2772,0.92188,0.94071
2011,5th Quintile,No,0.06870,123,2772,0.05929,0.07812
2013,1st Quintile,Yes,0.46512,1652,3040,0.44739,0.48286
2013,1st Quintile,No,0.53488,1388,3040,0.51714,0.55261
2013,2nd Quintile,Yes,0.68900,2097,2801,0.67186,0.70615
2013,2nd Quintile,No,0.31100,704,2801,0.29385,0.32814
2013,3rd Quintile,Yes,0.83578,2280,2627,0.82161,0.84995
2013,3rd Quintile,No,0.16422,347,2627,0.15005,0.17839
2013,4th Quintile,Yes,0.88224,2345,2589,0.86982,0.89466
2013,4th Quintile,No,0.11776,244,2589,0.10534,0.13018
2013,5th Quintile,Yes,0.93310,2724,2867,0.92395,0.94225
2013,5th Quintile,No,0.06690,143,2867,0.05775,0.07605
2016,1st Quintile,Yes,0.47404,1731,3089,0.45643,0.49165
2016,1st Quintile,No,0.52596,1358,3089,0.50835,0.54357
2016,2nd Quintile,Yes,0.72573,2406,3037,0.70986,0.74160
2016,2nd Quintile,No,0.27427,631,3037,0.25840,0.29014
2016,3rd Quintile,Yes,0.82544,2374,2741,0.81123,0.83965
2016,3rd Quintile,No,0.17456,367,2741,0.16035,0.18877
2016,4th Quintile,Yes,0.87937,2422,2656,0.86698,0.89176
2016,4th Quintile,No,0.12063,234,2656,0.10824,0.13302
2016,5th Quintile,Yes,0.94480,2627,2754,0.93627,0.95333
2016,5th Quintile,No,0.05520,127,2754,0.04667,0.06373
2017,Not included in this version of the questionnaire,No,0.66845,42,42,0.52435,0.81255
2017,1st Quintile,Yes,0.46555,2141,4842,0.45150,0.47960
2017,1st Quintile,No,0.53445,2701,4842,0.52040,0.54850
2017,2nd Quintile,Yes,0.71822,2588,3328,0.70293,0.73350
2017,2nd Quintile,No,0.28178,740,3328,0.26650,0.29707
2017,3rd Quintile,Yes,0.84257,2741,3105,0.82976,0.85539
2017,3rd Quintile,No,0.15743,364,3105,0.14461,0.17024
2017,4th Quintile,Yes,0.88820,2838,3044,0.87700,0.89940
2017,4th Quintile,No,0.11180,206,3044,0.10060,0.12300
2017,5th Quintile,Yes,0.93537,2938,3094,0.92671,0.94404
2017,5th Quintile,No,0.06463,156,3094,0.05596,0.07329
2018,Not included in this version of the questionnaire,Yes,0.23330,34,141,0.16324,0.30336
2018,Not included in this version of the questionnaire,No,0.76670,107,141,0.69664,0.83676
2018,1st Quintile,Yes,0.47775,2445,5362,0.46438,0.49113
2018,1st Quintile,No,0.52225,2917,5362,0.50887,0.53562
2018,2nd Quintile,Yes,0.73074,2668,3445,0.71592,0.74555
2018,2nd Quintile,No,0.26926,777,3445,0.25445,0.28408
2018,3rd Quintile,Yes,0.83623,2598,2995,0.82298,0.84949
2018,3rd Quintile,No,0.16377,397,2995,0.15051,0.17702
2018,4th Quintile,Yes,0.89254,2682,2899,0.88126,0.90381
2018,4th Quintile,No,0.10746,217,2899,0.09619,0.11874
2018,5th Quintile,Yes,0.94112,2845,3016,0.93272,0.94953
2018,5th Quintile,No,0.05888,171,3016,0.05047,0.06728
2019,1st Quintile,Yes,0.50602,1626,2942,0.48795,0.52409
2019,1st Quintile,No,0.49398,1316,2942,0.47591,0.51205
2019,2nd Quintile,Yes,0.73129,2401,3034,0.71551,0.74706
2019,2nd Quintile,No,0.26871,633,3034,0.25294,0.28449
2019,3rd Quintile,Yes,0.83102,2527,2875,0.81732,0.84472
2019,3rd Quintile,No,0.16898,348,2875,0.15528,0.18268
2019,4th Quintile,Yes,0.90165,2695,2925,0.89086,0.91245
2019,4th Quintile,No,0.09835,230,2925,0.08755,0.10914
2019,5th Quintile,Yes,0.93344,4128,4354,0.92604,0.94085
2019,5th Quintile,No,0.06656,226,4354,0.05915,0.07396
2021,1st Quintile,Yes,0.55096,1824,3242,0.53384,0.56809
2021,1st Quintile,No,0.44904,1418,3242,0.43191,0.46616
2021,2nd Quintile,Yes,0.76237,1869,2374,0.74525,0.77950
2021,2nd Quintile,No,0.23763,505,2374,0.22050,0.25475
2021,3rd Quintile,Yes,0.86386,1791,2074,0.84910,0.87862
2021,3rd Quintile,No,0.13614,283,2074,0.12138,0.15090
2021,4th Quintile,Yes,0.87849,1875,2099,0.86451,0.89247
2021,4th Quintile,No,0.12151,224,2099,0.10753,0.13549
2021,5th Quintile,Yes,0.92201,2513,2725,0.91194,0.93208
2021,5th Quintile,No,0.07799,212,2725,0.06792,0.08806
