year,rentown,hlf0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Owner,Yes,0.88652,4809,5253,0.87794,0.89510
2001,Owner,No,0.11348,444,5253,0.10490,0.12206
2001,Tenant,Yes,0.66175,4584,6375,0.65014,0.67337
2001,Tenant,No,0.33825,1791,6375,0.32663,0.34986
2003,Owner,Yes,0.89101,5247,5643,0.88288,0.89914
2003,Owner,No,0.10899,396,5643,0.10086,0.11712
2003,Tenant,Yes,0.65585,4376,6119,0.64394,0.66775
2003,Tenant,No,0.34415,1743,6119,0.33225,0.35606
2005,Owner,Yes,0.89424,4996,5367,0.88601,0.90247
2005,Owner,No,0.10576,371,5367,0.09753,0.11399
2005,Tenant,Yes,0.65647,4112,5787,0.64423,0.66870
2005,Tenant,No,0.34353,1675,5787,0.33130,0.35577
2007,Owner,Yes,0.90824,5261,5597,0.90068,0.91581
2007,Owner,No,0.09176,336,5597,0.08419,0.09932
2007,Tenant,Yes,0.64849,4108,5806,0.63621,0.66077
2007,Tenant,No,0.35151,1698,5806,0.33923,0.36379
2011,Owner,Yes,0.91548,5580,5929,0.90840,0.92256
2011,Owner,No,0.08452,349,5929,0.07744,0.09160
2011,Tenant,Yes,0.64049,4209,6123,0.62847,0.65251
2011,Tenant,No,0.35951,1914,6123,0.34749,0.37153
2013,Owner,Yes,0.91337,5724,6093,0.90630,0.92043
2013,Owner,No,0.08663,369,6093,0.07957,0.09370
2013,Tenant,Yes,0.63970,5375,7838,0.62907,0.65033
2013,Tenant,No,0.36030,2463,7838,0.34967,0.37093
2016,Owner,Yes,0.91725,5957,6296,0.91045,0.92406
2016,Owner,No,0.08275,339,6296,0.07594,0.08955
2016,Tenant,Yes,0.64584,5602,7984,0.63535,0.65633
2016,Tenant,No,0.35416,2382,7984,0.34367,0.36465
2017,Owner,Yes,0.91961,6723,7058,0.91326,0.92595
2017,Owner,No,0.08039,335,7058,0.07405,0.08674
2017,Tenant,Yes,0.64155,6530,10404,0.63233,0.65077
2017,Tenant,No,0.35845,3874,10404,0.34923,0.36767
2018,Owner,Yes,0.92447,6449,6753,0.91817,0.93078
2018,Owner,No,0.07553,304,6753,0.06922,0.08183
2018,Tenant,Yes,0.64582,6823,11105,0.63692,0.65471
2018,Tenant,No,0.35418,4282,11105,0.34529,0.36308
2019,Owner,Yes,0.92297,7526,7876,0.91708,0.92886
2019,Owner,No,0.07703,350,7876,0.07114,0.08292
2019,Tenant,Yes,0.65871,5852,8258,0.64848,0.66894
2019,Tenant,No,0.34129,2406,8258,0.33106,0.35152
2021,Owner,Yes,0.92824,4865,5097,0.92116,0.93533
2021,Owner,No,0.07176,232,5097,0.06467,0.07884
2021,Tenant,Yes,0.67875,5027,7460,0.66816,0.68935
2021,Tenant,No,0.32125,2433,7460,0.31065,0.33184
